3061200,CAMPSIE        ,AB, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
3061200,CAMPSIE        ,AB, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1912, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     7.5, ,     2.5, ,    -2.8, ,    -7.9, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     2.4, 
1913,   -19.3, ,   -11.4, ,    -8.1, ,     5.0, ,     7.8, ,    13.4, ,    14.4, ,    13.8, ,     9.1, ,     1.6, ,    -4.2, ,    -8.1, ,     1.2, ,   -12.9, ,     1.6, ,    13.9, ,     2.2, 
1914,   -15.7, ,   -15.1, ,    -3.5, ,     3.9, ,     9.1, ,    13.0, ,    16.3, ,    14.0, ,     8.1, ,     4.4, ,    -4.2, ,   -14.8, ,     1.3, ,   -13.0, ,     3.2, ,    14.4, ,     2.8, 
1915,   -13.3, ,   -11.5, ,    -1.6, ,     7.7, ,    10.3, ,    11.6, ,    13.5, ,    16.9, ,     7.3, ,     4.3, ,    -6.6, ,   -10.7, ,     2.3, ,   -13.2, ,     5.5, ,    14.0, ,     1.7, 
1916,   -27.1, ,   -10.8, ,    -8.4, ,     4.7, ,     8.2, ,    12.5, ,    14.0, ,    13.2, ,     9.1, ,     4.0, ,    -3.8, ,   -16.8, ,     -.1, ,   -16.2, ,     1.5, ,    13.2, ,     3.1, 
1917,   -17.1, ,   -17.5, ,    -7.3, ,      .9, ,     7.8, ,    11.6, ,    15.9, ,    13.8, ,     9.1, ,     2.2, ,     1.8, ,   -23.5, ,     -.2, ,   -17.1, ,      .5, ,    13.8, ,     4.4, 
1918,   -16.5, ,   -13.4, ,    -5.4, ,     4.0, ,     7.2, ,    12.7, ,    13.9, ,    14.2, ,     9.6, ,     3.1, ,    -4.2, ,    -9.0, ,     1.4, ,   -17.8, ,     1.9, ,    13.6, ,     2.8, 
1919,    -9.3, ,   -16.6, ,   -12.6, ,     5.4, ,     8.4, , -9999.9,M,    14.9, ,    14.7, ,    10.0, ,    -2.7, ,   -13.0, ,   -14.4, , -9999.9,M,   -11.6, ,      .4, , -9999.9,M,    -1.9, 
1920,   -18.7, , -9999.9,M, -9999.9,M, -9999.9,M,     8.0, ,    11.3, ,    16.6, ,    13.6, ,     8.4, ,     3.0, ,    -3.8, ,   -13.1, , -9999.9,M, -9999.9,M, -9999.9,M,    13.8, ,     2.5, 
1921,   -15.1, ,    -8.7, ,    -7.3, ,     4.7, ,     9.2, ,    13.9, ,    14.7, ,    12.3, ,     7.5, ,     5.1, ,    -8.8, ,   -11.4, ,     1.3, ,   -12.3, ,     2.2, ,    13.6, ,     1.3, 
