3062696,FORT MCMURRAY  ,AB, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
3062696,FORT MCMURRAY  ,AB, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1916,   -30.5, ,   -16.3, ,   -14.6, ,     2.6, ,     9.5, ,    15.1, ,    18.2, ,    14.2, ,     9.8, ,     1.9, ,    -6.7, ,   -18.3, ,    -1.3, , -9999.9,M,     -.8, ,    15.8, ,     1.7, 
1917,   -25.3, ,   -23.5, ,   -10.0, ,      .2, ,    10.3, ,    12.6, ,    17.6, ,    14.0, ,    10.2, ,      .4, ,    -1.2, ,   -29.6, ,    -2.0, ,   -22.4, ,      .2, ,    14.7, ,     3.1, 
1918,   -25.0, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    13.1, ,    15.0, ,    14.9, ,     9.3, , -9999.9,M, -9999.9,M,   -14.6, , -9999.9,M, -9999.9,M, -9999.9,M,    14.3, , -9999.9,M
1919,   -13.9, ,   -19.7, ,   -15.4, ,     5.8, ,     9.0, ,    13.7, ,    15.4, ,    14.9, ,    10.2, ,    -4.7, ,   -13.4, ,   -20.2, ,    -1.5, ,   -16.1, ,     -.2, ,    14.7, ,    -2.6, 
1920,   -23.5, ,   -10.9, ,    -9.7, ,    -2.7, ,     8.5, ,    11.5, ,    18.1, ,    15.5, ,     9.6, ,     2.6, ,    -6.7, ,   -18.2, ,     -.5, ,   -18.2, ,    -1.3, ,    15.0, ,     1.8, 
1921,   -21.6, ,   -13.1, ,   -12.9, ,     4.4, ,     9.2, ,    15.4, ,    16.0, ,    13.8, ,     8.4, ,     4.1, ,   -13.5, ,   -16.8, ,     -.6, ,   -17.6, ,      .2, ,    15.1, ,     -.3, 
1922,   -19.8, ,   -22.4, ,   -11.0, ,     1.4, ,     9.9, ,    13.2, ,    15.9, ,    16.0, ,     9.3, ,     2.4, ,    -7.8, ,   -22.1, ,    -1.3, ,   -19.7, ,      .1, ,    15.0, ,     1.3, 
1923,   -22.2, ,   -17.6, ,   -15.6, ,      .5, ,     7.2, ,    15.3, ,    15.9, ,    13.2, ,     9.5, ,     4.5, ,    -5.9, ,   -18.3, ,    -1.1, ,   -20.6, ,    -2.6, ,    14.8, ,     2.7, 
1924,   -24.2, ,   -11.0, ,    -6.1, ,    -1.4, ,     8.8, ,    12.3, ,    16.1, ,    13.0, ,     8.9, ,     3.7, ,    -9.3, ,   -23.5, ,    -1.1, ,   -17.8, ,      .4, ,    13.8, ,     1.1, 
1925,   -25.5, ,   -21.1, ,   -10.6, ,     4.8, ,    10.0, ,    13.6, ,    16.1, ,    14.4, ,     7.6, ,    -2.8, ,   -12.4, ,   -15.2, ,    -1.8, ,   -23.4, ,     1.4, ,    14.7, ,    -2.5, 
1926,   -16.0, ,   -12.0, ,    -6.8, ,     2.6, ,     9.9, ,    12.3, ,    17.4, ,    13.5, ,     5.0, ,     1.2, ,   -12.0, ,   -20.3, ,     -.4, ,   -14.4, ,     1.9, ,    14.4, ,    -1.9, 
