3066002,SLAVE LAKE     ,AB, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
3066002,SLAVE LAKE     ,AB, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1922, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    14.5, ,     9.3, ,     3.5, ,    -4.7, ,   -15.5, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     2.7, 
1923,   -16.3, ,   -13.2, ,    -9.3, ,     1.4, ,     7.6, ,    15.4, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -15.0, ,     -.1, , -9999.9,M, -9999.9,M
1924, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     4.4, ,    -6.0, ,   -17.4, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1925,   -21.3, ,   -15.9, ,    -8.9, ,     3.7, ,     9.7, ,    13.6, ,    15.7, ,    14.6, ,     6.0, ,    -1.2, ,    -8.4, ,    -8.5, ,     -.1, ,   -18.2, ,     1.5, ,    14.6, ,    -1.2, 
1926,    -8.6, ,    -8.7, ,    -2.9, ,     3.5, ,     9.4, ,    12.1, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -8.6, ,     3.3, , -9999.9,M, -9999.9,M
1927,   -17.0, ,   -15.6, ,    -4.3, ,      .4, ,     6.2, ,    11.6, , -9999.9,M, -9999.9,M, -9999.9,M,     2.4, ,   -14.1, ,   -24.2, , -9999.9,M, -9999.9,M,      .8, , -9999.9,M, -9999.9,M
1928,   -12.8, ,    -8.1, ,    -5.2, ,    -5.0, ,     9.6, ,    13.2, ,    16.2, ,    12.9, ,     8.1, ,      .5, ,    -4.2, ,    -9.9, ,     1.3, ,   -15.0, ,     -.2, ,    14.1, ,     1.5, 
1929,   -22.5, ,   -19.2, ,    -6.9, ,    -1.0, ,     7.9, ,    13.3, ,    15.8, ,    14.5, ,     9.1, ,     6.1, ,    -1.7, ,   -16.2, ,     -.1, ,   -17.2, ,      .0, ,    14.5, ,     4.5, 
1930,   -19.4, ,   -10.6, ,    -6.7, ,     4.6, ,     8.2, ,    12.8, ,    16.9, ,    15.8, ,     9.4, ,     1.2, ,    -2.8, ,    -3.7, ,     2.1, ,   -15.4, ,     2.0, ,    15.2, ,     2.6, 
1931,    -7.1, ,    -2.7, ,    -7.6, ,     4.6, ,     9.2, ,    13.6, ,    15.9, ,    14.7, ,     8.9, ,     3.9, ,    -5.5, ,    -8.6, ,     3.3, ,    -4.5, ,     2.1, ,    14.7, ,     2.4, 
1932,   -16.7, ,   -16.1, ,   -11.8, ,     3.3, ,     9.9, ,    13.9, ,    15.6, ,    16.6, ,    10.4, ,     1.5, ,    -7.7, ,   -12.6, ,      .5, ,   -13.8, ,      .5, ,    15.4, ,     1.4, 
1933,   -18.2, ,   -15.8, ,    -8.8, ,     1.6, ,     9.8, ,    12.5, ,    14.7, ,    16.0, ,     8.2, ,     1.7, ,    -2.6, ,   -25.8, ,     -.6, ,   -15.5, ,      .9, ,    14.4, ,     2.4, 
