306A009,ENTRANCE       ,AB, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
306A009,ENTRANCE       ,AB, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1917, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     8.5, ,     2.9, ,     5.2, ,   -18.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     5.5, 
1918,   -10.8, ,    -7.3, ,    -2.1, ,     4.9, ,     6.9, ,    11.6, ,    14.5, ,    13.3, ,    11.1, ,     5.3, ,    -1.1, ,    -4.4, ,     3.5, ,   -12.1, ,     3.2, ,    13.1, ,     5.1, 
1919,    -2.4, ,   -11.6, ,    -8.2, ,     3.3, ,     6.4, ,    11.3, ,    13.7, ,    13.9, ,     8.3, ,     -.8, ,    -7.5, ,    -7.3, ,     1.6, ,    -6.1, ,      .5, ,    13.0, ,      .0, 
1920,   -11.4, ,    -3.1, ,    -4.3, ,    -1.3, ,     6.0, ,    10.2, ,    15.4, ,    14.3, ,     8.7, ,     3.5, ,    -2.7, ,    -8.3, ,     2.3, ,    -7.3, ,      .1, ,    13.3, ,     3.2, 
1921,   -12.1, ,    -5.2, ,    -5.0, ,     3.0, ,     7.6, ,    11.9, ,    13.2, ,    12.2, ,     7.5, ,     6.8, ,    -6.4, ,    -8.0, ,     2.1, ,    -8.5, ,     1.9, ,    12.4, ,     2.6, 
1922,    -8.6, ,   -16.3, ,    -4.8, ,     3.2, ,     8.3, ,    12.0, ,    13.8, ,    14.2, ,    10.9, ,     6.1, ,      .3, ,   -12.4, ,     2.2, ,   -11.0, ,     2.2, ,    13.3, ,     5.8, 
1923,   -11.4, ,    -7.7, ,    -4.0, ,     3.5, ,     7.8, ,    12.3, ,    14.8, ,    13.5, ,     9.6, ,     6.8, ,     3.0, ,    -5.2, ,     3.6, ,   -10.5, ,     2.4, ,    13.5, ,     6.5, 
1924,    -8.5, ,    -3.2, ,    -3.4, ,     2.4, ,     8.6, ,    10.8, ,    14.9, ,    13.4, ,    10.5, ,     5.0, ,    -3.0, ,   -15.6, ,     2.7, ,    -5.6, ,     2.5, ,    13.0, ,     4.2, 
1925,   -11.0, ,   -10.7, ,    -2.8, ,     4.8, ,     9.3, ,    12.8, ,    15.3, ,    12.4, ,     8.5, ,     2.7, ,     -.9, ,    -1.3, ,     3.3, ,   -12.4, ,     3.8, ,    13.5, ,     3.4, 
1926,      .3, ,    -1.6, ,     2.1, ,     4.9, ,     8.2, ,    10.8, ,    15.8, ,    12.7, ,     4.8, ,     5.1, ,    -5.1, ,    -7.0, ,     4.3, ,     -.9, ,     5.1, ,    13.1, ,     1.6, 
1927,   -10.2, ,    -8.4, ,    -1.6, ,     1.5, ,     6.9, ,    12.3, ,    14.9, ,    14.7, ,     8.8, ,     4.3, ,   -12.2, ,   -17.6, ,     1.1, ,    -8.5, ,     2.3, ,    14.0, ,      .3, 
1928, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1929,   -14.5, ,   -10.6, ,    -1.6, ,     1.0, ,     6.9, ,    11.5, ,    13.5, ,    13.4, ,     8.3, ,     5.9, ,     -.4, ,   -13.3, ,     1.7, , -9999.9,M,     2.1, ,    12.8, ,     4.6, 
1930,   -18.7, ,    -2.7, ,    -2.8, ,     5.5, ,     6.5, ,    11.2, ,    14.5, ,    14.6, ,    10.1, ,     1.9, ,      .2, ,     1.7, ,     3.5, ,   -11.6, ,     3.1, ,    13.4, ,     4.1, 
1931,    -1.8, ,    -2.2, ,    -5.5, ,     4.1, ,     8.4, ,    11.9, ,    14.3, ,    12.5, ,     8.9, ,     5.0, ,    -6.4, ,    -7.6, ,     3.5, ,     -.8, ,     2.3, ,    12.9, ,     2.5, 
1932,   -10.0, ,   -10.3, ,    -7.3, ,     3.7, ,     8.6, ,    12.1, ,    13.2, ,    15.0, ,     9.7, ,     2.6, ,    -4.4, ,   -10.4, ,     1.9, ,    -9.3, ,     1.7, ,    13.4, ,     2.6, 
1933,   -11.0, ,    -9.5, ,    -5.7, ,     2.0, ,     7.6, ,    11.5, ,    13.3, ,    15.0, ,     7.2, ,     1.3, ,     3.6, ,   -22.3, ,     1.1, ,   -10.3, ,     1.3, ,    13.3, ,     4.0, 
1934,    -3.8, ,    -2.1, ,     -.9, ,     6.9, ,     9.8, ,    11.6, ,    13.7, ,    14.6, ,     7.7, ,     5.3, ,    -1.1, ,   -10.3, ,     4.3, ,    -9.4, ,     5.3, ,    13.3, ,     4.0, 
1935,   -17.5, ,     -.7, ,    -7.9, ,     -.6, ,     7.8, ,    11.9, ,    15.2, ,    12.8, ,    10.7, ,     3.6, ,    -4.0, ,    -1.7, ,     2.5, ,    -9.5, ,     -.2, ,    13.3, ,     3.4, 
1936,   -12.3, ,   -23.3, ,    -3.1, ,     2.4, ,    12.0, ,    13.4, ,    16.3, ,    14.3, ,     9.4, ,     7.4, ,     2.3, ,   -11.0, ,     2.3, ,   -12.4, ,     3.8, ,    14.7, ,     6.4, 
1937,   -18.6, ,   -12.3, ,     -.4, ,     4.2, ,     8.5, ,    12.9, ,    15.0, ,    12.4, ,    11.0, ,     7.2, ,    -6.8, ,   -10.5, ,     1.9, ,   -14.0, ,     4.1, ,    13.4, ,     3.8, 
1938,    -5.1, ,   -12.3, ,    -1.1, ,     4.1, ,     8.5, ,    13.2, ,    15.8, ,    12.8, ,    14.1, ,     6.7, ,    -2.0, ,    -5.7, ,     4.1, ,    -9.3, ,     3.8, ,    13.9, ,     6.3, 
1939,    -4.7, ,   -12.0, ,    -2.6, ,     4.9, ,     9.7, ,    10.6, ,    15.2, ,    14.4, ,     9.7, ,     2.7, ,     4.0, ,     -.6, ,     4.3, ,    -7.5, ,     4.0, ,    13.4, ,     5.5, 
1940,   -14.3, ,    -9.1, ,    -1.3, ,     2.8, ,     8.8, ,    10.8, ,    14.7, ,    13.4, ,    11.7, ,     5.5, ,    -7.1, ,    -4.3, ,     2.6, ,    -8.0, ,     3.4, ,    13.0, ,     3.4, 
1941,    -8.6, ,    -7.5, ,      .5, ,     6.5, ,     8.3, ,    13.3, ,    16.2, ,    12.2, ,     6.4, ,     6.1, ,     -.2, ,    -8.5, ,     3.7, ,    -6.8, ,     5.1, ,    13.9, ,     4.1, 
1942,    -3.4, ,    -7.9, ,    -3.4, ,     3.5, ,     7.8, ,    11.3, ,    14.9, ,    13.7, ,     9.8, ,     5.9, ,    -7.8, ,   -13.4, ,     2.6, ,    -6.6, ,     2.6, ,    13.3, ,     2.6, 
1943,   -16.5, ,    -3.2, ,    -6.1, ,     5.9, ,     6.5, ,    10.3, ,    14.9, ,    13.2, ,     9.9, ,     5.3, ,     1.0, ,    -2.1, ,     3.3, ,   -11.0, ,     2.1, ,    12.8, ,     5.4, 
1944,    -5.2, ,    -8.4, ,    -4.1, ,     5.6, ,     8.5, ,    12.4, ,    14.0, ,    12.8, ,    10.2, ,     8.0, ,    -3.6, ,    -8.4, ,     3.5, ,    -5.2, ,     3.3, ,    13.1, ,     4.9, 
1945,    -8.4, ,    -7.2, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     9.1, , -9999.9,M,    -8.5, ,    -8.2, , -9999.9,M,    -8.0, , -9999.9,M, -9999.9,M, -9999.9,M
1946,    -5.4, ,    -5.6, ,      .1, ,     4.4, ,     9.4, ,    11.9, ,    15.2, ,    14.8, ,    10.4, ,     3.4, ,    -7.1, ,   -10.1, ,     3.5, ,    -6.4, ,     4.6, ,    14.0, ,     2.2, 
1947,    -9.2, ,    -8.2, ,    -3.4, ,     4.6, ,     8.5, ,    11.0, ,    15.5, ,    12.8, ,     9.3, ,     4.7, ,    -2.2, ,    -2.9, ,     3.4, ,    -9.2, ,     3.2, ,    13.1, ,     3.9, 
1948,    -3.8, ,   -11.7, ,    -5.8, ,    -1.5, ,    10.5, ,    14.7, ,    15.0, ,    13.3, ,    10.0, ,     5.3, , -9999.9,M,   -15.3, , -9999.9,M,    -6.1, ,     1.1, ,    14.3, , -9999.9,M
1949, -9999.9,M,   -14.9, ,    -1.0, ,     6.1, ,     9.1, ,    10.8, ,    13.8, ,    14.3, ,    10.3, ,     2.5, ,     3.4, ,   -15.0, , -9999.9,M, -9999.9,M,     4.7, ,    13.0, ,     5.4, 
1950,   -27.8, ,    -8.6, ,    -5.6, ,     1.0, ,     8.0, ,    15.2, ,    15.3, ,    13.1, ,    11.0, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -17.1, ,     1.1, ,    14.5, , -9999.9,M
1951, -9999.9,M,    -9.7, , -9999.9,M,     2.8, ,     8.7, ,    10.8, ,    15.1, ,    12.1, ,     7.7, ,      .0, ,    -3.3, ,   -11.7, , -9999.9,M, -9999.9,M, -9999.9,M,    12.7, ,     1.5, 
1952,   -15.1, ,    -5.0, ,    -4.0, ,     6.8, , -9999.9,M, -9999.9,M,    13.8, ,    13.7, ,    11.2, ,     7.9, ,     -.9, ,    -4.7, , -9999.9,M,   -10.6, , -9999.9,M, -9999.9,M,     6.1, 
1953,   -12.8, ,    -1.0, ,    -1.8, ,      .4, ,     9.1, ,    12.9, ,    13.3, ,    11.9, ,     9.3, ,     7.5, ,     2.0, ,    -3.7, ,     3.9, ,    -6.2, ,     2.6, ,    12.7, ,     6.3, 
