3072920,GRANDE PRAIRIE ,AB, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
3072920,GRANDE PRAIRIE ,AB, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1922, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    14.9,a,     9.3,a,     3.9,a,    -4.2,a,   -17.9,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     3.0,a
1923,   -18.2,a,   -12.6,a,    -6.6,a,     3.1,a,     8.7,a,    13.8,a,    14.1,a,    13.1,a,     8.7,a,     4.1,a,    -1.4,a,    -8.8,a,     1.5,a,   -16.2,a,     1.7,a,    13.7,a,     3.8,a
1924,   -17.2,a,    -8.8,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -11.6,a, -9999.9,M, -9999.9,M, -9999.9,M
1925, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1926, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1927, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1928, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1929, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1930, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     -.3,a,    -2.8,a,    -2.7,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1931,    -5.7,a,    -2.3,a,    -7.8,a,     5.2,a,     9.5,a,    13.2,a,    15.6,a,    13.6,a,     9.8,a,     4.0,a,    -7.6,a, -9999.9,M, -9999.9,M,    -3.6,a,     2.3,a,    14.1,a,     2.1,a
1932,   -13.8,a,   -15.1,a,   -13.1,a,     2.3,a,     9.9,a,    13.4,a,    14.3,a,    15.6,a,     9.6,a,     2.2,a,    -9.2,a,   -13.0,a,      .3,a, -9999.9,M,     -.3,a,    14.4,a,      .9,a
1933,   -18.4,a,   -15.5,a,   -10.4,a,      .4,a,     9.2,a,    11.7,a,    13.9,a,    15.7,a,     7.4,a,     -.3,a,    -1.1,a,   -27.6,a,    -1.3,a,   -15.6,a,     -.3,a,    13.8,a,     2.0,a
1934, -9999.9,M, -9999.9,M, -9999.9,M,     6.7,a,    11.0,a,    12.7,a,    14.1,a,    13.8,a,     6.5,a,     3.4,a,    -6.4,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    13.5,a,     1.2,a
1935,   -23.6,a,    -7.8,a,   -12.7,a,    -3.2,a,     9.7,a,    13.2,a,    16.2,a,    12.8,a,    10.0,a,     2.6,a,    -7.8,a,    -7.5,a,      .2,a, -9999.9,M,    -2.1,a,    14.1,a,     1.6,a
1936,   -20.2,a,   -28.2,a,    -3.4,a,     3.7,a,    12.7,a,    13.7,a,    15.6,a,    15.0, ,     8.7, ,     6.6, , -9999.9,M, -9999.9,M, -9999.9,M,   -18.6,a,     4.3,a,    14.8,a, -9999.9,M
1937, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1938, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1939, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1940, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1941, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
