3073641,KEG RIVER      ,AB, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
3073641,KEG RIVER      ,AB, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1935, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    12.4, ,     9.4, ,     -.3, ,   -12.4, ,   -13.7, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -1.1, 
1936,   -26.4, ,   -28.9, ,    -7.0, ,    -1.6, ,    11.2, ,    12.2, ,    15.0, ,    14.5, ,     6.5, ,     3.3, ,    -1.8, ,   -20.1, ,    -1.9, ,   -23.0, ,      .9, ,    13.9, ,     2.7, 
1937,   -21.3, ,   -18.5, ,    -9.8, ,     3.9, ,    10.0, ,    15.2, ,    15.5, ,    13.0, ,     9.8, ,     3.4, ,   -13.1, ,   -21.9, ,    -1.2, ,   -20.0, ,     1.4, ,    14.6, ,      .0, 
1938,   -17.5, ,   -19.3, ,    -4.5, ,     2.4, ,     8.7, ,    14.2, ,    16.8, ,    13.3, ,    14.3, ,     5.1, ,    -7.8, ,   -12.8, ,     1.1, ,   -19.6, ,     2.2, ,    14.8, ,     3.9, 
1939,   -19.3, ,   -22.5, ,   -11.8, ,     2.5, ,     9.8, ,    11.7, ,    15.4, ,    14.7, ,     7.8, ,     -.9, ,    -4.1, ,    -8.8, ,     -.5, ,   -18.2, ,      .2, ,    13.9, ,      .9, 
1940,   -18.5, ,   -13.9, ,    -6.1, ,     3.2, ,     9.5, ,    11.3, ,    15.2, ,    15.1, ,    11.9, ,     3.7, ,   -14.1, ,   -18.7, ,     -.1, ,   -13.7, ,     2.2, ,    13.9, ,      .5, 
1941,   -21.2, ,   -14.8, ,    -6.7, ,     5.4, ,     8.0, ,    14.5, ,    17.9, ,    12.9, ,     5.8, ,     3.4, ,    -8.7, ,   -18.3, ,     -.2, ,   -18.2, ,     2.2, ,    15.1, ,      .2, 
1942,    -6.9, ,   -13.1, ,    -4.2, ,      .6, ,     9.5, ,    14.1, ,    15.4, ,    14.8, ,     9.3, ,     4.6, ,   -13.1, ,   -24.2, ,      .6, ,   -12.8, ,     2.0, ,    14.8, ,      .3, 
1943,   -19.6, ,   -10.8, ,   -13.4, ,     4.7, ,     7.3, ,    12.2, ,    14.8, ,    13.3, ,    10.9, ,     5.0, ,    -1.9, ,    -9.4, ,     1.1, ,   -18.2, ,     -.5, ,    13.4, ,     4.7, 
1944,    -9.8, ,   -14.6, ,    -8.8, ,     5.3, ,    10.9, ,    13.8, ,    15.8, ,    14.3, ,     9.5, ,     5.2, ,    -8.1, ,    -9.8, ,     2.0, ,   -11.3, ,     2.5, ,    14.6, ,     2.2, 
