4011846,COTE           ,SK, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
4011846,COTE           ,SK, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1907, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    13.8, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1908, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    17.0, ,    13.0, ,    11.0, ,     3.0, , -9999.9,M,   -14.1, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1909,   -24.3, ,   -21.7, , -9999.9,M,    -4.0, ,     8.6, ,    15.2, ,    17.7, ,    16.5, ,    12.6, ,     3.0, ,   -10.3, ,   -18.6, , -9999.9,M,   -20.0, , -9999.9,M,    16.5, ,     1.8, 
1910,   -16.2, ,   -20.7, ,      .1, ,     6.0, ,     7.2, ,    16.5, ,    17.4, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -18.5, ,     4.4, , -9999.9,M, -9999.9,M
1911, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1912, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     8.6, ,     4.9, ,    -1.7, ,   -14.1, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     3.9, 
1913,   -24.8, ,   -18.0, ,   -15.3, ,     4.7, ,     8.8, ,    16.1, ,    16.3, ,    16.8, ,    10.7, ,      .1, ,    -4.3, ,    -9.2, ,      .2, ,   -19.0, ,     -.6, ,    16.4, ,     2.2, 
1914,   -16.3, ,   -25.1, , -9999.9,M,     1.2, ,    10.3, ,    15.5, ,    20.6, ,    14.2, ,    11.9, ,     6.5, , -9999.9,M, -9999.9,M, -9999.9,M,   -16.9, , -9999.9,M,    16.8, , -9999.9,M
1915, -9999.9,M, -9999.9,M, -9999.9,M,     6.2, ,    10.2, ,    11.8, ,    14.7, ,    16.0, ,     7.6, ,     3.3, ,    -7.0, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    14.2, ,     1.3, 
1916,   -30.5, ,   -18.7, , -9999.9,M,     1.7, ,     8.1, ,    12.2, ,    19.2, ,    14.8, ,     8.2, ,      .7, ,    -7.1, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    15.4, ,      .6, 
1917, -9999.9,M, -9999.9,M, -9999.9,M,    -1.3, ,     9.9, ,    12.0, ,    17.3, ,    14.6, ,    10.7, ,     -.5, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    14.6, , -9999.9,M
1918, -9999.9,M,   -17.4, ,      .1, ,     6.4, ,     8.2, ,    17.8, ,    15.2, ,    16.1, ,     9.7, ,     4.3, , -9999.9,M,   -13.6, , -9999.9,M, -9999.9,M,     4.9, ,    16.4, , -9999.9,M
1919,   -19.7, ,   -22.1, ,   -13.7, ,     2.0, , -9999.9,M,    12.8, ,    14.8, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -18.6, , -9999.9,M,   -18.5, , -9999.9,M, -9999.9,M, -9999.9,M
1920,   -23.1, , -9999.9,M,   -12.0, ,    -6.3, ,    11.0, ,    14.1, ,    18.2, ,    17.7, ,    12.5, ,     7.3, ,    -4.3, ,   -11.5, , -9999.9,M, -9999.9,M,    -2.4, ,    16.7, ,     5.2, 
1921,   -14.9, ,   -16.2, ,   -12.7, ,      .3, ,    12.3, ,    18.4, ,    18.9, ,    14.9, ,    10.5, ,     5.8, ,   -10.6, ,   -18.6, ,      .7, ,   -14.2, ,      .0, ,    17.4, ,     1.9, 
1922,   -22.5, ,   -25.7, ,   -10.7, ,     3.1, ,    12.8, ,    15.6, ,    16.6, ,    17.2, ,    12.9, ,     4.0, ,    -3.4, ,   -20.2, ,      .0, ,   -22.3, ,     1.7, ,    16.5, ,     4.5, 
1923,   -18.1, ,   -20.5, ,   -15.9, ,     -.7, ,    11.6, ,    16.9, ,    19.2, ,    14.6, ,    11.5, ,     4.3, ,    -1.2, ,    -7.8, ,     1.2, ,   -19.6, ,    -1.7, ,    16.9, ,     4.9, 
1924,   -22.0, ,   -13.2, ,    -7.9, ,     1.4, ,     6.8, ,    13.2, ,    17.5, ,    13.6, ,    11.0, ,     7.9, ,    -9.1, ,   -21.9, ,     -.2, ,   -14.3, ,      .1, ,    14.8, ,     3.3, 
1925,   -20.9, ,   -17.6, ,    -7.6, ,     5.9, ,    10.3, ,    13.7, ,    17.4, ,    16.4, ,    10.4, ,    -2.0, ,    -6.4, ,   -10.5, ,      .8, ,   -20.1, ,     2.9, ,    15.8, ,      .7, 
1926,   -13.5, ,   -11.7, ,    -8.4, ,     2.6, ,    12.3, ,    13.4, ,    18.8, ,    15.5, ,     7.8, ,     2.8, ,   -10.4, ,   -16.6, ,     1.1, ,   -11.9, ,     2.2, ,    15.9, ,      .1, 
