4013660,KELLIHER       ,SK, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
4013660,KELLIHER       ,SK, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1908,   -13.9, ,   -14.0, ,   -14.7, ,      .6, ,     7.6, ,    11.3, ,    15.6, ,    13.0, ,     9.9, ,     1.9, ,    -4.4, ,   -13.5, ,     -.1, , -9999.9,M,    -2.2, ,    13.3, ,     2.5, 
1909,   -22.2, ,   -19.3, ,   -10.0, ,    -4.6, ,     8.1, ,    13.5, ,    16.4, ,    15.8, ,    12.3, ,     2.5, , -9999.9,M,   -17.4, , -9999.9,M,   -18.3, ,    -2.2, ,    15.2, , -9999.9,M
1910,   -15.7, ,   -19.5, ,     -.5, ,     4.6, ,     6.5, ,    14.9, ,    16.4, ,    13.1, ,     8.3, ,     3.9, ,    -9.7, , -9999.9,M, -9999.9,M,   -17.5, ,     3.5, ,    14.8, ,      .8, 
1911, -9999.9,M,   -17.6, ,    -7.2, , -9999.9,M, -9999.9,M, -9999.9,M,    13.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1912,   -25.0, ,   -15.7, ,   -15.5, ,     2.4, ,     8.3, ,    14.6, , -9999.9,M,    14.3, ,     6.8, ,     3.4, , -9999.9,M,   -12.8, , -9999.9,M, -9999.9,M,    -1.6, , -9999.9,M, -9999.9,M
1913,   -23.6, ,   -19.9, ,   -15.5, ,     3.5, ,     7.3, ,    15.1, ,    14.8, ,    15.2, ,    10.7, ,      .2, ,    -3.6, ,    -8.2, ,     -.3, ,   -18.8, ,    -1.6, ,    15.0, ,     2.4, 
1914,   -15.8, ,   -22.9, ,    -9.0, ,     1.1, ,     9.0, ,    13.5, ,    19.7, , -9999.9,M,    10.6, ,     6.1, ,    -5.2, ,   -17.4, , -9999.9,M,   -15.6, ,      .4, , -9999.9,M,     3.8, 
1915,   -18.1, ,   -11.0, ,    -7.7, ,     7.2, ,     8.5, ,    11.0, ,    13.2, ,    15.9, ,     7.8, ,     4.5, ,    -6.8, ,   -13.2, ,      .9, ,   -15.5, ,     2.7, ,    13.4, ,     1.8, 
1916,   -27.0, ,   -16.7, ,   -11.6, ,      .5, ,     7.4, ,    11.6, , -9999.9,M,    13.4, ,     8.7, ,      .1, ,    -5.0, ,   -19.3, , -9999.9,M,   -19.0, ,    -1.2, , -9999.9,M,     1.3, 
1917,   -24.0, ,   -23.3, , -9999.9,M,    -2.6, ,     8.9, ,    11.8, , -9999.9,M,    14.0, ,     9.5, ,    -1.0, ,      .7, ,   -24.3, , -9999.9,M,   -22.2, , -9999.9,M, -9999.9,M,     3.1, 
1918,   -20.8, ,   -17.2, ,    -4.7, ,     3.1, ,     5.5, ,    14.0, ,    14.2, ,    14.9, ,     7.2, ,     3.9, ,    -4.2, ,   -13.9, ,      .2, ,   -20.8, ,     1.3, ,    14.4, ,     2.3, 
1919,   -11.8, ,   -21.4, ,   -14.3, ,     3.1, ,    11.0, ,    15.9, , -9999.9,M,    15.5, , -9999.9,M,    -4.1, ,   -12.0, ,   -17.4, , -9999.9,M,   -15.7, ,     -.1, , -9999.9,M, -9999.9,M
1920,   -21.4, ,   -13.2, ,   -10.4, ,    -5.9, ,     9.7, , -9999.9,M,    17.0, ,    16.2, ,    10.6, ,     5.6, ,    -4.1, ,   -12.6, , -9999.9,M,   -17.3, ,    -2.2, , -9999.9,M,     4.0, 
1921,   -15.3, ,   -13.2, ,   -11.0, ,     1.1, ,     9.1, ,    16.9, ,    17.5, ,    14.8, ,     9.7, ,     4.7, ,   -10.4, ,   -13.5, ,      .9, ,   -13.7, ,     -.3, ,    16.4, ,     1.3, 
1922,   -18.3, ,   -22.9, ,    -9.3, ,     1.4, ,    11.0, , -9999.9,M,    15.5, ,    16.5, ,    11.5, ,     3.5, ,    -3.6, ,   -18.9, , -9999.9,M,   -18.2, ,     1.0, , -9999.9,M,     3.8, 
1923,   -18.5, ,   -20.1, ,   -14.9, ,    -2.2, ,     9.1, ,    15.7, , -9999.9,M,    13.6, ,    10.7, ,     3.7, ,    -1.5, ,   -10.1, , -9999.9,M,   -19.2, ,    -2.7, , -9999.9,M,     4.3, 
1924,   -21.8, ,   -11.4, ,    -8.0, ,      .0, ,     5.5, ,    11.5, ,    16.6, ,    13.2, ,    10.0, ,     6.7, ,    -8.6, ,   -20.6, ,     -.6, ,   -14.4, ,     -.8, ,    13.8, ,     2.7, 
1925,   -18.6, , -9999.9,M,   -10.2, ,     3.4, ,     9.8, ,    12.4, , -9999.9,M,    15.3, ,     9.9, ,    -2.7, ,    -5.6, ,   -10.8, , -9999.9,M, -9999.9,M,     1.0, , -9999.9,M,      .5, 
1926,   -11.4, ,   -10.6, ,    -7.7, ,     1.9, ,    10.6, ,    11.8, ,    17.2, ,    14.0, ,     6.6, ,     1.3, ,   -10.7, ,   -16.8, ,      .5, ,   -10.9, ,     1.6, ,    14.3, ,     -.9, 
1927,   -18.4, ,   -17.3, ,    -7.2, ,      .5, ,     6.6, ,    13.9, ,    15.8, ,    14.6, ,     9.4, , -9999.9,M,   -13.1, ,   -22.8, , -9999.9,M,   -17.5, ,      .0, ,    14.8, , -9999.9,M
1928,   -14.4, ,   -12.7, ,    -8.7, ,    -2.4, ,    11.2, , -9999.9,M,    16.4, ,    13.4, ,     8.9, ,     1.8, ,    -3.7, ,    -9.2, , -9999.9,M,   -16.6, ,      .0, , -9999.9,M,     2.3, 
1929,   -25.6, ,   -20.1, ,    -6.7, ,      .7, ,     6.0, ,    13.2, ,    16.8, ,    16.0, ,     7.6, ,     5.6, ,    -7.0, ,   -17.0, ,     -.9, ,   -18.3, ,      .0, ,    15.3, ,     2.1, 
1930,   -23.5, ,   -11.8, ,    -9.9, ,     3.8, ,     7.4, ,    14.1, ,    17.5, ,    17.5, ,     9.6, ,      .3, ,    -5.8, ,    -9.2, ,      .8, ,   -17.4, ,      .4, ,    16.4, ,     1.4, 
1931,   -10.5, ,    -6.5, ,    -8.3, ,     3.5, ,     8.8, ,    16.5, ,    17.7, ,    15.7, ,    10.8, ,     5.3, ,    -6.1, ,    -9.3, ,     3.1, ,    -8.7, ,     1.3, ,    16.6, ,     3.3, 
1932,   -16.7, , -9999.9,M,   -13.1, ,     2.8, ,    10.8, ,    16.0, ,    17.4, ,    16.2, ,    10.5, ,      .2, ,    -9.6, ,   -15.8, , -9999.9,M, -9999.9,M,      .2, ,    16.5, ,      .4, 
