4015360,MOOSOMIN       ,SK, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
4015360,MOOSOMIN       ,SK, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1941, -9999.9,M, -9999.9,M, -9999.9,M,     4.7, ,    12.9, ,    19.0, ,    20.4, ,    17.5, ,    10.7, ,     5.9, ,    -4.0, ,    -8.4, , -9999.9,M, -9999.9,M, -9999.9,M,    19.0, ,     4.2, 
1942,   -10.2, ,   -13.3, ,    -4.6, ,     3.9, ,     9.1, ,    13.8, ,    17.8, ,    16.9, ,    10.1, ,     7.1, ,    -5.8, ,   -15.3, ,     2.5, ,   -10.6, ,     2.8, ,    16.2, ,     3.8, 
1943,   -20.2, ,   -12.0, ,   -12.0, ,     4.8, ,     8.8, ,    13.4, ,    20.0, ,    17.6, ,    10.8, ,     7.8, ,    -3.6, ,    -7.6, ,     2.3, ,   -15.8, ,      .5, ,    17.0, ,     5.0, 
1944,    -8.1, ,   -14.5, ,   -12.3, ,     4.1, ,    13.0, ,    15.0, ,    18.3, ,    16.7, ,    11.8, ,     7.8, ,    -2.5, ,   -10.9, ,     3.2, ,   -10.1, ,     1.6, ,    16.7, ,     5.7, 
1945, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     7.0, ,    12.9, ,    18.3, ,    17.6, ,     9.7, ,     6.5, ,    -9.7, ,   -16.2, , -9999.9,M, -9999.9,M, -9999.9,M,    16.3, ,     2.2, 
1946,   -14.9, ,   -16.0, ,    -2.5, ,     7.2, ,     9.3, ,    15.2, ,    19.5, ,    16.3, ,    11.6, ,     2.4, , -9999.9,M,   -13.1, , -9999.9,M,   -15.7, ,     4.7, ,    17.0, , -9999.9,M
1947, -9999.9,M,   -18.3, ,    -8.6, ,     2.4, ,     8.4, ,    14.1, ,    20.9, ,    17.9, ,    10.3, ,     8.2, ,    -8.0, ,   -13.5, , -9999.9,M, -9999.9,M,      .7, ,    17.6, ,     3.5, 
1948,   -14.8, ,   -17.5, ,   -11.8, ,    -1.3, ,    12.4, ,    16.3, ,    18.6, ,    18.2, ,    14.1, ,     6.4, ,    -4.7, ,   -14.8, ,     1.8, ,   -15.3, ,     -.2, ,    17.7, ,     5.3, 
1949,   -19.3, ,   -20.1, ,    -8.3, ,     6.4, ,    11.7, ,    15.9, ,    18.2, ,    19.8, ,    11.1, ,     3.7, ,      .4, ,   -17.0, ,     1.9, ,   -18.1, ,     3.3, ,    18.0, ,     5.1, 
1950,   -28.0, ,   -15.1, ,   -10.2, ,     -.9, ,     7.9, ,    14.7, ,    18.6, ,    15.8, ,    12.2, ,     6.2, ,    -8.7, ,   -14.8, ,     -.2, ,   -20.0, ,    -1.1, ,    16.4, ,     3.2, 
