4019040,YELLOW GRASS   ,SK, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
4019040,YELLOW GRASS   ,SK, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1911, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    14.5, ,     9.8, ,     4.2, ,   -10.0, ,   -11.4, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     1.3, 
1912,   -20.1, ,   -12.9, ,   -13.2, , -9999.9,M,    10.0, ,    16.7, ,    15.8, ,    15.8, ,     8.4, ,     4.8, ,     -.9, ,    -9.0, , -9999.9,M,   -14.8, , -9999.9,M,    16.1, ,     4.1, 
1913,   -19.7, ,   -16.1, ,   -10.2, ,     6.6, ,     9.5, ,    16.6, ,    16.3, ,    17.5, , -9999.9,M,     2.0, ,    -3.4, ,    -9.2, , -9999.9,M,   -14.9, ,     2.0, ,    16.8, , -9999.9,M
1914,   -12.7, ,   -18.9, ,    -5.8, ,     3.9, ,    10.9, ,    15.1, ,    21.3, ,    16.4, ,    13.4, ,     7.1, ,    -2.2, ,   -15.2, ,     2.8, ,   -13.6, ,     3.0, ,    17.6, ,     6.1, 
1915,   -14.8, ,    -8.3, ,    -5.9, ,     9.1, ,    10.4, ,    13.0, ,    15.3, ,    18.5, ,     9.2, ,     6.4, ,    -4.7, ,   -11.7, ,     3.0, ,   -12.8, ,     4.5, ,    15.6, ,     3.6, 
1916,   -25.7, ,   -17.1, ,   -11.8, ,     1.9, ,     8.6, ,    13.1, ,    19.8, ,    16.1, ,    10.3, ,     1.9, ,    -3.9, , -9999.9,M, -9999.9,M,   -18.2, ,     -.4, ,    16.3, ,     2.8, 
1917, -9999.9,M, -9999.9,M, -9999.9,M,      .8, ,    10.4, ,    14.9, ,    20.0, ,    16.9, ,    11.9, ,     -.4, ,     2.5, ,   -19.5, , -9999.9,M, -9999.9,M, -9999.9,M,    17.3, ,     4.7, 
1918,   -20.7, ,   -13.1, ,     -.5, ,     4.6, ,     8.4, ,    16.4, ,    17.0, ,    17.1, ,    10.0, ,     6.1, ,    -2.7, ,    -8.8, ,     2.8, ,   -17.8, ,     4.2, ,    16.8, ,     4.5, 
1919,    -7.3, ,   -18.3, ,   -11.4, ,     5.0, ,    12.4, ,    19.4, ,    20.1, ,    18.6, ,    12.1, ,    -3.9, ,   -11.3, , -9999.9,M, -9999.9,M,   -11.5, ,     2.0, ,    19.4, ,    -1.0, 
1920, -9999.9,M,   -12.2, ,    -8.3, ,    -1.4, ,    11.9, ,    17.8, ,    20.9, ,    20.1, ,    12.9, ,     7.4, ,    -3.5, ,   -10.5, , -9999.9,M, -9999.9,M,      .7, ,    19.6, ,     5.6, 
1921,   -11.4, ,    -9.2, ,    -5.9, ,     2.5, ,    11.0, ,    19.2, ,    19.4, ,    17.8, ,    12.0, ,     6.7, ,    -8.7, ,    -9.0, ,     3.7, ,   -10.4, ,     2.5, ,    18.8, ,     3.3, 
