4020160,ANEROID        ,SK, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
4020160,ANEROID        ,SK, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1922, -9999.9,M,   -19.6, ,    -5.8, ,     4.3, ,    11.2, ,    15.6, ,    16.8, ,    18.4, ,    13.6, ,     5.6, ,    -2.4, ,   -15.2, , -9999.9,M, -9999.9,M,     3.2, ,    16.9, ,     5.6, 
1923,   -11.0, ,   -14.4, ,    -6.6, ,     3.7, ,    11.1, ,    17.1, ,    20.0, ,    15.9, ,    12.7, ,     5.1, ,     1.1, ,    -6.9, ,     4.0, ,   -13.5, ,     2.7, ,    17.7, ,     6.3, 
1924,   -16.7, ,    -5.4, ,    -5.2, ,     2.1, ,     7.3, ,    13.1, ,    16.8, ,    16.0, ,    12.1, ,     7.8, ,    -5.8, ,   -15.6, ,     2.2, ,    -9.7, ,     1.4, ,    15.3, ,     4.7, 
1925,   -14.5, ,    -8.6, ,    -3.5, ,     7.4, ,     9.8, ,    14.8, ,    17.7, ,    17.1, ,    10.1, ,    -1.9, ,    -2.4, ,    -7.7, ,     3.2, ,   -12.9, ,     4.6, ,    16.5, ,     1.9, 
1926,    -6.5, ,    -3.9, ,      .4, ,     5.7, ,    13.7, ,    13.0, ,    20.3, ,    15.3, ,     7.3, ,     5.6, ,    -6.8, ,   -11.8, ,     4.4, ,    -6.0, ,     6.6, ,    16.2, ,     2.0, 
1927,   -12.2, ,   -13.8, ,    -4.7, ,     4.0, ,     7.4, ,    15.0, ,    17.8, ,    15.6, ,    11.5, ,     7.7, ,    -8.9, ,   -18.7, ,     1.7, ,   -12.6, ,     2.2, ,    16.1, ,     3.4, 
1928,   -10.2, ,    -6.0, ,    -1.5, ,     1.7, ,    14.8, ,    13.5, ,    17.3, ,    15.5, ,    12.0, ,     3.4, ,      .3, ,    -5.6, ,     4.6, ,   -11.6, ,     5.0, ,    15.4, ,     5.2, 
1929,   -20.3, ,   -16.0, ,      .2, ,     2.8, ,     8.8, ,    16.1, ,    20.2, ,    19.8, ,    10.2, ,     7.4, ,    -2.3, ,   -12.1, ,     2.9, ,   -14.0, ,     3.9, ,    18.7, ,     5.1, 
1930,   -19.4, ,    -3.2, ,    -3.5, ,     8.7, ,    10.2, ,    15.4, ,    20.7, ,    20.0, ,    12.2, ,     2.8, ,    -1.8, ,    -4.6, ,     4.8, ,   -11.6, ,     5.1, ,    18.7, ,     4.4, 
1931,    -4.4, ,     -.5, ,    -2.6, ,     6.1, ,    12.0, ,    18.3, ,    19.3, ,    18.1, ,    12.9, ,     6.7, ,    -3.4, ,    -5.6, ,     6.4, ,    -3.2, ,     5.2, ,    18.6, ,     5.4, 
1932,   -12.6, ,    -9.9, ,    -8.3, ,     7.5, ,    12.8, ,    17.6, ,    20.1, ,    18.5, ,    12.5, ,     3.5, ,    -3.9, ,   -10.5, ,     3.9, ,    -9.4, ,     4.0, ,    18.7, ,     4.0, 
1933,    -9.3, ,   -11.7, ,     -.2, ,     3.7, ,    12.0, ,    19.2, ,    20.2, ,    18.5, , -9999.9,M,     4.1, ,      .9, ,   -13.2, , -9999.9,M,   -10.5, ,     5.2, ,    19.3, , -9999.9,M
1934,    -5.9, ,    -3.8, ,    -2.4, ,     7.2, ,    15.8, ,    14.6, ,    20.0, ,    17.5, ,     8.6, ,     7.7, ,      .5, ,   -10.5, ,     5.8, ,    -7.6, ,     6.9, ,    17.4, ,     5.6, 
1935,   -16.6, ,    -5.2, ,    -5.7, ,     3.0, ,     9.1, ,    15.5, ,    20.7, ,    16.1, ,    13.4, ,     4.6, ,    -6.7, ,    -5.9, ,     3.5, ,   -10.8, ,     2.1, ,    17.4, ,     3.8, 
1936,   -16.9, ,   -26.2, ,    -4.0, ,     3.1, ,    15.4, ,    17.1, ,    24.1, , -9999.9,M,    13.0, ,     6.1, ,    -1.2, ,   -10.4, , -9999.9,M,   -16.3, ,     4.8, , -9999.9,M,     6.0, 
1937,   -22.0, ,   -14.5, ,    -2.6, ,     6.0, ,    12.5, ,    17.8, ,    22.0, ,    19.1, ,    13.4, ,     7.8, ,    -3.5, ,    -9.8, ,     3.9, ,   -15.6, ,     5.3, ,    19.6, ,     5.9, 
1938,    -8.6, ,   -14.9, ,     -.5, ,     5.9, ,    11.2, ,    16.9, ,    19.3, ,    17.1, ,    16.6, ,     8.3, ,    -4.4, ,    -6.5, ,     5.0, ,   -11.1, ,     5.5, ,    17.8, ,     6.8, 
1939,    -7.8, ,   -17.8, ,    -5.1, ,     5.7, ,    14.0, ,    12.9, ,    19.8, ,    18.5, ,    14.0, ,     3.2, ,     2.1, ,    -2.1, ,     4.8, ,   -10.7, ,     4.9, ,    17.1, ,     6.4, 
1940,   -16.1, ,   -10.0, ,    -4.4, ,      .9, ,    13.7, ,    15.7, ,    19.4, ,    18.6, ,    15.8, ,     8.9, ,    -8.9, ,    -5.7, ,     4.0, ,    -9.4, ,     3.4, ,    17.9, ,     5.3, 
1941,   -11.3, ,    -9.5, ,    -3.0, ,     4.8, ,    12.1, ,    17.0, , -9999.9,M,    18.5, ,    10.0, ,     5.7, ,    -1.3, ,    -6.7, , -9999.9,M,    -8.8, ,     4.6, , -9999.9,M,     4.8, 
