402DAF0,LEADER         ,SK, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
402DAF0,LEADER         ,SK, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1924,   -15.5,a,    -5.0,a,    -1.7,a,     4.0,a,     9.3,a,    12.5,a,    17.7,a,    15.6,a,    12.6,a,     6.5,a,    -5.2,a,   -18.6,a,     2.7,a, -9999.9,M,     3.9,a,    15.3,a,     4.6,a
1925,   -16.7,a,   -12.2,a,    -7.5,a,     6.1,a,    10.2,a,    13.7,a,    18.2,a,    16.5,a,     9.7,a,    -1.5,a,    -2.9,a,    -9.6,a,     2.0,a,   -15.8,a,     2.9,a,    16.1,a,     1.8,a
1926,    -9.5,a,    -8.3,a,    -4.1,a,     5.0,a,    10.4,a,    13.3,a,    21.9,a,    15.2,a,     5.6,a,     4.5,a,    -7.5,a,   -12.6,a,     2.8,a,    -9.1,a,     3.8,a,    16.8,a,      .9,a
1927,   -14.8,a,   -12.5,a,    -2.5, ,     3.4, ,     7.7, ,    15.3, ,    17.4, ,    16.2, ,    11.3, ,     6.5, ,   -10.1, ,   -20.1, ,     1.5,a,   -13.3,a,     2.9, ,    16.3, ,     2.6, 
1928,   -10.0, ,    -8.0, ,    -2.1, ,     3.1, ,    14.3, ,    13.7, ,    18.1, ,    16.1, ,    11.6, ,     3.4, ,     -.7, ,    -6.8, ,     4.4, ,   -12.7, ,     5.1, ,    16.0, ,     4.8, 
1929,   -20.9, ,   -15.4, ,      .1, ,     2.4, ,     9.3, ,    14.7, ,    21.0, ,    20.3, ,    10.1, ,     6.9, ,    -2.9, ,   -13.4, ,     2.7, ,   -14.4, ,     3.9, ,    18.7, ,     4.7, 
1930,   -19.8, ,    -4.4, ,    -2.1, ,     8.8, ,    11.1, ,    15.2, ,    20.2, ,    20.4, ,    12.1, ,     3.0, ,    -1.1, ,    -4.0, ,     5.0, ,   -12.5, ,     5.9, ,    18.6, ,     4.7, 
1931,    -3.9, ,    -1.4, ,    -2.7, ,     6.0, ,    11.9, ,    17.9, ,    19.5, ,    18.7, ,    12.8, ,     6.6, ,    -6.5, ,    -8.8, ,     5.8, ,    -3.1, ,     5.1, ,    18.7, ,     4.3, 
1932,   -15.7, ,   -13.1, ,    -8.8, ,     6.9, ,    12.2, ,    16.5, ,    18.7, ,    17.8, ,    12.0, ,     3.0, ,    -5.2, ,   -10.8, ,     2.8, ,   -12.5, ,     3.4, ,    17.7, ,     3.3, 
1933,   -12.5, ,   -13.8, ,    -2.2, ,     3.9, ,    11.7, ,    18.8, ,    20.6, ,    19.1, ,    11.4, ,     2.7, ,    -2.5, ,   -18.4, ,     3.2, ,   -12.4, ,     4.5, ,    19.5, ,     3.9, 
1934,    -6.9, ,    -4.9, ,    -2.8, ,     7.5, ,    15.8, ,    14.4, ,    19.0, ,    17.9, ,     8.3, ,     7.2, ,    -2.2, ,   -14.0, ,     4.9, ,   -10.1, ,     6.8, ,    17.1, ,     4.4, 
1935,   -22.0, ,    -8.4, ,    -9.1, ,     1.0, ,     9.5, ,    14.8, ,    20.6, ,    16.2, ,    12.4, ,     4.4, ,   -10.5, ,    -9.8, ,     1.6, ,   -14.8, ,      .5, ,    17.2, ,     2.1, 
1936,   -20.0, ,   -28.1, ,    -6.4, ,     2.3, ,    15.5, ,    16.7, ,    24.1, ,    19.5, ,    12.6, ,     5.7, ,    -1.0, ,   -12.9, ,     2.3, ,   -19.3, ,     3.8, ,    20.1, ,     5.8, 
1937,   -24.7, ,   -16.4, ,    -3.9, ,     7.2, ,    13.0, ,    18.0, ,    22.2, ,    18.5, ,    14.3, ,     8.0, ,    -4.4, ,   -12.1, ,     3.3, ,   -18.0, ,     5.4, ,    19.6, ,     6.0, 
1938,   -10.4, ,   -17.5, ,    -2.9, ,     4.9, ,    11.3, ,    17.5, ,    21.0, ,    17.3, ,    18.0, ,     8.7, ,    -3.2, ,    -8.3, ,     4.7, ,   -13.3, ,     4.4, ,    18.6, ,     7.8, 
