4043900,KINDERSLEY     ,SK, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
4043900,KINDERSLEY     ,SK, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1912, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     7.3, ,     3.4, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1913, -9999.9,M, -9999.9,M, -9999.9,M,     6.7, ,     7.9, ,    15.8, ,    15.9, ,    16.7, ,    10.1, ,     -.6, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    16.1, , -9999.9,M
1914, -9999.9,M, -9999.9,M, -9999.9,M,     3.0, ,     9.1, ,    14.0, ,    20.2, ,    16.5, ,    11.1, ,     5.9, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    16.9, , -9999.9,M
1915, -9999.9,M, -9999.9,M, -9999.9,M,     8.7, ,    10.7, ,    12.4, ,    15.1, ,    18.9, ,     8.8, ,     5.5, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    15.5, , -9999.9,M
1916, -9999.9,M, -9999.9,M, -9999.9,M,     4.4, ,     7.7, ,    13.2, ,    18.1, ,    15.2, ,    10.6, ,     2.5, ,    -2.6, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    15.5, ,     3.5, 
1917, -9999.9,M, -9999.9,M, -9999.9,M,      .8, ,    10.6, ,    13.3, ,    19.5, ,    15.9, ,    11.1, ,     1.1, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    16.2, , -9999.9,M
1918, -9999.9,M, -9999.9,M, -9999.9,M,     4.5, ,     8.2, ,    16.5, ,    17.0, ,    16.8, ,     9.5, ,     5.0, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    16.8, , -9999.9,M
1919, -9999.9,M, -9999.9,M, -9999.9,M,     5.0, ,    11.8, ,    16.8, ,    17.8, ,    17.3, ,    11.0, ,    -2.6, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    17.3, , -9999.9,M
1920, -9999.9,M, -9999.9,M, -9999.9,M,    -1.9, ,    10.3, ,    14.4, ,    19.1, ,    17.6, ,    12.0, ,     5.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    17.0, , -9999.9,M
1921, -9999.9,M, -9999.9,M, -9999.9,M,     2.2, ,     9.9, ,    18.0, ,    18.2, ,    17.0, ,     8.8, ,     6.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    17.7, , -9999.9,M
1922, -9999.9,M, -9999.9,M, -9999.9,M,     3.6, ,    10.0, ,    15.9, ,    17.3, ,    18.8, ,    13.4, ,     5.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    17.3, , -9999.9,M
1923, -9999.9,M, -9999.9,M, -9999.9,M,     2.7, ,    10.5, ,    15.9, ,    18.2, ,    15.2, ,    11.6, ,     5.7, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    16.4, , -9999.9,M
1924, -9999.9,M, -9999.9,M, -9999.9,M,     1.6, ,     8.8, ,    13.3, ,    18.2, ,    15.0, ,    11.8, ,     6.6, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    15.5, , -9999.9,M
1925, -9999.9,M, -9999.9,M, -9999.9,M,     5.4, ,    11.4, ,    14.4, ,    17.1, ,    16.7, ,    11.2, ,    -1.4, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    16.1, , -9999.9,M
1926, -9999.9,M, -9999.9,M, -9999.9,M,     4.7, ,    11.7, ,    13.6, ,    20.1, ,    14.0, ,     6.4, ,     3.8, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    15.9, , -9999.9,M
1927, -9999.9,M, -9999.9,M, -9999.9,M,     2.4, ,     7.4, ,    15.1, ,    17.2, ,    15.7, ,    10.2, ,     5.9, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    16.0, , -9999.9,M
1928, -9999.9,M, -9999.9,M, -9999.9,M,     1.0, ,    14.3, ,    13.6, ,    17.8, ,    15.1, ,    11.2, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    15.5, , -9999.9,M
1929, -9999.9,M, -9999.9,M, -9999.9,M,     1.0, ,     8.2, ,    15.0, ,    18.9, ,    18.6, ,     9.1, ,     6.1, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    17.5, , -9999.9,M
1930, -9999.9,M, -9999.9,M, -9999.9,M,     6.3, ,     9.6, ,    15.2, ,    19.4, ,    18.9, ,    11.0, ,     1.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    17.8, , -9999.9,M
1931, -9999.9,M, -9999.9,M, -9999.9,M,     5.1, ,    11.3, ,    17.6, ,    18.7, ,    18.4, ,    11.2, ,     5.7, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    18.2, , -9999.9,M
1932, -9999.9,M, -9999.9,M, -9999.9,M,     5.9, ,    12.0, ,    16.9, ,    18.3, ,    18.2, ,    11.7, ,     1.5, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    17.8, , -9999.9,M
1933, -9999.9,M, -9999.9,M, -9999.9,M,     3.1, ,    11.3, ,    18.6, ,    19.0, ,    18.6, ,    10.6, ,     2.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    18.7, , -9999.9,M
1934, -9999.9,M, -9999.9,M, -9999.9,M,     5.8, ,    14.6, ,    14.8, ,    19.2, ,    16.8, ,     7.2, ,     7.0, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    16.9, , -9999.9,M
1935, -9999.9,M, -9999.9,M, -9999.9,M,      .7, ,     8.9, ,    14.8, ,    20.9, ,    15.5, ,    12.0, ,     4.5, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    17.1, , -9999.9,M
1936, -9999.9,M, -9999.9,M, -9999.9,M,      .2, ,    15.3, ,    16.3, ,    22.8, ,    18.6, ,    11.2, ,     3.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    19.2, , -9999.9,M
1937, -9999.9,M, -9999.9,M, -9999.9,M,     5.6, ,    11.8, ,    17.6, ,    21.9, ,    18.0, ,    12.9, ,     6.2, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    19.2, , -9999.9,M
1938, -9999.9,M, -9999.9,M, -9999.9,M,     3.7, ,    10.7, ,    16.3, ,    19.3, ,    16.3, ,    17.2, ,     8.1, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    17.3, , -9999.9,M
1939, -9999.9,M, -9999.9,M, -9999.9,M,     5.1, ,    12.3, ,    11.5, ,    19.6, ,    18.4, ,    11.7, ,     3.0, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    16.5, , -9999.9,M
1940, -9999.9,M, -9999.9,M, -9999.9,M,     -.1, ,    13.3, ,    14.8, ,    17.5, ,    18.5, ,    15.5, ,     7.9, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    16.9, , -9999.9,M
