4047240,SCOTT          ,SK, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
4047240,SCOTT          ,SK, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1911, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     8.5, ,    14.2, ,    12.9, ,    12.9, ,     8.4, ,     3.9, ,   -11.2, ,   -13.5, , -9999.9,M, -9999.9,M, -9999.9,M,    13.3, ,      .4, 
1912,   -22.1, ,   -14.3, ,   -14.5, ,     4.9, ,     9.8, ,    16.6, ,    14.5, ,    15.5, ,     7.7, ,     4.0, ,    -2.8, ,    -8.6, ,      .9, ,   -16.6, ,      .1, ,    15.5, ,     3.0, 
1913,   -22.6, ,   -15.9, ,   -11.6, ,     6.3, ,     7.6, ,    14.6, ,    15.5, ,    15.5, ,    10.8, ,      .6, ,    -4.5, ,    -9.1, ,      .6, ,   -15.7, ,      .8, ,    15.2, ,     2.3, 
1914,   -16.7, ,   -21.0, ,    -7.1, ,     3.3, ,     9.5, ,    14.0, ,    19.6, ,    15.3, ,    10.2, ,     5.4, ,    -4.6, ,   -16.3, ,     1.0, ,   -15.6, ,     1.9, ,    16.3, ,     3.7, 
1915,   -17.9, ,   -13.6, ,    -6.8, ,     9.3, ,    10.7, ,    11.9, ,    14.6, ,    18.2, ,     8.3, ,     5.2, ,    -7.2, ,   -10.9, ,     1.8, ,   -15.9, ,     4.4, ,    14.9, ,     2.1, 
1916,   -27.9, ,   -15.1, ,   -11.5, ,     3.0, ,     7.5, ,    12.6, ,    17.5, ,    14.0, ,     9.7, ,     2.4, ,    -2.9, ,   -17.3, ,     -.7, ,   -18.0, ,     -.3, ,    14.7, ,     3.1, 
1917,   -19.8, ,   -21.1, ,   -10.1, ,     -.1, ,    10.7, ,    12.8, ,    18.5, ,    15.5, ,    11.2, ,     1.0, ,     2.6, ,   -24.5, ,     -.3, ,   -19.4, ,      .2, ,    15.6, ,     4.9, 
1918,   -20.5, ,   -16.2, ,    -6.4, ,     5.1, ,     7.4, ,    15.9, ,    16.5, ,    16.3, ,     9.9, ,     4.7, ,    -3.5, ,   -10.8, ,     1.5, ,   -20.4, ,     2.0, ,    16.2, ,     3.7, 
1919,    -9.9, ,   -19.0, ,   -15.0, ,     5.7, ,    11.9, ,    16.8, ,    18.2, ,    17.2, ,    11.3, ,    -3.1, ,   -12.3, ,   -15.0, ,      .6, ,   -13.2, ,      .9, ,    17.4, ,    -1.4, 
1920,   -19.8, ,   -11.5, ,    -9.7, ,    -3.3, ,    10.2, ,    13.7, ,    17.8, ,    17.6, ,    11.0, ,     4.8, ,    -4.5, ,   -10.6, ,     1.3, ,   -15.4, ,     -.9, ,    16.4, ,     3.8, 
1921,   -14.3, ,   -13.2, ,   -11.9, ,      .3, ,    10.3, ,    17.4, ,    17.6, ,    15.9, ,     8.6, ,     6.1, ,    -9.4, ,   -13.4, ,     1.2, ,   -12.7, ,     -.4, ,    17.0, ,     1.8, 
1922,   -17.5, ,   -20.8, ,    -9.3, ,     3.8, ,    10.6, ,    14.9, ,    16.3, ,    17.4, ,    12.4, ,     4.1, ,    -3.7, ,   -15.2, ,     1.1, ,   -17.2, ,     1.7, ,    16.2, ,     4.3, 
1923,   -15.3, ,   -17.4, ,   -10.8, ,     2.6, ,    10.1, , -9999.9,M, -9999.9,M,    14.5, ,    10.6, ,     5.1, ,    -1.9, ,    -9.2, , -9999.9,M,   -16.0, ,      .6, , -9999.9,M,     4.6, 
1924,   -19.0, ,   -10.4, ,    -8.0, ,      .6, ,     7.8, ,    12.3, ,    17.6, ,    14.1, ,    11.2, ,     6.1, ,    -6.9, ,   -20.3, ,      .4, ,   -12.9, ,      .1, ,    14.7, ,     3.5, 
1925,   -19.3, ,   -18.5, ,   -10.5, ,     4.9, ,    10.5, ,    13.4, ,    16.6, ,    15.2, ,    10.5, ,    -1.2, ,    -5.1, ,   -10.5, ,      .5, ,   -19.4, ,     1.6, ,    15.1, ,     1.4, 
1926,   -11.3, ,   -11.6, ,    -7.8, ,     3.0, ,    10.9, ,    12.5, ,    18.4, ,    14.7, ,     6.2, ,     3.2, ,    -9.6, ,   -17.7, ,      .9, ,   -11.1, ,     2.0, ,    15.2, ,     -.1, 
1927,   -18.3, ,   -18.4, ,    -7.4, ,     1.1, ,     7.6, ,    14.3, ,    16.4, ,    15.1, ,    10.6, ,     5.6, ,   -13.4, ,   -23.0, ,     -.8, ,   -18.1, ,      .4, ,    15.3, ,      .9, 
1928,   -13.6, ,   -10.2, ,    -6.3, ,     -.6, ,    12.6, ,    13.3, ,    17.1, ,    13.5, ,     9.6, ,     2.4, ,    -2.9, ,    -8.0, ,     2.2, ,   -15.6, ,     1.9, ,    14.6, ,     3.0, 
1929,   -23.2, ,   -18.5, ,    -3.2, ,      .7, ,     7.4, ,    14.3, ,    17.6, ,    17.3, ,     8.6, ,     5.5, ,    -3.7, ,   -16.6, ,      .5, ,   -16.6, ,     1.6, ,    16.4, ,     3.5, 
1930,   -22.7, ,    -9.4, ,    -4.8, ,     5.8, ,     8.7, ,    14.0, ,    17.2, ,    17.2, ,    10.6, ,     1.0, ,    -2.9, ,    -6.6, ,     2.3, ,   -16.2, ,     3.2, ,    16.1, ,     2.9, 
1931,    -9.0, ,    -3.6, ,    -6.4, ,     4.6, ,    10.4, ,    15.6, ,    17.2, ,    16.3, ,    10.5, ,     5.3, ,    -7.2, ,   -10.3, ,     3.6, ,    -6.4, ,     2.9, ,    16.4, ,     2.9, 
1932,   -18.1, ,   -17.0, ,   -12.5, ,     3.9, ,    11.4, ,    15.6, ,    16.8, ,    17.0, ,    11.4, ,     1.1, ,    -7.3, ,   -13.9, ,      .7, ,   -15.1, ,      .9, ,    16.5, ,     1.7, 
