4056120,PILGER         ,SK, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
4056120,PILGER         ,SK, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1911, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     3.0, ,   -13.0, ,   -15.0, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1912, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1913,   -25.1, ,   -18.5, ,   -15.6, ,     4.2, ,     8.1, ,    14.9, ,    15.4, ,    15.2, ,    11.3, ,     1.0, ,    -3.9, ,    -9.4, ,     -.2, , -9999.9,M,    -1.1, ,    15.2, ,     2.8, 
1914,   -15.8, ,   -22.7, ,    -7.4, ,     1.9, ,     9.6, ,    14.6, ,    19.8, ,    15.3, ,    11.6, ,     6.1, ,    -5.4, ,   -17.6, ,      .8, ,   -16.0, ,     1.4, ,    16.6, ,     4.1, 
1915,   -18.4, ,   -10.7, ,    -7.8, ,     7.9, ,    10.1, ,    11.4, ,    13.8, ,    17.4, ,     7.3, ,     4.3, ,    -8.1, ,   -13.8, ,     1.1, ,   -15.6, ,     3.4, ,    14.2, ,     1.2, 
1916,   -27.5, ,   -17.5, ,   -11.3, ,     1.9, ,     7.4, ,    12.4, ,    17.6, ,    14.7, ,     9.1, ,     1.5, ,    -5.0, ,   -20.4, ,    -1.4, ,   -19.6, ,     -.7, ,    14.9, ,     1.9, 
1917,   -24.1, ,   -22.2, ,   -10.1, ,    -1.7, ,     9.8, ,    12.6, ,    18.0, ,    15.3, , -9999.9,M, -9999.9,M,     1.6, ,   -25.3, , -9999.9,M,   -22.2, ,     -.7, ,    15.3, , -9999.9,M
1918,   -22.3, ,   -18.5, ,    -6.3, ,     4.3, ,     6.5, ,    15.6, ,    15.8, ,    16.1, ,    10.4, ,     5.7, ,    -2.5, ,   -10.6, ,     1.2, ,   -22.0, ,     1.5, ,    15.8, ,     4.5, 
1919,   -11.4, ,   -18.6, ,   -13.8, ,     5.8, ,    13.0, ,    18.6, ,    18.7, ,    18.4, ,    11.7, ,    -2.5, ,   -12.7, ,   -17.0, ,      .9, ,   -13.5, ,     1.7, ,    18.6, ,    -1.2, 
1920,   -21.1, ,   -11.2, ,    -9.9, ,    -3.9, ,    10.6, ,    15.0, ,    19.2, ,    19.0, ,    12.9, ,     6.6, ,    -4.0, ,   -11.6, ,     1.8, ,   -16.4, ,    -1.1, ,    17.7, ,     5.2, 
