4060982,BUFFALO NARROWS,SK, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
4060982,BUFFALO NARROWS,SK, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1962, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     7.1, ,    15.0, ,    15.9, ,    17.0, ,    12.2, ,     8.9, ,    -7.6, ,   -15.7, , -9999.9,M, -9999.9,M, -9999.9,M,    16.0, ,     4.5, 
1963, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1964,   -16.7, ,    -9.3, ,   -18.6, ,     1.5, ,     8.5, ,    15.1, ,    18.0, ,    14.4, ,     7.6, ,     5.3, ,    -7.6, , -9999.9,M, -9999.9,M, -9999.9,M,    -2.9, ,    15.8, ,     1.8, 
1965, -9999.9,M, -9999.9,M,   -13.6, , -9999.9,M,     7.4, ,    13.7, ,    17.3, ,    15.3, ,     4.9, ,     5.3, ,   -11.8, ,   -12.5, , -9999.9,M, -9999.9,M, -9999.9,M,    15.4, ,     -.5, 
1966,   -28.1, ,   -17.3, ,    -7.4, ,    -1.7, ,     8.8, ,    13.4, ,    15.9, ,    15.1, ,    11.9, ,     2.4, ,   -15.3, ,   -15.9, ,    -1.5, ,   -19.3, ,     -.1, ,    14.8, ,     -.3, 
1967,   -21.2, ,   -19.0, ,   -15.3, ,    -3.2, ,     6.7, ,    12.6, ,    16.5, ,    17.3, ,    13.7, ,     2.4, ,    -6.0, ,   -15.3, ,     -.9, ,   -18.7, ,    -3.9, ,    15.5, ,     3.4, 
1968,   -21.6, ,   -14.6, ,    -4.0, ,     1.9, ,     8.9, ,    14.0, ,    14.6, ,    13.1, ,     9.1, ,     3.1, ,    -5.2, ,   -20.4, ,     -.1, ,   -17.2, ,     2.3, ,    13.9, ,     2.3, 
1969,   -30.7, ,   -17.2, ,   -11.5, ,     3.5, ,     7.5, ,    11.9, ,    15.7, ,    15.9, ,     8.1, ,     -.6, ,    -7.9, ,   -12.5, ,    -1.5, ,   -22.8, ,     -.2, ,    14.5, ,     -.1, 
1970,   -22.5, ,   -15.5, ,   -12.6, ,     2.1, ,     7.9, ,    15.7, ,    17.3, ,    15.5, ,     9.1, ,     2.8, ,   -10.0, ,   -22.0, ,    -1.0, ,   -16.8, ,     -.9, ,    16.2, ,      .6, 
1971,   -25.1, ,   -13.3, ,   -10.9, ,     2.5, ,    11.1, ,    15.3, ,    15.4, ,    16.8, ,     9.6, ,     3.4, ,    -9.4, ,   -20.9, ,     -.5, ,   -20.1, ,      .9, ,    15.8, ,     1.2, 
1972,   -25.3, ,   -22.8, ,    -9.3, ,    -1.3, ,    10.5, , -9999.9,M,    15.0, ,    16.7, ,     3.7, ,      .2, ,    -8.0, ,   -20.5, , -9999.9,M,   -23.0, ,      .0, , -9999.9,M,    -1.4, 
1973,   -16.2, ,   -16.2, , -9999.9,M,     1.0, , -9999.9,M, -9999.9,M,    17.4, ,    16.4, ,     9.6, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -17.6, , -9999.9,M, -9999.9,M, -9999.9,M
1974,   -25.3, ,   -16.4, ,   -15.2, ,     2.5, ,     6.1, ,    14.8, ,    16.6, ,    13.2, ,     6.7, ,     4.0, ,    -3.9, ,    -9.2, ,     -.5, , -9999.9,M,    -2.2, ,    14.9, ,     2.3, 
1975,   -19.0, ,   -17.2, ,   -11.4, ,      .0, ,     8.1, ,    14.0, ,    18.5, ,    13.6, ,    10.1, ,     3.5, ,    -7.0, ,   -15.9, ,     -.2, ,   -15.1, ,    -1.1, ,    15.4, ,     2.2, 
1976,   -16.9, ,   -14.5, ,    -9.4, ,     5.3, ,    10.6, ,    14.3, ,    17.4, ,    17.0, ,    12.0, ,     2.1, ,    -5.4, ,   -16.8, ,     1.3, ,   -15.8, ,     2.2, ,    16.2, ,     2.9, 
1977,   -19.8, ,    -6.1, ,    -6.3, ,     4.6, ,    11.9, ,    15.5, ,    15.4, ,    11.8, ,    10.2, ,     5.3, ,    -8.4, ,   -21.3, ,     1.1, ,   -14.2, ,     3.4, ,    14.2, ,     2.4, 
1978,   -23.6, ,   -16.1, ,    -8.4, ,      .5, ,     8.3, ,    14.1, ,    15.8, ,    14.1, ,     9.7, ,     5.3, ,    -9.7, ,   -19.0, ,     -.8, ,   -20.3, ,      .1, ,    14.7, ,     1.8, 
1979,   -19.4, ,   -26.4, ,   -10.4, ,    -3.0, ,     5.9, ,    13.7, ,    19.5, ,    14.7, ,    10.4, ,     4.1,E,    -4.2, ,   -11.0, ,     -.5,E,   -21.6, ,    -2.5, ,    16.0, ,     3.4,E
1980,   -19.0, ,   -13.3, ,    -9.9, ,     9.0, ,    11.4, ,    14.7, ,    17.7, ,    14.5, ,     8.0, ,     5.1, ,    -3.5, ,   -21.8, ,     1.1, ,   -14.4, ,     3.5, ,    15.6, ,     3.2, 
1981,   -11.6, ,   -11.8, ,    -3.1, ,      .7, ,    10.9, ,    14.5, ,    18.0, ,    19.4, ,    11.8,E,      .9, ,    -2.1, ,   -17.6, ,     2.5,E,   -15.1, ,     2.8, ,    17.3, ,     3.5,E
1982,   -31.7, ,   -19.0, ,   -11.7, ,    -1.5, ,     8.2, ,    14.6, ,    17.4, ,    13.5, ,    10.4, ,     5.0, ,   -12.4, ,   -15.9, ,    -1.9, ,   -22.8, ,    -1.7, ,    15.2, ,     1.0, 
