4061632,COLLINS BAY    ,SK, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
4061632,COLLINS BAY    ,SK, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1972, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     1.7, ,    -5.0, ,   -13.4, ,   -26.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -5.6, 
1973,   -20.2, ,   -22.0, ,    -7.9, ,    -4.0, ,     8.8, ,    11.1, ,    16.8, ,    15.9, ,     7.7, ,     1.2, ,   -14.6, ,   -22.6, ,    -2.5, ,   -22.8, ,    -1.0, ,    14.6, ,    -1.9, 
1974,   -29.7, ,   -22.5, ,   -20.5, ,    -2.5, ,     3.9, ,    11.8, ,    15.6, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -16.1, , -9999.9,M,   -24.9, ,    -6.4, , -9999.9,M, -9999.9,M
1975,   -28.0, ,   -20.7, ,   -17.2, ,    -2.0, ,     4.3, ,    10.9, ,    16.0, ,    12.3, ,     7.2, ,    -1.1, ,   -11.9, ,   -22.5, ,    -4.4, ,   -21.6, ,    -5.0, ,    13.1, ,    -1.9, 
1976,   -25.7, ,   -21.2, ,   -16.7, ,     1.7, ,     7.1, ,    12.7, ,    15.3, ,    14.3, ,     8.4, ,    -2.2, ,   -13.0, ,   -25.3, ,    -3.7, ,   -23.1, ,    -2.6, ,    14.1, ,    -2.3, 
1977,   -24.5, ,   -15.2, ,   -10.6, ,     -.5, ,     8.2, ,    12.3, ,    13.4, ,     9.1, ,     8.3, ,     2.5, ,   -12.5, ,   -25.0, ,    -2.9, ,   -21.7, ,    -1.0, ,    11.6, ,     -.6, 
1978,   -24.7, ,   -18.0, ,   -16.0, ,    -5.2, ,     3.1, ,     9.1, ,    12.6, ,    10.7, ,     4.9, ,     -.7, ,   -14.7, ,   -23.6, ,    -5.2, ,   -22.6, ,    -6.0, ,    10.8, ,    -3.5, 
1979,   -25.1, ,   -29.8, ,   -17.3, ,    -6.9, ,     2.5, ,    10.6, ,    16.2, ,    10.3, , -9999.9,M,    -2.1, ,    -9.6, ,   -14.7, , -9999.9,M,   -26.2, ,    -7.2, ,    12.4, , -9999.9,M
1980,   -25.3, ,   -18.9, ,   -14.8, ,     3.4, ,     6.6, ,    11.6, ,    14.3, ,    13.1, ,     4.0, ,      .0, ,   -11.0, ,   -26.8, ,    -3.7, ,   -19.6, ,    -1.6, ,    13.0, ,    -2.3, 
1981,   -15.9, ,   -16.7, ,    -9.0, ,    -6.8, ,     5.7, ,    11.2, ,    14.7, ,    17.2, ,     7.4, ,    -1.9, ,    -6.6, ,   -21.1, ,    -1.8, ,   -19.8, ,    -3.4, ,    14.4, ,     -.4, 
1982,   -34.2, ,   -22.5, ,   -16.1, ,    -5.2, ,     4.7, ,     8.9, ,    14.5, ,    11.1, ,     7.5, ,     1.1, ,   -16.4, ,   -22.9, ,    -5.8, ,   -25.9, ,    -5.5, ,    11.5, ,    -2.6, 
1983,   -22.9, ,   -23.0, ,   -13.1, ,    -4.3, ,      .2, ,    11.3, ,    15.6, ,    16.1, ,     7.2, ,     1.1, ,    -6.8, ,   -25.6, ,    -3.7, ,   -22.9, ,    -5.7, ,    14.3, ,      .5, 
1984,   -26.0, ,   -13.8, ,   -13.4, ,      .2, ,     4.1, ,    12.7, ,    16.1, ,    16.2, ,     4.8, ,    -1.9, ,   -16.2, ,   -26.9, ,    -3.7, ,   -21.8, ,    -3.0, ,    15.0, ,    -4.4, 
1985,   -23.2, ,   -26.2, ,   -11.4, ,    -4.1, ,     6.1, ,     9.9, ,    13.5, ,    13.0, ,     4.9, ,    -3.3, ,   -19.3, ,   -21.5, ,    -5.1, ,   -25.4, ,    -3.1, ,    12.1, ,    -5.9, 
1986,   -21.6, ,   -20.8, ,   -12.6, ,    -4.5, ,     6.3, ,    10.3, ,    12.8, ,    12.6, ,     5.9, ,     -.9, ,   -18.6, ,   -15.0, ,    -3.8, ,   -21.3, ,    -3.6, ,    11.9, ,    -4.5, 
1987,   -17.5, ,   -15.8, ,   -12.2, ,     -.3, ,     5.9, ,    12.9, ,    14.8, ,    10.1, ,     9.2, ,     -.9, ,   -10.1, ,   -16.0, ,    -1.7, ,   -16.1, ,    -2.2, ,    12.6, ,     -.6, 
1988,   -26.9, ,   -23.4, ,   -12.6, ,    -5.1, ,     3.8, ,    13.1, ,    15.3, ,    14.3, ,     7.5, ,     -.9, ,   -12.9, ,   -21.1, ,    -4.1, ,   -22.1, ,    -4.6, ,    14.2, ,    -2.1, 
1989,   -24.3, ,   -21.3, ,   -19.9, ,    -6.3, ,     3.5, ,    10.5, ,    17.8, ,    14.5, ,     7.5, ,     -.1, ,   -17.6, ,   -26.4, ,    -5.2, ,   -22.2, ,    -7.6, ,    14.3, ,    -3.4, 
1990,   -24.1, ,   -24.9, ,   -10.0, ,    -5.7, ,     5.0, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -25.1, ,    -3.6, , -9999.9,M, -9999.9,M
1991, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
