4063755,KEY LAKE       ,SK, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
4063755,KEY LAKE       ,SK, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1976, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -11.9,a,   -25.0,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1977,   -26.4,a,   -13.0,a,   -10.1,a,     1.0,a,    10.7,a,    15.1,a,    14.3,a,    10.1,a,     8.2,a,     2.6,a, -9999.9,M, -9999.9,M, -9999.9,M,   -21.5,a,      .5,a,    13.2,a, -9999.9,M
1978,   -26.3,a,   -18.8,a, -9999.9,M,    -2.8,a,     5.5,a,    11.8,a,    14.2,a,    12.0,a,     6.4,a,     1.5,a,   -14.5,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    12.7,a,    -2.2,a
1979, -9999.9,M,   -31.2,a,   -15.8,a,    -6.1,a,     3.5,a,    12.2,a,    17.6,a,    11.8,a,     7.4,a,     -.5,a,    -8.8,a,   -15.1,a, -9999.9,M, -9999.9,M,    -6.1,a,    13.9,a,     -.6,a
1980,   -25.7,a,   -18.8,a,   -14.6,a,     5.4,a,     8.5,a,    13.5,a,    15.5,a,    13.2,a,     5.0,a,     2.0,a,    -8.7,a,   -27.2,a,    -2.7,a,   -19.9,a,     -.2,a,    14.1,a,     -.6,a
1981,   -15.9,a,   -15.9,a,    -7.3,a,    -4.5,a,     7.6,a,    12.6,a,    16.3,a,    18.1,a,     8.8,a,    -2.2,a,    -6.2,a,   -21.3,a,     -.8,a,   -19.7,a,    -1.4,a,    15.7,a,      .1,a
1982,   -35.8,a,   -22.6,a,   -15.2,a,    -4.3,a,     6.0,a,    11.2,a,    15.5,a,    11.4,a,     8.1,a,     1.8,a,   -16.1,a,   -22.2,a,    -5.2,a,   -26.6,a,    -4.5,a,    12.7,a,    -2.1,a
1983,   -22.2,a,   -20.4,a,   -12.5,a,    -2.3,a,     3.0,a,    12.5,a,    16.6,a,    17.1,a,     7.6,a,     1.7,a,    -6.2,a,   -26.1,a,    -2.6,a,   -21.6,a,    -3.9,a,    15.4,a,     1.0,a
1984,   -24.9,a,   -11.3,a,   -12.0,a,     2.2,E,     5.1,a,    13.8,a,    16.9,a,    16.6,a,     5.7,a,    -1.0,a,   -16.1,a,   -27.0,a,    -2.7,a,   -20.8,a,    -1.6,a,    15.8,a,    -3.8,a
1985,   -22.9,E,   -26.7,a,    -9.3,a,    -2.3,a,     7.6,a,    11.0,a,    14.9,a,    13.8,a,     5.4,a,    -1.9,a,   -19.7,a,   -19.3,a,    -4.1,a,   -25.5,a,    -1.3,a,    13.2,a,    -5.4,a
