4064620,LOON LAKE      ,SK, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
4064620,LOON LAKE      ,SK, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1930,   -23.1, ,   -12.3, ,    -6.6, ,     3.4, ,     7.5, ,    13.4, ,    16.4, ,    14.7, ,     8.4, ,     1.1, ,    -4.5, , -9999.9,M, -9999.9,M, -9999.9,M,     1.4, ,    14.8, ,     1.7, 
1931,    -9.2, ,    -3.1, ,    -9.7, ,     3.9, ,     8.5, , -9999.9,M,    15.5, ,    14.1, ,     8.4, ,     5.0, ,    -7.7, ,   -11.9, , -9999.9,M, -9999.9,M,      .9, , -9999.9,M,     1.9, 
1932,   -19.4, ,   -19.1, ,   -15.8, ,     2.3, ,    11.1, ,    13.9, ,    15.0, ,    15.5, , -9999.9,M,     -.8, ,   -10.2, ,   -16.3, , -9999.9,M,   -16.8, ,     -.8, ,    14.8, , -9999.9,M
1933,   -20.7, ,   -19.8, ,   -10.3, ,     1.0, ,    10.0, ,    13.8, ,    14.6, ,    14.9, ,     8.2, ,      .4, ,    -6.3, ,   -26.3, ,    -1.7, ,   -18.9, ,      .2, ,    14.4, ,      .8, 
1934,   -13.8, ,    -8.9, ,    -8.6, ,     4.9, ,    11.5, ,    11.4, ,    14.8, ,    12.9, ,     5.2, ,     3.8, ,    -5.5, , -9999.9,M, -9999.9,M,   -16.3, ,     2.6, ,    13.0, ,     1.2, 
1935,   -25.0, ,    -6.9, ,   -12.9, ,    -3.0, ,     9.0, ,    11.8, ,    16.5, ,    12.5, ,     8.1, ,     1.6, ,   -13.4, ,   -13.0, ,    -1.2, , -9999.9,M,    -2.3, ,    13.6, ,    -1.2, 
1936,   -25.3, , -9999.9,M,    -8.2, ,    -1.7, ,    11.0, ,    12.5, ,    17.1, ,    13.8, ,     6.2, , -9999.9,M,    -3.5, , -9999.9,M, -9999.9,M, -9999.9,M,      .4, ,    14.5, , -9999.9,M
1937, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     9.2, , -9999.9,M, -9999.9,M, -9999.9,M,    10.8, ,     3.4, ,    -9.6, ,   -17.5, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     1.5, 
1938,   -14.1, ,   -19.0, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -16.9, , -9999.9,M, -9999.9,M, -9999.9,M
1939, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1940,   -20.4, ,   -14.5, ,    -6.2, ,    -1.6, ,    11.3, ,    12.5, ,    15.8, ,    16.9, ,    12.5, ,     6.4, ,   -11.6, ,   -13.9, ,      .6, , -9999.9,M,     1.2, ,    15.1, ,     2.4, 
1941,   -18.7, ,   -15.1, ,    -8.3, ,     5.9, ,     9.6, ,    14.5, ,    19.2, ,    15.0, ,     7.1, ,     4.5, ,    -2.9, ,   -13.3, ,     1.5, ,   -15.9, ,     2.4, ,    16.2, ,     2.9, 
1942,   -10.0, , -9999.9,M,    -3.9, ,     2.3, ,     8.8, ,    13.3, ,    16.3, ,    15.7, ,     8.2, ,     4.5, ,   -12.1, ,   -19.3, , -9999.9,M, -9999.9,M,     2.4, ,    15.1, ,      .2, 
1943,   -21.3, ,   -12.1, ,   -13.0, ,     4.3, ,     7.8, ,    11.9, ,    17.5, ,    15.5, ,    10.8, ,     6.6, ,    -3.1, , -9999.9,M, -9999.9,M,   -17.6, ,     -.3, ,    15.0, ,     4.8, 
1944, -9999.9,M,   -15.8, ,   -12.0, ,     6.2, ,    11.8, ,    13.1, ,    16.6, ,    14.9, ,    12.2, ,     7.2, ,    -6.8, , -9999.9,M, -9999.9,M, -9999.9,M,     2.0, ,    14.9, ,     4.2, 
1945,   -16.3, ,   -17.3, , -9999.9,M,    -2.4, ,     7.7, ,    11.6, ,    16.8, , -9999.9,M,     7.6, ,     5.8, ,   -12.8, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,      .2, 
