4068559,WASKESIU LAKE  ,SK, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
4068559,WASKESIU LAKE  ,SK, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1966,   -27.6, ,   -17.6, ,    -7.1, ,    -1.6, ,     8.6, ,    12.6, ,    15.5, ,    14.1, ,    11.4, ,     3.9, ,   -13.6, ,   -14.5, ,    -1.3, , -9999.9,M,      .0, ,    14.1, ,      .6, 
1967,   -20.3, ,   -17.6, ,   -10.6, ,    -2.9, ,     7.2, ,    11.8, ,    16.3, ,    16.9, ,    13.5, ,     2.5, ,    -5.6, ,   -14.7, ,     -.3, ,   -17.5, ,    -2.1, ,    15.0, ,     3.5, 
1968,   -20.6, ,   -14.2, ,    -4.4, ,     -.3, ,     7.8, ,    12.8, ,    14.6, ,    12.6, ,    10.2, ,     2.6, ,    -4.8, ,   -18.2, ,     -.2, ,   -16.5, ,     1.0, ,    13.3, ,     2.7, 
1969,   -28.7, ,   -15.2, ,    -9.3, ,     5.4, ,     8.6, ,    11.7, ,    15.2, ,    16.2, ,     8.7, ,     -.9, ,    -4.3, ,   -10.9, ,     -.3, ,   -20.7, ,     1.6, ,    14.4, ,     1.2, 
1970,   -20.1, ,   -12.7, ,   -11.8, ,     1.3, ,     8.2, ,    16.5, ,    17.7, ,    15.7, ,     9.3, ,     2.7, ,    -9.0, ,   -21.6, ,     -.3, ,   -14.6, ,     -.8, ,    16.6, ,     1.0, 
1971,   -25.1, , -9999.9,M,   -10.9, , -9999.9,M,    11.3, ,    14.0, ,    15.4, ,    16.9, ,     9.7, ,     4.8, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    15.4, , -9999.9,M
1972, -9999.9,M, -9999.9,M,    -9.3, ,    -1.6, ,     9.9, ,    14.7, ,    13.3, ,    15.2, ,     4.6, ,      .1, ,    -7.2, ,   -20.4, , -9999.9,M, -9999.9,M,     -.3, ,    14.4, ,     -.8, 
1973,   -16.9, ,   -15.9, ,    -3.1, ,     1.0, ,     9.4, ,    12.0, ,    15.1, ,    14.6, ,     7.7, ,     2.4, ,   -14.8, ,   -21.5, ,     -.8, ,   -17.7, ,     2.4, ,    13.9, ,    -1.6, 
1974, -9999.9,M,   -15.8, ,   -16.3, ,     1.2, ,     4.2, ,    12.4, ,    15.7, ,    11.9, ,     4.1, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -3.6, ,    13.3, , -9999.9,M
1975, -9999.9,M, -9999.9,M,   -13.2, ,    -1.5, ,     6.4, ,    12.3, ,    17.9, ,    12.1, ,     8.5, ,     2.1, ,    -7.3, ,   -16.9, , -9999.9,M, -9999.9,M,    -2.8, ,    14.1, ,     1.1, 
1976,   -17.9, ,   -13.6, ,   -11.7, ,     4.2, ,     9.8, ,    12.4, ,    16.1, ,    15.5, ,    11.6, ,     1.9, ,    -6.2, ,   -16.4, ,      .5, ,   -16.1, ,      .8, ,    14.7, ,     2.4, 
1977,   -20.0, ,    -5.7, ,    -5.0, ,     4.8, ,    13.0, ,    14.9, ,    15.3, ,    11.5, ,     9.1, ,     5.5, ,    -7.8, ,   -20.4, ,     1.3, ,   -14.0, ,     4.3, ,    13.9, ,     2.3, 
1978,   -22.8, ,   -16.1, ,    -7.7, ,      .5, ,    10.1, ,    14.5, ,    15.6, ,    13.2,E,     9.4, ,     5.1, ,   -10.1, ,   -16.9, ,     -.4,E,   -19.8, ,     1.0, ,    14.4,E,     1.5, 
1979,   -20.4, ,   -24.9, ,    -9.4, ,    -3.4, ,     6.1, ,    13.9, ,    18.3, ,    14.7, ,    10.1, ,     3.6, ,    -4.4, ,   -12.2,E,     -.7,E,   -20.7, ,    -2.2, ,    15.6, ,     3.1, 
1980,   -19.5, ,   -14.2, ,   -10.5, ,     7.4, ,    11.9, ,    14.7, ,    16.7, ,    14.1,E,     8.1, ,     5.2, ,    -2.7, ,   -19.4, ,     1.0,E,   -15.3,E,     2.9, ,    15.2,E,     3.5, 
1981,   -10.9, ,   -10.7, ,    -3.1, ,     1.3, ,     9.8, ,    13.6, ,    17.2, ,    18.4,E,    11.1, ,     1.9, ,    -1.5, ,   -14.7, ,     2.7,E,   -13.7, ,     2.7, ,    16.4,E,     3.8, 
1982,   -29.6, ,   -17.1,E,    -9.7, ,      .0, ,     8.0, ,    13.3, ,    16.4, ,    13.1, ,     9.8, ,     4.2, ,   -10.6, ,   -13.8, ,    -1.3,E,   -20.5,E,     -.6, ,    14.3, ,     1.1, 
1983,   -14.7, ,   -13.0, ,    -7.8, ,      .7, ,     6.8, ,    14.0, ,    18.0, ,    18.5, ,     8.5,E,     3.9,E,    -3.2, ,   -22.5,E,      .8,E,   -13.8, ,     -.1, ,    16.8, ,     3.1,E
1984,   -13.7, ,    -5.3,E,    -7.5,E,     6.0, ,     7.5, ,    15.1, ,    17.6, ,    17.9, ,     7.4, ,     1.9, ,   -11.0, ,   -21.1,E,     1.2,E,   -13.8,E,     2.0,E,    16.9, ,     -.6, 
1985,   -16.6,E,   -19.1, ,    -3.8,E,     3.7,E,    10.5, ,    11.5, ,    15.9, ,    14.1, ,     6.9, ,     2.2, ,   -15.7,E,   -14.4, ,     -.4,E,   -18.9,E,     3.5,E,    13.8, ,    -2.2,E
