4083324,HUDSON BAY     ,SK, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
4083324,HUDSON BAY     ,SK, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1943, -9999.9,M, -9999.9,M, -9999.9,M,     3.2, ,     6.4, ,    12.3, ,    18.1, ,    15.3, ,     9.4, ,     6.2, ,    -3.8, ,   -12.2, , -9999.9,M, -9999.9,M, -9999.9,M,    15.2, ,     3.9, 
1944,   -11.9, ,   -16.8, ,   -13.4, ,     3.9, ,    10.9, ,    13.5, ,    16.6, ,    14.7, ,    10.5, ,     5.7, ,    -5.8, ,   -14.2, ,     1.1, ,   -13.6, ,      .5, ,    14.9, ,     3.5, 
1945,   -17.6, ,   -15.5, ,    -4.3, ,    -2.3, ,     5.5, ,    11.5, ,    16.7, ,    15.8, ,     8.2, ,     4.2, ,   -10.8, ,   -19.1, ,     -.6, ,   -15.8, ,     -.4, ,    14.7, ,      .5, 
1946,   -17.6, ,   -19.6, ,    -3.6, ,     5.3, ,     7.2, ,    12.9, ,    17.9, ,    15.0, ,    10.7, ,     1.2, ,    -9.6, ,   -18.4, ,      .1, ,   -18.8, ,     3.0, ,    15.3, ,      .8, 
1947,   -16.9, ,   -19.7, ,    -9.1, ,     -.3, ,     7.2, ,    14.2, ,    19.7, ,    16.0, ,     9.1, ,     6.8, ,    -9.2, ,   -17.0, ,      .1, ,   -18.3, ,     -.7, ,    16.6, ,     2.2, 
1948,   -17.3, ,   -20.1, ,   -12.9, ,    -3.1, ,    10.0, ,    15.2, ,    17.7, ,    16.3, ,    12.6, ,     5.5, ,    -5.3, ,   -17.2, ,      .1, ,   -18.1, ,    -2.0, ,    16.4, ,     4.3, 
1949,   -19.5, ,   -21.7, ,    -7.9, ,     5.8, ,     9.4, ,    13.7, ,    16.3, ,    18.6, ,     9.5, ,     2.2, ,    -1.8, ,   -20.4, ,      .4, ,   -19.5, ,     2.4, ,    16.2, ,     3.3, 
1950,   -31.2, ,   -17.7, ,   -11.2, ,    -1.3, ,     8.4, ,    13.1, ,    16.7, ,    14.2, ,    10.7, ,     3.4, ,   -10.0, ,   -17.4, ,    -1.9, ,   -23.1, ,    -1.4, ,    14.7, ,     1.4, 
1951,   -21.5, ,   -16.1, ,   -13.5, ,     1.8, ,    11.0, ,    12.5, ,    16.2, ,    13.7, ,     9.1, ,      .7, ,   -10.2, ,   -18.7, ,    -1.3, ,   -18.3, ,     -.2, ,    14.1, ,     -.1, 
1952,   -21.9, ,   -12.9, ,    -9.6, ,     7.5, ,    10.7, ,    13.8, ,    16.3, ,    15.4, ,    11.0, ,     3.6, ,    -4.2, ,   -11.8, ,     1.5, ,   -17.8, ,     2.9, ,    15.2, ,     3.5, 
1953,   -19.8, ,   -13.0, ,    -8.9, ,     -.1, ,     8.2, ,    13.7, ,    17.0, ,    17.3, ,    10.2, ,     6.7, ,    -1.7, ,   -13.0, ,     1.4, ,   -14.9, ,     -.3, ,    16.0, ,     5.1, 
1954,   -26.7, ,    -8.0, ,   -10.7, ,    -4.8, ,     6.8, ,    13.3, ,    17.6, ,    15.0, ,     9.3, ,     3.9, ,    -2.4, ,    -9.4, ,      .3, ,   -15.9, ,    -2.9, ,    15.3, ,     3.6, 
1955,   -17.8, ,   -17.3, ,   -14.5, ,     4.9, ,     9.9, ,    15.5, ,    18.6, ,    17.6, ,     9.0, ,     4.6, ,   -13.4, ,   -21.9, ,     -.4, ,   -14.8, ,      .1, ,    17.2, ,      .1, 
1956,   -20.3, ,   -18.3, ,   -12.2, ,    -1.6, ,     8.6, ,    16.6, ,    16.5, ,    15.2, ,     7.8, ,     4.1, ,    -6.3, ,   -16.3, ,     -.5, ,   -20.2, ,    -1.7, ,    16.1, ,     1.9, 
1957,   -21.8, ,   -17.3, ,    -9.5, ,      .1, ,     9.0, ,    13.1, ,    18.5, ,    14.8, ,    10.6, ,     4.3, ,    -6.3, ,   -15.0, ,      .0, ,   -18.5, ,     -.1, ,    15.5, ,     2.9, 
1958,   -14.1, ,   -16.9, ,    -6.2, ,     3.6, ,    10.6, ,    11.4, ,    16.4, ,    16.2, ,     9.7, ,     4.4, ,    -8.0, ,   -16.6, ,      .9, ,   -15.3, ,     2.7, ,    14.7, ,     2.0, 
1959,   -23.7, ,   -15.4, ,    -4.8, ,     2.2, ,     8.0, ,    14.5, ,    18.4, ,    14.8, ,     9.3, ,      .0, ,   -10.2, ,    -8.2, ,      .4, ,   -18.6, ,     1.8, ,    15.9, ,     -.3, 
1960,   -20.5, ,   -15.7, ,   -12.4, ,     1.1, ,    10.2, ,    13.5, ,    18.4, ,    16.9, ,    11.7, ,     4.4, ,    -8.3, ,   -15.3, ,      .3, ,   -14.8, ,     -.4, ,    16.3, ,     2.6, 
