4086000,PELLY          ,SK, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
4086000,PELLY          ,SK, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1951, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     8.1, ,      .4, ,   -10.9, ,   -19.7, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     -.8, 
1952,   -23.3, ,   -14.1, ,   -12.5, ,     5.9, ,     9.7, ,    13.5, ,    15.1, ,    14.3, ,    10.1, ,     2.7, ,    -4.6, ,   -12.5, ,      .4, ,   -19.0, ,     1.0, ,    14.3, ,     2.7, 
1953,   -19.7, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    12.9, ,    16.0, ,    16.1, ,     8.8, ,     6.2, ,    -1.9, ,   -13.2, , -9999.9,M, -9999.9,M, -9999.9,M,    15.0, ,     4.4, 
1954,   -27.6, ,    -8.4, ,   -13.1, ,    -5.4, ,     5.6, ,    12.8, ,    16.7, ,    14.3, ,     8.5, ,     3.1, ,    -2.8, ,   -10.4, ,     -.6, ,   -16.4, ,    -4.3, ,    14.6, ,     2.9, 
1955,   -19.0, ,   -19.0, ,   -16.6, ,     4.3, ,     9.5, ,    14.3, ,    17.2, ,    16.3, ,     7.7, ,     3.8, ,   -13.8, ,   -22.2, ,    -1.5, ,   -16.1, ,     -.9, ,    15.9, ,     -.8, 
1956,   -20.8, ,   -19.8, ,   -13.7, ,    -3.9, ,     8.2, ,    15.9, ,    15.6, ,    14.3, ,     7.5, ,     3.2, ,    -6.7, ,   -16.9, ,    -1.4, ,   -20.9, ,    -3.1, ,    15.3, ,     1.3, 
1957,   -23.3, ,   -20.2, ,   -11.6, ,    -2.5, ,     8.5, ,    11.7, ,    17.3, ,    13.7, ,     8.7, ,     3.0, ,    -7.0, ,   -15.5, ,    -1.4, ,   -20.1, ,    -1.9, ,    14.2, ,     1.6, 
1958,   -13.6, , -9999.9,M,    -8.7, ,     2.7, ,     9.3, ,    10.2, ,    14.8, ,    14.6, ,     8.7, ,     3.2, ,    -8.9, ,   -17.5, , -9999.9,M, -9999.9,M,     1.1, ,    13.2, ,     1.0, 
1959,   -24.4, ,   -17.9, ,    -5.7, ,     1.2, ,     7.0, ,    13.8, ,    16.7, ,    14.2, ,     8.1, ,     -.8, ,   -10.8, ,    -9.0, ,     -.6, ,   -19.9, ,      .8, ,    14.9, ,    -1.2, 
1960,   -21.5, ,   -17.3, ,   -14.3, ,      .1, ,     9.9, ,    12.9, ,    17.4, ,    16.1, ,    10.7, ,     2.8, ,    -8.4, ,   -15.5, ,     -.6, ,   -15.9, ,    -1.4, ,    15.5, ,     1.7, 
1961,   -18.5, ,   -14.0, ,    -6.7, ,     -.5, ,     8.4, ,    15.3, ,    16.7, ,    17.7, ,     6.6, ,     3.2, ,    -7.3, ,   -22.3, ,     -.1, ,   -16.0, ,      .4, ,    16.6, ,      .8, 
1962,   -22.0, ,   -22.4, ,   -10.8, ,    -2.7, ,     8.2, ,    15.6, ,    15.6, ,    15.2, ,     8.6, ,     5.0, ,    -3.7, ,   -14.2, ,     -.6, ,   -22.2, ,    -1.8, ,    15.5, ,     3.3, 
1963,   -22.4, ,   -18.6, ,    -9.1, ,     2.4, ,     7.5, ,    13.9, ,    18.0, ,    16.3, ,    11.9, , -9999.9,M,    -7.7, ,   -17.2, , -9999.9,M,   -18.4, ,      .3, ,    16.1, , -9999.9,M
1964,   -16.4, ,   -12.3, ,   -16.6, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -15.3, , -9999.9,M, -9999.9,M, -9999.9,M
