5010485,BRANDON        ,MB, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
5010485,BRANDON        ,MB, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1890,   -25.4, ,   -21.3, ,   -12.7, ,     3.8, ,     6.0, ,    18.0, ,    17.8, ,    14.6, ,    10.1, ,     5.8, ,    -1.4, ,    -9.0, ,      .5, , -9999.9,M,    -1.0, ,    16.8, ,     4.8, 
1891,   -12.8, ,   -21.4, ,   -12.0, ,     7.3, ,     9.9, ,    14.3, ,    15.4, ,    15.9, ,    13.6, ,     4.9, ,    -9.2, ,   -11.2, ,     1.2, ,   -14.4, ,     1.7, ,    15.2, ,     3.1, 
1892,   -20.3, ,   -18.1, ,    -7.4, ,     1.4, ,     7.0, ,    14.5, ,    18.6, ,    17.5, ,    13.0, ,     6.3, ,    -9.5, ,   -18.6, ,      .4, ,   -16.5, ,      .3, ,    16.9, ,     3.3, 
1893,   -21.6, ,   -22.4, ,   -13.7, ,    -2.9, ,    10.6, ,    16.7, ,    17.7, ,    17.7, ,    11.6, ,     1.9, ,    -8.8, ,   -21.5, ,    -1.2, ,   -20.9, ,    -2.0, ,    17.4, ,     1.6, 
1894,   -24.4, ,   -18.1, ,   -10.1, ,     3.9, ,    10.8, ,    19.0, ,    19.4, ,    18.2, ,    10.9, , -9999.9,M,    -7.3, ,   -11.6, , -9999.9,M,   -21.3, ,     1.5, ,    18.9, , -9999.9,M
1895,   -23.6, ,   -17.7, ,    -8.5, ,     8.8, ,    11.7, ,    14.1, ,    17.4, ,    15.7, ,    10.1, ,     2.9, ,    -9.8, ,   -14.2, ,      .6, ,   -17.6, ,     4.0, ,    15.7, ,     1.1, 
1896,   -20.6, ,   -12.9, ,   -10.7, ,     2.3, ,    12.1, ,    16.6, ,    17.6, ,    15.7, ,    10.2, ,     2.5, ,   -16.1, ,   -12.4, ,      .4, ,   -15.9, ,     1.2, ,    16.6, ,    -1.1, 
1897,   -19.4, ,   -18.9, ,   -14.6, ,     3.9, ,    12.1, ,    15.4, ,    19.1, ,    16.7, ,    16.4, ,     6.1, ,    -9.8, ,   -16.5, ,      .9, ,   -16.9, ,      .5, ,    17.1, ,     4.2, 
1898,   -16.5, ,   -16.2, ,   -10.0, ,     3.5, ,    10.9, ,    15.2, ,    17.7, ,    16.2, ,    12.1, ,     2.5, ,    -8.7, ,   -14.1, ,     1.1, ,   -16.4, ,     1.5, ,    16.4, ,     2.0, 
1899,   -20.1, ,   -22.2, ,   -17.6, ,     1.2, ,     8.8, ,    15.2, ,    18.5, ,    15.8, ,    11.3, ,     4.0, ,      .4, ,   -13.5, ,      .2, ,   -18.8, ,    -2.5, ,    16.5, ,     5.2, 
1900,   -13.2, ,   -20.3, ,   -10.2, ,     8.7, ,    13.8, ,    17.6, ,    17.7, ,    18.7, ,    11.6, ,     8.1, ,    -9.6, ,   -12.0, ,     2.6, ,   -15.7, ,     4.1, ,    18.0, ,     3.4, 
1901,   -19.7, ,   -18.4, ,    -7.8, ,     5.7, ,    14.6, ,    13.7, ,    19.5, ,    17.8, ,    10.2, ,     6.6, ,    -5.7, ,   -12.8, ,     2.0, ,   -16.7, ,     4.2, ,    17.0, ,     3.7, 
1902,   -12.9, ,   -13.3, ,    -4.7, ,     2.6, ,    12.1, ,    13.0, ,    18.7, ,    17.0, ,    10.2, ,     4.7, ,    -6.1, ,   -18.4, ,     1.9, ,   -13.0, ,     3.3, ,    16.2, ,     2.9, 
1903,   -17.4, ,   -19.4, ,   -10.2, ,     4.6, ,    10.7, ,    15.9, ,    17.0, ,    16.0, ,     7.9, ,     6.5, ,    -7.0, ,   -14.5, ,      .8, ,   -18.4, ,     1.7, ,    16.3, ,     2.5, 
1904,   -18.7, ,   -22.7, ,   -12.4, ,     2.1, ,    11.7, ,    15.2, ,    16.4, ,    14.9, ,    10.1, ,     5.8, ,     -.5, ,   -13.8, ,      .7, ,   -18.6, ,      .5, ,    15.5, ,     5.1, 
1905,   -21.2, ,   -16.9, ,    -2.4, ,     3.4, ,     9.3, ,    14.1, ,    17.5, ,    18.2, ,    12.9, ,     2.1, ,    -2.5, ,   -11.0, ,     2.0, ,   -17.3, ,     3.4, ,    16.6, ,     4.2, 
1906,   -14.7, ,   -16.7, ,    -8.1, ,     7.7, ,     9.2, ,    16.6, ,    18.7, ,    17.7, ,    14.8, ,     5.3, ,    -5.0, ,   -18.0, ,     2.3, ,   -14.1, ,     2.9, ,    17.7, ,     5.0, 
1907,   -25.7, ,   -15.9, ,    -9.1, ,    -2.6, ,     4.3, ,    15.1, ,    17.3, ,    15.1, ,     8.7, ,     4.4, ,    -4.4, ,   -11.8, ,     -.4, ,   -19.9, ,    -2.5, ,    15.8, ,     2.9, 
1908,   -13.7, ,   -13.7, ,   -12.2, ,     4.0, ,     9.8, ,    14.6, ,    18.4, ,    14.9, ,    13.3, ,     4.2, ,    -3.1, ,   -13.1, ,     2.0, ,   -13.1, ,      .5, ,    16.0, ,     4.8, 
1909,   -20.1, ,   -17.9, ,    -8.8, ,    -1.6, ,    10.1, ,    15.2, ,    18.9, ,    19.1, ,    14.2, ,     4.0, ,    -6.7, ,   -17.3, ,      .8, ,   -17.0, ,     -.1, ,    17.7, ,     3.8, 
1910,   -15.6, ,   -19.5, ,     1.5, ,     5.8, ,     7.9, ,    18.2, ,    19.5, ,    16.3, ,    11.4, ,     7.2, ,    -7.6, ,   -14.8, ,     2.5, ,   -17.5, ,     5.1, ,    18.0, ,     3.7, 
1911,   -25.5, ,   -17.6, ,    -5.5, ,     5.4, ,    11.4, ,    18.0, ,    16.9, ,    15.7, ,    10.7, ,     5.3, ,   -11.9, ,   -11.8, ,      .9, ,   -19.3, ,     3.8, ,    16.9, ,     1.4, 
