5012080,PIERSON        ,MB, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
5012080,PIERSON        ,MB, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1933,   -15.7,a, -9999.9,M,    -5.0,a,     1.9,a,    12.6,a,    19.7,a,    21.4,a,    20.2,a,    13.7,a,     2.1,a,    -3.8,a, -9999.9,M, -9999.9,M, -9999.9,M,     3.2,a,    20.4,a,     4.0,a
1934,   -12.3,a,    -9.1,a,    -5.2,a,     4.7,a,    15.6,a,    16.6,a,    20.7,a,    17.7,a,     9.5,a,     7.8,a,    -1.5,a,   -14.1,a,     4.2,a, -9999.9,M,     5.0,a,    18.3,a,     5.3,a
1935,   -21.1,a,   -10.8,a,    -7.7,a,     2.4,a,     9.2,a,    14.9,a,    22.4,a,    16.8,a,    11.9,a,     3.7,a,   -12.4,a,   -14.3,a,     1.3,a,   -15.3,a,     1.3,a,    18.0,a,     1.1,a
1936,   -24.8,a,   -27.9,a,    -6.9,a,     -.1,a,    15.0,a,    16.2,a,    24.3,a,    18.8,a,    13.3,a,     3.5,a,    -4.1,a,   -12.0,a,     1.3,a,   -22.3,a,     2.7,a,    19.8,a,     4.2,a
1937,   -26.5,a,   -16.5,a,    -5.7,a,     3.8,a,    12.6,a,    16.7,a,    21.1,a,    20.5,a,    12.5,a,     4.7,a,    -6.1,a,   -13.8,a,     1.9,a,   -18.3,a,     3.6,a,    19.4,a,     3.7,a
1938,   -15.6,a,   -17.5,a,    -1.3,a,     4.5,a,    10.5,a,    16.9,a,    20.7,a,    19.4,a,    15.8,a,     8.3,a,    -6.5,a,   -10.7,a,     3.7,a,   -15.6,a,     4.6,a,    19.0,a,     5.9,a
1939,   -14.3,a,   -23.6,a,    -8.7,a,     4.5,a,    14.7,a,    13.8,a,    22.0,a,    19.3,a,    13.8,a,     2.9,a,     -.3,a,    -5.9,a,     3.2,a,   -16.2,a,     3.5,a,    18.4,a,     5.5,a
1940,   -17.6,a,   -12.9,a,    -9.8,a,      .5,a,    11.8,a,    15.9,a,    20.1,a,    18.8,a,    15.5,a,     8.5,a,    -8.5,a,   -11.2,a,     2.6,a,   -12.1,a,      .8,a,    18.3,a,     5.2,a
1941,   -15.7,a,   -16.0,a,    -8.3,a,     4.9,a,    13.0,a,    17.3,a,    20.4,a,    18.4,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -14.3,a,     3.2,a,    18.7,a, -9999.9,M
1942, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1943, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1944, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1945, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -8.9,a,   -17.8,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1946,   -15.1,a,   -16.7,a,    -3.3,a,     8.4,a,    10.2,a,    16.2,a,    20.3,a,    16.9,a,    13.0,a,     3.6,a,    -6.1,a,   -13.2,a,     2.9,a,   -16.5,a,     5.1,a,    17.8,a,     3.5,a
