5021849,MORDEN EXP FARM,MB, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
5021849,MORDEN EXP FARM,MB, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1904, -9999.9,M, -9999.9,M,    -9.1, ,     1.4, ,    11.9, ,    15.7, ,    17.3, ,    16.0, ,    10.0, ,     5.8, ,     1.0, ,   -11.9, , -9999.9,M, -9999.9,M,     1.4, ,    16.3, ,     5.6, 
1905,   -17.8, ,   -14.1, ,    -2.5, ,     4.1, ,     9.1, ,    14.2, ,    18.9, ,    19.2, ,    14.8, ,     4.8, ,    -1.6, ,    -9.5, ,     3.3, ,   -14.6, ,     3.6, ,    17.4, ,     6.0, 
1906,   -12.0, ,   -14.4, ,    -7.4, ,     8.8, ,     9.4, ,    17.1, ,    19.1, ,    18.7, ,    16.7, ,     5.4, ,    -3.5, ,   -15.9, ,     3.5, ,   -12.0, ,     3.6, ,    18.3, ,     6.2, 
1907,   -22.7, ,   -13.3, ,    -6.8, ,    -2.3, ,     5.0, ,    16.4, ,    19.4, ,    17.0, ,    10.9, ,     6.0, ,    -2.1, ,    -7.7, ,     1.7, ,   -17.3, ,    -1.4, ,    17.6, ,     4.9, 
1908,   -10.0, , -9999.9,M,   -10.7, ,     4.7, ,     9.5, ,    15.4, ,    18.7, ,    16.5, ,    14.4, ,     5.0, ,    -1.8, ,   -11.5, , -9999.9,M, -9999.9,M,     1.2, ,    16.9, ,     5.9, 
1909,   -18.1, ,   -16.4, ,    -7.4, ,     -.9, ,    10.0, ,    17.3, ,    19.6, ,    19.9, ,    15.0, ,     5.4, ,    -3.1, ,   -15.3, ,     2.2, ,   -15.3, ,      .6, ,    18.9, ,     5.8, 
1910,   -12.1, ,   -15.3, ,     3.7, ,     6.1, ,     9.5, ,    20.3, ,    21.1, ,    17.6, ,    12.6, ,     8.4, ,    -6.3, ,   -12.6, ,     4.4, ,   -14.2, ,     6.4, ,    19.7, ,     4.9, 
1911,   -21.6, ,   -13.7, ,    -2.5, ,     4.9, ,    11.7, ,    18.4, ,    17.7, ,    16.4, ,    11.4, ,     6.0, ,    -8.7, ,   -10.3, ,     2.5, ,   -16.0, ,     4.7, ,    17.5, ,     2.9, 
1912,   -23.9, ,   -13.2, ,    -9.8, ,     4.2, ,    11.1, ,    17.1, ,    18.0, ,    15.6, ,    11.2, ,     6.9, ,    -1.3, ,    -9.5, ,     2.2, ,   -15.8, ,     1.8, ,    16.9, ,     5.6, 
1913,   -19.6, ,   -16.9, ,   -12.5, ,     7.0, ,     9.6, ,    18.1, ,    17.2, ,    18.5, ,    12.8, ,     3.1, ,      .6, ,    -5.8, ,     2.7, ,   -15.3, ,     1.4, ,    17.9, ,     5.5, 
1914,   -13.4, ,   -21.3, ,    -5.5, ,     2.2, ,    12.8, ,    16.7, ,    22.4, ,    17.2, ,    14.3, ,    10.7, ,    -2.0, ,   -16.7, ,     3.1, ,   -13.5, ,     3.2, ,    18.8, ,     7.7, 
1915,   -16.8, ,    -9.6, ,    -4.5, ,     8.9, ,    10.6, ,    13.6, ,    17.0, ,    18.4, ,    13.1, ,     7.2, ,    -4.0, ,   -10.8, ,     3.6, ,   -14.4, ,     5.0, ,    16.3, ,     5.4, 
1916,   -21.8, ,   -15.6, ,   -10.2, ,     2.6, ,     9.4, ,    14.2, ,    22.0, ,    18.6, ,    12.6, ,     3.7, ,    -2.1, ,   -17.2, ,     1.4, ,   -16.1, ,      .6, ,    18.3, ,     4.7, 
