5022759,SPRAGUE        ,MB, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
5022759,SPRAGUE        ,MB, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1915, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     4.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1916,   -22.3, , -9999.9,M,   -11.0, ,     2.5, ,    10.1, ,    14.5, ,    22.0, ,    16.6, ,     9.7, ,     1.4, ,    -4.4, ,   -19.9, , -9999.9,M, -9999.9,M,      .5, ,    17.7, ,     2.2, 
1917,   -23.8, ,   -23.5, ,    -7.8, ,     1.0, ,     9.5, ,    13.9, ,    20.5, ,    16.4, ,    12.4, ,    -1.5, ,    -2.3, ,   -20.6, ,     -.5, ,   -22.4, ,      .9, ,    16.9, ,     2.9, 
1918,   -21.6, ,   -15.7, ,    -1.9, ,     5.1, ,    11.4, ,    16.1, ,    19.0, ,    16.8, ,     7.3, , -9999.9,M,    -1.8, ,    -9.8, , -9999.9,M,   -19.3, ,     4.9, ,    17.3, , -9999.9,M
1919,    -9.9, ,    -8.8, ,   -10.4, ,     4.4, ,    13.9, ,    16.7, ,    19.2, ,    16.1, ,    11.3, ,    -1.6, ,   -11.5, ,   -18.9, ,     1.7, ,    -9.5, ,     2.6, ,    17.3, ,     -.6, 
1920,   -21.3, ,   -15.8, ,    -7.4, ,    -1.6, ,    10.3, ,    14.9, ,    15.7, ,    16.4, ,    11.9, ,     7.0, ,    -4.8, ,   -11.4, ,     1.2, ,   -18.7, ,      .4, ,    15.7, ,     4.7, 
1921,   -14.5, ,   -13.4, ,   -10.2, ,     3.3, ,    10.8, ,    17.8, ,    18.9, ,    14.8, ,    11.2, ,     5.5, ,    -9.7, ,   -14.3, ,     1.7, ,   -13.1, ,     1.3, ,    17.2, ,     2.3, 
1922,   -17.9, ,   -18.7, ,    -5.8, ,     4.3, ,    13.9, ,    16.5, ,    16.7, ,    17.1, ,    12.3, ,     5.5, ,    -1.1, ,   -17.9, ,     2.1, ,   -17.0, ,     4.1, ,    16.8, ,     5.6, 
1923,   -18.2, ,   -19.4, ,   -16.0, ,      .1, ,    10.9, ,    17.7, ,    20.0, ,    14.0, ,    12.9, ,     4.2, ,     -.6, ,    -9.1, ,     1.4, ,   -18.5, ,    -1.7, ,    17.2, ,     5.5, 
1924,   -21.5, ,   -12.6, ,    -6.4, ,     1.6, ,     6.1, ,    12.5, ,    16.3, ,    15.0, ,     9.5, ,     8.3, ,    -7.2, ,   -21.2, ,      .0, ,   -14.4, ,      .4, ,    14.6, ,     3.5, 
1925,   -18.7, ,   -15.3, ,    -6.9, ,     5.7, ,     9.9, ,    15.1, ,    17.4, ,    17.2, ,    12.1, ,    -1.0, ,    -5.6, ,   -13.9, ,     1.3, ,   -18.4, ,     2.9, ,    16.6, ,     1.8, 
