5023226,WINNIPEG       ,MB, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
5023226,WINNIPEG       ,MB, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1872, -9999.9,M, -9999.9,M,   -13.2, ,     -.6, ,     9.6, ,    17.1, , -9999.9,M, -9999.9,M,    11.0, ,     6.1, ,    -7.7, ,   -22.6, , -9999.9,M, -9999.9,M,    -1.4, , -9999.9,M,     3.1, 
1873,   -20.6, ,   -16.5, ,   -11.4, ,     1.7, ,    11.6, ,    19.6, ,    18.4, ,    18.1, ,     8.6, ,     2.2, ,   -10.7, ,   -15.2, ,      .5, ,   -19.9, ,      .6, ,    18.7, ,      .0, 
1874,   -21.9, , -9999.9,M,   -12.6, ,    -2.7, ,    13.3, ,    18.3, ,    20.1, ,    18.9, ,    13.7, ,     6.7, ,   -10.0, ,   -15.8, , -9999.9,M, -9999.9,M,     -.7, ,    19.1, ,     3.5, 
1875,   -27.0, ,   -26.1, ,   -12.1, ,      .0, ,    12.0, ,    16.1, ,    18.9, ,    17.8, ,    11.2, ,     2.8, ,   -13.3, ,   -15.5, ,    -1.3, ,   -23.0, ,      .0, ,    17.6, ,      .2, 
1876,   -21.6, ,   -22.7, ,   -14.2, ,     2.0, ,    11.8, ,    16.1, ,    19.7, ,    17.8, ,    11.8, ,     3.1, ,   -10.0, ,   -21.8, ,     -.7, ,   -19.9, ,     -.1, ,    17.9, ,     1.6, 
1877,   -22.2, ,    -8.9, ,   -15.4, ,      .3, ,    13.1, ,    13.8, ,    21.1, ,    18.2, ,    12.5, ,     4.0, ,    -4.2, ,    -3.4, ,     2.4, ,   -17.6, ,     -.7, ,    17.7, ,     4.1, 
1878,   -13.2, ,    -5.1, ,     1.6, ,     7.5, ,     9.0, ,    18.1, ,    20.9, ,    19.4, ,    11.2, ,     1.9, ,     -.6, ,   -14.1, ,     4.7, ,    -7.2, ,     6.0, ,    19.5, ,     4.2, 
1879,   -19.7, ,   -22.6, ,   -10.1, ,     4.5, ,    12.3, ,    17.1, ,    19.8, ,    17.7, ,    10.5, ,     6.7, ,    -6.4, ,   -25.9, ,      .3, ,   -18.8, ,     2.2, ,    18.2, ,     3.6, 
1880,   -18.0, ,   -19.1, ,   -14.9, ,    -1.3, ,    12.3, ,    17.1, ,    18.2, ,    16.6, ,    10.4, ,     2.9, ,   -10.8, ,   -19.2, ,     -.5, ,   -21.0, ,    -1.3, ,    17.3, ,      .8, 
1881,   -23.3, ,   -16.8, ,    -7.8, ,     -.6, ,    13.7, ,    16.3, ,    20.2, ,    18.1, ,    10.3, ,     1.3, ,   -11.9, ,   -12.9, ,      .6, ,   -19.8, ,     1.8, ,    18.2, ,     -.1, 
