5031042,GIMLI          ,MB, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
5031042,GIMLI          ,MB, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1944, -9999.9,M, -9999.9,M,   -11.7, ,     3.6, ,    12.3, ,    15.3, ,    18.7, ,    17.1, ,    12.5, ,     6.9, ,    -2.3, ,   -12.3, , -9999.9,M, -9999.9,M,     1.4, ,    17.0, ,     5.7, 
1945,   -16.1, ,   -14.1, ,    -2.4, ,     -.9, ,     6.4, ,    14.7, ,    18.2, ,    18.0, ,    10.3, ,     4.3, ,    -7.6, ,   -17.7, ,     1.1, ,   -14.2, ,     1.0, ,    17.0, ,     2.3, 
1946,   -18.3, ,   -19.0, , -9999.9,M,     5.4, ,     9.1, ,    15.2, ,    19.4, ,    16.9, ,    11.5, ,     4.1, ,    -6.4, ,   -15.1, , -9999.9,M,   -18.3, , -9999.9,M,    17.2, ,     3.1, 
1947,   -15.3, ,   -18.6, ,    -8.9, ,      .0, ,     6.0, ,    14.8, ,    20.3, ,    19.5, ,    11.3, ,     9.4, ,    -6.2, ,   -15.0, ,     1.4, ,   -16.3, ,    -1.0, ,    18.2, ,     4.8, 
1948,   -18.4, ,   -17.9, ,   -11.0, ,     -.5, ,     9.1, ,    15.9, ,    19.5, ,    19.3, ,    16.0, ,     7.5, ,    -2.9, ,   -14.4, ,     1.9, ,   -17.1, ,     -.8, ,    18.2, ,     6.9, 
1949,   -18.5, ,   -21.5, ,    -9.8, ,     4.4, ,    10.3, ,    16.2, ,    19.2, ,    20.6, ,    11.3, ,     4.8, ,    -1.0, ,   -16.2, ,     1.7, ,   -18.1, ,     1.6, ,    18.7, ,     5.0, 
1950,   -27.4, ,   -17.4, ,   -12.0, ,    -2.8, ,     7.0, ,    13.6, ,    17.8, ,    15.4, ,    12.9, ,     5.9, ,    -7.3, ,   -17.1, ,    -1.0, ,   -20.3, ,    -2.6, ,    15.6, ,     3.8, 
1951,   -20.3, ,   -14.6, ,   -11.0, ,     1.7, ,    11.7, ,    14.0, ,    17.7, ,    15.5, ,    10.6, ,     3.2, ,    -7.8, ,   -16.4, ,      .4, ,   -17.3, ,      .8, ,    15.7, ,     2.0, 
1952,   -20.0, ,   -11.9, ,    -8.9, ,     7.8, ,    10.1, ,    15.6, ,    18.2, ,    17.2, ,    12.7, ,     3.7, ,    -2.8, ,    -9.0, ,     2.7, ,   -16.1, ,     3.0, ,    17.0, ,     4.5, 
1953,   -17.1, ,   -14.2, ,    -6.9, ,     1.1, ,     9.8, ,    15.3, ,    18.4, ,    19.4, ,    11.3, ,     8.9, ,     -.1, ,   -11.5, ,     2.9, ,   -13.4, ,     1.3, ,    17.7, ,     6.7, 
1954,   -24.0, ,    -7.3, ,    -9.9, ,    -1.0, ,     7.2, ,    15.6, ,    19.6, ,    17.2, ,    11.7, ,     5.5, ,     -.7, ,    -8.6, ,     2.1, ,   -14.3, ,    -1.2, ,    17.5, ,     5.5, 
1955,   -17.2, ,   -17.6, ,   -14.2, ,     6.6, ,    11.5, ,    17.3, ,    21.4, ,    20.0, ,    11.8, ,     6.8, ,    -9.2, ,   -18.8, ,     1.5, ,   -14.5, ,     1.3, ,    19.6, ,     3.1, 
1956,   -17.1, ,   -16.3, ,   -11.3, ,    -1.3, ,     7.3, ,    19.1, ,    17.6, ,    17.5, ,     9.2, ,     7.2, ,    -3.1, ,   -14.8, ,     1.2, ,   -17.4, ,    -1.8, ,    18.1, ,     4.4, 
1957,   -21.3, ,   -15.6, ,    -6.7, ,     2.9, ,    11.2, ,    13.6, ,    21.4, ,    17.9, ,    11.1, ,     7.1, ,    -4.3, ,   -11.7, ,     2.1, ,   -17.2, ,     2.5, ,    17.6, ,     4.6, 
1958,   -13.0, ,   -15.7, ,    -3.8, ,     4.7, ,    10.5, ,    13.2, ,    18.0, ,    16.8, ,    12.1, ,     6.4, ,    -4.4, ,   -18.7, ,     2.2, ,   -13.5, ,     3.8, ,    16.0, ,     4.7, 
1959,   -21.6, ,   -17.5, ,    -6.4, ,     2.3, ,     8.6, ,    16.5, ,    19.9, ,    18.6, ,    11.5, ,     1.6, ,    -9.6, ,    -8.4, ,     1.3, ,   -19.3, ,     1.5, ,    18.3, ,     1.2, 
