5031111,GRAND RAPIDS   ,MB, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
5031111,GRAND RAPIDS   ,MB, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1960, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    18.2, ,    18.1, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1961, -9999.9,M, -9999.9,M, -9999.9,M,    -2.8, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1962,   -23.5, ,   -22.2, ,   -10.3, ,    -2.0, ,     7.0, ,    16.3, ,    17.1, ,    16.4, ,    10.4, ,     6.7, ,    -4.8, ,   -16.5, ,     -.5, , -9999.9,M,    -1.8, ,    16.6, ,     4.1, 
1963,   -25.1, ,   -19.9, ,   -11.3, ,      .8, ,     7.4, ,    14.4, ,    19.7, ,    18.3, ,    11.7, ,    10.8, ,    -5.5, ,   -17.2, ,      .3, ,   -20.5, ,    -1.0, ,    17.5, ,     5.7, 
1964,   -16.6, ,   -13.8, ,   -17.1, ,      .6, ,     8.4, ,    13.9, ,    19.5, ,    15.0, ,     9.7, ,     4.9, ,    -7.0, ,   -20.9, ,     -.3, ,   -15.9, ,    -2.7, ,    16.1, ,     2.5, 
1965,   -23.3, ,   -22.2, ,   -15.2, ,     1.5, ,     6.6, ,    14.9, ,    17.4, ,    16.4, ,     7.2, ,     6.1, , -9999.9,M, -9999.9,M, -9999.9,M,   -22.1, ,    -2.4, ,    16.2, , -9999.9,M
1966, -9999.9,M,   -19.4, ,    -8.3, ,    -2.5, ,     5.4, ,    14.6, ,    18.9, ,    17.8, ,    14.1, ,     4.1, ,   -11.7, ,   -18.4, , -9999.9,M, -9999.9,M,    -1.8, ,    17.1, ,     2.2, 
1967,   -20.5, ,   -22.2, ,   -11.7, ,    -5.3, ,     5.5, ,    14.5, ,    18.2, ,    18.0, ,    15.8, ,     3.6, ,    -5.6, , -9999.9,M, -9999.9,M,   -20.4, ,    -3.8, ,    16.9, ,     4.6, 
1968, -9999.9,M,   -17.5, ,    -6.6, ,     1.3, ,     8.0, ,    14.3, , -9999.9,M, -9999.9,M,    12.7, ,     4.2, ,    -4.9, ,   -17.7, , -9999.9,M, -9999.9,M,      .9, , -9999.9,M,     4.0, 
1969,   -24.4, ,   -16.0, ,   -11.1, ,     3.3, ,     6.9, ,    11.2, ,    17.6, ,    19.7, ,    10.3, ,      .5, ,    -5.6, ,   -10.9, ,      .1, ,   -19.4, ,     -.3, ,    16.2, ,     1.7, 
