5032162,PINAWA         ,MB, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
5032162,PINAWA         ,MB, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1915, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    12.2, ,    15.8, ,    16.9, ,    11.2, ,     6.0, ,    -4.4, ,   -11.5, , -9999.9,M, -9999.9,M, -9999.9,M,    15.0, ,     4.3, 
1916,   -22.7, ,   -20.1, ,   -11.2, ,     1.5, ,     7.9, ,    13.7, ,    21.2, ,    17.3, ,    10.8, ,     2.5, ,    -3.6, ,   -18.1, ,     -.1, ,   -18.1, ,     -.6, ,    17.4, ,     3.2, 
1917,   -24.6, ,   -23.7, ,    -8.0, ,     -.6, ,     8.6, ,    13.4, ,    18.9, ,    15.6, ,    12.0, ,     -.5, ,     -.6, ,   -20.9, ,     -.9, ,   -22.1, ,      .0, ,    16.0, ,     3.6, 
1918,   -22.4, ,   -19.2, ,    -4.1, ,     3.2, ,     7.8, ,    14.3, ,    16.1, , -9999.9,M,     7.7, ,     5.0, ,    -1.9, ,   -11.3, , -9999.9,M,   -20.8, ,     2.3, , -9999.9,M,     3.6, 
1919,   -13.3, ,   -16.2, ,   -10.6, ,     3.6, ,    12.5, ,    18.2, ,    19.0, ,    17.7, ,    11.7, ,     -.4, ,   -10.8, ,   -18.3, ,     1.1, ,   -13.6, ,     1.8, ,    18.3, ,      .2, 
1920,   -21.6, ,   -15.0, ,    -9.1, ,    -2.9, ,    10.4, ,    15.9, ,    16.6, ,    19.4, ,    14.2, ,     8.7, ,    -3.8, ,   -10.9, ,     1.8, ,   -18.3, ,     -.5, ,    17.3, ,     6.4, 
1921,   -14.4, ,   -12.2, ,   -10.6, ,     2.7, ,    10.6, ,    18.4, ,    20.1, ,    16.1, ,    12.7, ,     6.6, ,    -8.4, ,   -12.7, ,     2.4, ,   -12.5, ,      .9, ,    18.2, ,     3.6, 
1922,   -17.3, ,   -19.9, ,    -6.1, ,     3.7, ,    13.7, ,    15.6, ,    17.1, ,    17.8, ,    13.1, ,     4.9, ,     -.9, ,   -17.9, ,     2.0, ,   -16.6, ,     3.8, ,    16.8, ,     5.7, 
1923,   -18.0, ,   -19.2, ,   -16.0, ,    -1.7, ,    10.0, ,    17.9, ,    19.9, ,    14.4, ,    12.9, ,     5.4, ,      .2, ,    -8.3, ,     1.5, ,   -18.4, ,    -2.6, ,    17.4, ,     6.2, 
1924,   -21.9, ,   -12.1, ,    -6.8, ,     1.0, ,     5.8, ,    13.1, ,    16.9, ,    15.7, ,    11.0, ,     9.7, ,    -7.0, ,   -20.1, ,      .4, ,   -14.1, ,      .0, ,    15.2, ,     4.6, 
