5040680,DAUPHIN        ,MB, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
5040680,DAUPHIN        ,MB, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1903,   -17.0,a,   -14.9,a,    -9.3,a,     3.4,a,    10.2,a,    15.8,a,    17.3,a,    15.7,a,     8.6,a,     6.6,a,    -7.1,a,   -14.2,a,     1.3,a, -9999.9,M,     1.4,a,    16.3,a,     2.7,a
1904,   -18.8,a,   -22.1,a,   -12.1,a,      .3,a,    10.7,a,    15.1,a,    16.7,a,    15.4,a,    10.1,a,     5.1,a,    -1.1,a,   -14.8,a,      .4,a,   -18.4,a,     -.4,a,    15.7,a,     4.7,a
1905,   -21.5,a,   -16.2,a,    -5.5,a,     3.3,a,     9.4,a,    13.9,a,    18.2,a,    18.4,a,    12.0,a,     1.3,a,    -3.2,a,   -11.4,a,     1.6,a,   -17.5,a,     2.4,a,    16.8,a,     3.4,a
1906,   -14.7,a,   -16.9,a,    -7.9,a,     7.8,a,     7.9,a,    17.2,a,    19.2,a,    17.7,a,    14.0,a,     5.0,a,    -5.1,a,   -18.3,a,     2.2,a,   -14.3,a,     2.6,a,    18.0,a,     4.6,a
1907,   -24.8,a, -9999.9,M,    -8.4,a,    -2.8,a,     2.0,a,    15.0,a,    18.3,a,    15.0,a,     9.1,a,     6.0,a,    -4.2,a, -9999.9,M, -9999.9,M, -9999.9,M,    -3.1,a,    16.1,a,     3.6,a
1908, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1909, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1910, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1911,   -25.8,a,   -15.8,a,    -5.1,a,     3.5,a, -9999.9,M,    18.0,a,    16.7,a,    15.6,a,    10.0,a,     5.3,a,   -10.3,a,   -11.9,a, -9999.9,M, -9999.9,M, -9999.9,M,    16.8,a,     1.7,a
1912,   -24.4,a,   -14.3,a,   -12.7,a,     2.6,a,     8.7,a,    16.8,a,    16.2,a,    14.8,a,     9.8,a,     5.6,a,    -1.5,a,   -10.5,a,      .9,a,   -16.9,a,     -.5,a,    15.9,a,     4.6,a
1913,   -21.6,a,   -16.8,a,   -14.2,a,     6.2,a,     8.0,a,    16.4,a,    17.3,a,    16.4,a,    11.8,a,     1.3,a,    -2.8,a,    -7.1,a,     1.2,a,   -16.3,a,      .0,a,    16.7,a,     3.4,a
