5060520,BROCHET        ,MB, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
5060520,BROCHET        ,MB, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1948, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    10.8, ,     4.5, ,    -9.1, ,   -23.4, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     2.1, 
1949,   -26.0, ,   -30.0, ,   -15.9, ,    -2.4, ,     3.0, ,     8.2, ,    13.8, ,    14.7, ,     5.7, ,    -2.6, ,   -10.8, ,   -25.8, ,    -5.7, ,   -26.5, ,    -5.1, ,    12.2, ,    -2.6, 
1950,   -37.8, ,   -25.2, ,   -18.9, ,    -7.4, ,     3.4, ,     8.3, ,    14.3, ,    11.8, ,     8.6, ,    -2.1, ,   -15.1, ,   -25.6, ,    -7.1, ,   -29.6, ,    -7.6, ,    11.5, ,    -2.9, 
1951,   -28.3, ,   -24.0, ,   -19.2, ,    -6.0, ,     3.3, ,     9.7, ,    14.6, ,    14.3, ,     6.9, ,    -3.1, ,   -16.1, ,   -25.4, ,    -6.1, ,   -26.0, ,    -7.3, ,    12.9, ,    -4.1, 
1952,   -29.9, ,   -23.4, ,   -14.3, ,      .2, ,     7.6, ,    12.4, ,    14.3, ,    12.3, ,     7.3, ,     -.6, ,   -11.2, ,   -16.6, ,    -3.5, ,   -26.2, ,    -2.2, ,    13.0, ,    -1.5, 
1953,   -28.9, ,   -18.3, ,   -15.9, ,    -7.8, ,     2.4, ,     9.0, ,    14.7, ,    16.9, ,     7.0, ,     1.7, ,    -5.9, ,   -23.8, ,    -4.1, ,   -21.3, ,    -7.1, ,    13.5, ,      .9, 
1954,   -34.2, ,   -18.1, ,   -18.1, ,   -12.4, ,     2.7, ,    12.2, ,    18.0, ,    15.0, ,     8.3, ,     1.2, ,    -8.4, ,   -17.2, ,    -4.3, ,   -25.4, ,    -9.3, ,    15.1, ,      .4, 
1955,   -27.3, ,   -25.7, ,   -23.3, ,    -2.6, ,     5.4, ,    14.4, ,    16.5, ,    15.8, ,     6.8, ,     1.2, ,   -14.8, ,   -25.4, ,    -4.9, ,   -23.4, ,    -6.8, ,    15.6, ,    -2.3, 
1956,   -26.2, ,   -25.8, ,   -18.1, ,    -8.0, ,      .9, ,    12.4, ,    16.0, ,    13.5, ,     4.7, ,     -.3, ,   -12.2, ,   -25.4, ,    -5.7, ,   -25.8, ,    -8.4, ,    14.0, ,    -2.6, 
1957,   -29.3, ,   -25.7, ,   -15.3, ,    -7.6, ,     1.6, ,     8.9, ,    15.7, ,    14.0, ,     8.0, ,      .9, ,   -13.8, ,   -25.1, ,    -5.6, ,   -26.8, ,    -7.1, ,    12.9, ,    -1.6, 
1958,   -22.8, ,   -25.6, ,    -9.9, ,    -3.0, ,     3.6, ,     8.0, ,    14.0, ,    13.6, ,     7.6, ,     1.7, ,   -11.2, ,   -27.3, ,    -4.3, ,   -24.5, ,    -3.1, ,    11.9, ,     -.6, 
1959,   -29.8, ,   -23.7, ,   -14.2, ,    -6.4, ,     -.2, ,     9.3, ,    15.6, ,    11.8, ,     6.8, ,    -4.4, ,   -16.8, ,   -15.8, ,    -5.7, ,   -26.9, ,    -6.9, ,    12.2, ,    -4.8, 
1960,   -26.8, ,   -21.5, ,   -19.2, ,    -6.2, ,     3.7, ,    10.8, ,    15.9, ,    14.8, ,     7.4, ,    -1.4, ,   -16.1, ,   -22.4, ,    -5.1, ,   -21.4, ,    -7.2, ,    13.8, ,    -3.4, 
1961,   -27.8, ,   -20.5, ,   -16.3, ,    -9.3, ,     2.7, ,    13.0, ,    15.7, ,    14.7, ,     3.6, ,    -3.0, ,   -11.9, ,   -26.7, ,    -5.5, ,   -23.6, ,    -7.6, ,    14.5, ,    -3.8, 
1962,   -31.0, ,   -29.9, ,   -17.2, ,    -9.1, ,      .5, ,    13.8, ,    15.2, ,    13.8, ,     8.5, ,     2.1, ,   -13.8, ,   -23.7, ,    -5.9, ,   -29.2, ,    -8.6, ,    14.3, ,    -1.1, 
1963,   -31.2, ,   -26.3, ,   -20.7, ,    -3.3, ,     2.0, ,    12.1, ,    16.7, ,    15.6, ,     7.2, ,     6.2, ,   -10.7, ,   -21.7, ,    -4.5, ,   -27.1, ,    -7.3, ,    14.8, ,      .9, 
1964,   -24.3, ,   -19.9, ,   -24.2, ,    -6.5, ,     4.5, ,    10.7, ,    17.3, ,    12.9, ,     5.8, ,     1.0, ,   -13.1, ,   -25.1, ,    -5.1, ,   -22.0, ,    -8.7, ,    13.6, ,    -2.1, 
1965,   -28.3, ,   -29.9, ,   -20.3, ,    -3.7, ,     3.7, ,    12.0, ,    14.3, ,    12.2, ,     3.5, ,     1.0, ,   -15.7, ,   -18.4, ,    -5.8, ,   -27.8, ,    -6.8, ,    12.8, ,    -3.7, 
1966,   -34.1, ,   -23.7, ,   -14.2, ,    -8.1, ,     2.6, ,    12.7, ,    15.8, ,    14.8, ,     9.9, ,     -.2, ,   -20.7, ,   -23.3, ,    -5.7, ,   -25.4, ,    -6.6, ,    14.4, ,    -3.7, 
1967,   -27.5, ,   -29.3, ,   -21.3, ,   -10.3, ,      .8, ,     8.6, ,    15.3, ,    14.7, ,    10.4, ,    -1.0, ,   -12.4, ,   -19.7, ,    -6.0, ,   -26.7, ,   -10.3, ,    12.9, ,    -1.0, 
1968,   -28.5, ,   -23.4, ,   -13.6, ,    -5.9, ,     4.3, ,    10.5, ,    12.3, ,    11.5, ,     9.0, ,      .4, ,   -10.8, ,   -23.7, ,    -4.8, ,   -23.9, ,    -5.1, ,    11.4, ,     -.5, 
1969,   -31.6, ,   -20.9, ,   -17.0, ,    -2.1, ,     1.3, ,     7.3, ,    15.2, ,    15.5, ,     5.8, ,    -2.7, ,   -13.2, ,   -16.9, ,    -4.9, ,   -25.4, ,    -5.9, ,    12.7, ,    -3.4, 
1970,   -27.6, ,   -25.3, ,   -18.4, ,    -4.8, ,     3.3, ,    14.1, ,    16.8, ,    13.9, ,     7.0, ,    -1.0, ,   -12.5, ,   -26.3, ,    -5.1, ,   -23.3, ,    -6.6, ,    14.9, ,    -2.2, 
