5061001,GILLAM         ,MB, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
5061001,GILLAM         ,MB, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1943, -9999.9,M, -9999.9,M, -9999.9,M,    -5.2, ,     2.0, ,     8.3, ,    15.7, ,    12.4, ,     6.6, ,     3.1, ,    -9.2, ,   -20.9, , -9999.9,M, -9999.9,M, -9999.9,M,    12.1, ,      .2, 
1944,   -16.4, ,   -23.1, ,   -18.4, , -9999.9,M,     6.1, ,     9.5, ,    12.5, ,    13.8, ,     8.8, ,      .3, ,    -9.9, ,   -20.1, , -9999.9,M,   -20.1, , -9999.9,M,    11.9, ,     -.3, 
1945,   -26.3, ,   -20.5, ,   -12.3, ,   -12.0, ,    -1.4, ,     6.2, ,    13.5, ,    13.2, ,     5.6, ,      .0, ,   -13.8, ,   -24.1, ,    -6.0, ,   -22.3, ,    -8.6, ,    11.0, ,    -2.7, 
1946,   -27.5, ,   -27.8, ,   -10.6, ,    -3.4, ,      .8, ,     9.6, ,    15.0, ,    13.7, ,     7.7, ,    -2.5, ,   -15.1, ,   -22.4, ,    -5.2, ,   -26.5, ,    -4.4, ,    12.8, ,    -3.3, 
1947,   -26.6, ,   -24.4, ,   -14.8, ,   -13.4, ,     -.8, ,    10.3, ,    16.7, ,    13.1, ,     6.0, ,     5.4, ,   -12.4, ,   -23.3, ,    -5.4, ,   -24.5, ,    -9.7, ,    13.4, ,     -.3, 
1948,   -23.4, ,   -26.3, ,   -20.8, ,    -9.6, ,     4.2, ,    11.5, ,    16.2, ,    15.2, ,    11.5, ,     4.5, ,    -8.1, ,   -20.1, ,    -3.8, ,   -24.3, ,    -8.7, ,    14.3, ,     2.6, 
1949,   -24.8, ,   -27.7, ,   -16.5, ,    -1.4, ,     2.0, ,    10.6, ,    13.0, ,    13.5, ,     5.3, ,    -2.5, ,   -10.8, ,   -23.3, ,    -5.2, ,   -24.2, ,    -5.3, ,    12.4, ,    -2.7, 
1950,   -34.5, ,   -25.2, ,   -18.3, ,    -8.2, ,     4.0, ,     6.5, , -9999.9,M, -9999.9,M, -9999.9,M,    -1.1, ,   -12.8, ,   -23.6, , -9999.9,M,   -27.7, ,    -7.5, , -9999.9,M, -9999.9,M
1951,   -27.0, ,   -22.2, ,   -16.6, ,    -4.9, ,     4.7, ,    10.4, ,    14.1, ,    12.5, ,     5.4, ,    -2.5, ,   -13.5, ,   -23.2, ,    -5.2, ,   -24.3, ,    -5.6, ,    12.3, ,    -3.5, 
1952,   -26.6, ,   -23.3, ,   -14.3, ,      .9, ,     6.2, ,    10.2, ,    14.2, ,    12.6, ,     6.9, ,    -2.2, ,   -11.8, ,   -15.0, ,    -3.5, ,   -24.4, ,    -2.4, ,    12.3, ,    -2.4, 
