5062922,THOMPSON       ,MB, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
5062922,THOMPSON       ,MB, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1967, -9999.9,M, -9999.9,M, -9999.9,M,    -9.2, ,     3.3, ,    12.1, ,    14.9, ,    14.3, ,    11.1, ,    -1.2, ,   -12.7, ,   -18.3, , -9999.9,M, -9999.9,M, -9999.9,M,    13.8, ,     -.9, 
1968,   -27.0, ,   -22.9, ,   -11.3, ,    -3.0, ,     5.5, ,    10.5, ,    12.7, ,    10.7, ,     9.4, ,      .5, ,   -11.3, ,   -22.0, ,    -4.0, ,   -22.7, ,    -2.9, ,    11.3, ,     -.5, 
1969,   -28.1, ,   -18.1, ,   -14.9, ,      .6, ,     2.8, ,     8.0, ,    15.6, ,    15.5, ,     5.1, ,    -2.8, ,   -10.7, ,   -17.0, ,    -3.7, ,   -22.7, ,    -3.8, ,    13.0, ,    -2.8, 
1970,   -24.5, ,   -24.0, ,   -15.3, ,    -4.3, ,     3.3, ,    14.0, ,    17.0, ,    13.8, ,     7.5, ,     -.3, ,   -11.2, ,   -26.9, ,    -4.2, ,   -21.8, ,    -5.4, ,    14.9, ,    -1.3, 
1971,   -25.5, ,   -17.9, ,   -14.4, ,    -2.0, ,     7.1, ,    13.8, ,    13.8, ,    13.8, ,     8.0, ,     1.6, ,   -12.2, ,   -21.6, ,    -3.0, ,   -23.4, ,    -3.1, ,    13.8, ,     -.9, 
1972,   -30.6, ,   -27.0, ,   -13.9, ,    -3.0, ,     7.7, ,    13.7, ,    13.5, ,    14.6, ,     3.7, ,    -3.3, ,   -13.9, ,   -26.8, ,    -5.4, ,   -26.4, ,    -3.1, ,    13.9, ,    -4.5, 
1973,   -19.4, ,   -22.7, ,    -6.4, ,    -4.6, ,     7.8, ,    12.1, ,    15.9, ,    16.9, ,     7.5, ,     1.9, ,   -13.1, ,   -24.2, ,    -2.4, ,   -23.0, ,    -1.1, ,    15.0, ,    -1.2, 
1974,   -30.6, ,   -23.9, ,   -18.9, ,    -3.0, ,     4.2, ,    12.1, ,    17.1, ,    13.0, ,     3.6, ,    -1.6, ,    -7.3, ,   -14.3, ,    -4.1, ,   -26.2, ,    -5.9, ,    14.1, ,    -1.8, 
1975,   -27.5, ,   -20.7, ,   -15.6, ,    -1.2, ,     6.6, ,    13.2, ,    16.5, ,    12.9, ,     6.7, ,     -.1, ,    -8.6, ,   -22.2, ,    -3.3, ,   -20.8, ,    -3.4, ,    14.2, ,     -.7, 
1976,   -24.9, ,   -21.0, ,   -15.9, ,     2.0, ,     8.5, ,    13.8, ,    15.9, ,    14.2, ,     8.5, ,     -.8, ,   -11.9, ,   -26.4, ,    -3.2, ,   -22.7, ,    -1.8, ,    14.6, ,    -1.4, 
1977,   -25.0, ,   -17.3, ,    -9.9, ,      .5, ,    11.6, ,    13.6, ,    15.1, ,     9.9, ,     8.1, ,     4.3, ,   -10.3, ,   -23.4, ,    -1.9, ,   -22.9, ,      .7, ,    12.9, ,      .7, 
1978,   -24.1, ,   -18.1, ,   -15.7, ,    -3.2, ,     7.6, ,    10.7, ,    14.4, ,    11.0, ,     5.9, ,      .2, ,   -13.7, ,   -23.9, ,    -4.1, ,   -21.9, ,    -3.8, ,    12.0, ,    -2.5, 
1979,   -25.5, ,   -29.0, ,   -16.8, ,    -4.1, ,     3.4, ,    12.0, ,    16.5, ,    11.0, ,     6.0, , -9999.9,M,   -11.1,E,   -15.0, , -9999.9,M,   -26.1, ,    -5.8, ,    13.2, , -9999.9,M
1980,   -25.7, ,   -20.2, ,   -15.4, ,     2.8, ,     8.6, ,    11.1, ,    15.5, ,    13.2, ,     5.1, ,    -1.5, ,   -10.9, ,   -25.3, ,    -3.6, ,   -20.3, ,    -1.3, ,    13.3, ,    -2.4, 
1981,   -18.6, ,   -16.0, ,    -8.4, ,    -6.4, ,     6.6, ,    11.7, ,    16.9, ,    16.8, ,     7.5, ,     -.1, ,    -6.9, ,   -20.6, ,    -1.5, ,   -20.0, ,    -2.7, ,    15.1, ,      .2, 
1982,   -33.0, ,   -22.8, ,   -15.3, ,    -4.6, ,     7.2, ,    10.5, ,    16.0, ,    12.3, ,     8.0, ,     1.8, ,   -14.9, ,   -22.5, ,    -4.8, ,   -25.5, ,    -4.2, ,    12.9, ,    -1.7, 
1983,   -21.6, ,   -21.1, ,   -13.8, ,    -4.5, ,      .7, ,    13.3, ,    17.0, ,    17.5, ,     8.9, ,     2.7, ,    -4.9, ,   -26.0, ,    -2.7, ,   -21.7, ,    -5.9, ,    15.9, ,     2.2, 
