6010739,BIG TROUT LAKE ,ON, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
6010739,BIG TROUT LAKE ,ON, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1939, -9999.9,M, -9999.9,M,   -18.8, ,    -6.4, ,     4.4, ,    11.0, ,    16.4, ,    16.1, ,     7.7, ,    -3.1, ,    -6.9, , -9999.9,M, -9999.9,M, -9999.9,M,    -6.9, ,    14.5, ,     -.8, 
1940, -9999.9,M,   -18.4, ,   -16.5, ,    -5.4, ,     4.0, ,     9.3, ,    16.3, ,    15.8, ,    12.9, ,     1.6, ,   -11.1, ,   -17.6, , -9999.9,M, -9999.9,M,    -6.0, ,    13.8, ,     1.1, 
1941,   -23.4, ,   -18.0, , -9999.9,M,    -1.0, ,     5.9, ,    13.2, ,    18.0, ,    12.6, ,     7.2, ,     -.4, , -9999.9,M,   -18.5, , -9999.9,M,   -19.7, , -9999.9,M,    14.6, , -9999.9,M
1942,   -21.8, ,   -20.5, ,   -10.2, ,    -2.0, ,     4.4, ,    13.6, ,    13.7, ,    14.0, ,     7.0, ,     3.4, ,   -12.8, ,   -24.2, ,    -3.0, ,   -20.3, ,    -2.6, ,    13.8, ,     -.8, 
1943,   -25.8, ,   -20.1, ,   -18.7, ,    -5.3, ,     3.2, ,     9.4, ,    17.6, ,    14.3, ,     8.6, ,     3.8, ,    -7.8, ,   -20.0, ,    -3.4, ,   -23.4, ,    -6.9, ,    13.8, ,     1.5, 
1944,   -15.8, ,   -23.6, ,   -17.8, ,    -3.9, ,     6.0, ,    10.6, ,    15.7, ,    15.8, ,    10.5, ,     1.8, ,    -7.1, ,   -17.7, ,    -2.1, ,   -19.8, ,    -5.2, ,    14.0, ,     1.7, 
1945,   -25.3, ,   -17.3, ,    -9.0, ,    -7.7, ,     -.2, ,     7.9, ,    14.9, ,    15.1, , -9999.9,M, -9999.9,M,   -11.6, ,   -21.0, , -9999.9,M,   -20.1, ,    -5.6, ,    12.6, , -9999.9,M
1946,   -24.9, ,   -26.2, ,    -8.4, ,    -3.1, ,     2.2, ,    11.0, ,    15.3, ,    13.9, ,     9.5, ,      .9, ,   -10.2, ,   -20.1, ,    -3.3, ,   -24.0, ,    -3.1, ,    13.4, ,      .1, 
1947,   -24.4, ,   -22.6, ,   -14.4, ,   -10.4, ,     -.1, ,    10.3, ,    16.9, ,    15.5, ,     8.4, ,     6.7, ,    -8.3, ,   -20.6, ,    -3.6, ,   -22.4, ,    -8.3, ,    14.2, ,     2.3, 
1948,   -23.5, ,   -23.7, ,   -16.8, ,    -5.8, ,     4.5, ,    12.1, ,    16.5, ,    16.6, ,    13.7, ,     5.5, ,    -4.3, ,   -16.3, ,    -1.8, ,   -22.6, ,    -6.0, ,    15.1, ,     5.0, 
1949,   -22.1, ,   -25.1, ,   -16.4, ,    -2.5, ,     3.0, ,    12.7, ,    14.6, ,    14.6, ,     6.9, ,      .8, ,    -9.6, ,   -21.0, ,    -3.7, ,   -21.2, ,    -5.3, ,    14.0, ,     -.6, 
1950,   -30.9, ,   -23.4, ,   -17.9, ,    -9.4, ,     2.7, ,     7.8, ,    14.8, ,    12.7, ,     9.0, ,     1.4, ,    -9.3, ,   -20.9, ,    -5.3, ,   -25.1, ,    -8.2, ,    11.8, ,      .4, 
1951,   -25.1, ,   -20.5, ,   -13.8, ,    -3.1, ,     7.1, ,    12.3, ,    15.4, ,    14.0, ,     7.6, ,     -.4, ,   -11.3, ,   -21.1, ,    -3.2, ,   -22.2, ,    -3.3, ,    13.9, ,    -1.4, 
1952,   -24.2, ,   -20.5, ,   -13.1, ,      .0, ,     5.8, ,    11.8, ,    16.0, ,    14.2, ,     8.0, ,     -.4, ,    -7.3, ,   -12.3, ,    -1.8, ,   -21.9, ,    -2.4, ,    14.0, ,      .1, 
1953,   -24.3, ,   -19.0, , -9999.9,M, -9999.9,M, -9999.9,M,    10.4, ,    15.2, ,    16.6, ,     7.6, ,     3.8, ,    -4.0, ,   -19.2, , -9999.9,M,   -18.5, , -9999.9,M,    14.1, ,     2.5, 
1954,   -29.1, ,   -15.7, ,   -15.5, ,    -7.2, ,     1.9, ,    13.0, ,    17.3, ,    14.5, ,     8.1, ,     2.9, ,    -7.0, ,   -15.7, ,    -2.7, ,   -21.3, ,    -6.9, ,    14.9, ,     1.3, 
1955,   -23.6, ,   -21.8, ,   -18.6, ,     1.6, ,     6.8, ,    15.6, ,    17.4, ,    16.9, ,     8.1, ,     3.0, ,    -7.9, ,   -21.1, ,    -2.0, ,   -20.4, ,    -3.4, ,    16.6, ,     1.1, 
1956,   -20.5, ,   -20.2, ,   -17.0, ,    -5.6, ,     -.3, ,    13.0, ,    15.2, ,    14.4, ,     5.4, ,     3.0, ,    -9.3, ,   -23.4, ,    -3.8, ,   -20.6, ,    -7.6, ,    14.2, ,     -.3, 
1957,   -27.4, ,   -19.6, ,   -11.9, ,    -4.3, ,     3.3, ,    10.3, ,    17.4, ,    14.1, ,     9.6, ,     3.9, ,   -10.6, ,   -19.1, ,    -2.9, ,   -23.5, ,    -4.3, ,    13.9, ,     1.0, 
1958,   -18.7, ,   -23.4, ,    -9.9, ,    -3.6, ,     1.7, ,     8.7, ,    15.1, ,    12.3, ,     9.1, ,     2.5, ,    -7.8, ,   -22.8, ,    -3.1, ,   -20.4, ,    -3.9, ,    12.0, ,     1.3, 
1959,   -26.4, ,   -22.0, ,   -13.4, ,    -7.5, ,     3.0, ,    10.8, ,    16.6, ,    14.4, ,     9.4, ,    -1.6, ,   -14.2, ,   -16.0, ,    -3.9, ,   -23.7, ,    -6.0, ,    13.9, ,    -2.1, 
1960,   -21.6, ,   -20.5, ,   -17.0, ,    -5.6, ,     6.2, ,    13.1, ,    15.4, ,    15.6, ,     9.1, ,     1.4, ,   -10.3, ,   -21.1, ,    -2.9, ,   -19.4, ,    -5.5, ,    14.7, ,      .1, 
1961,   -24.2, ,   -18.6, ,   -12.8, ,    -4.1, ,     4.2, ,    11.9, ,    17.8, ,    15.2, ,     8.0, ,     1.3, ,    -7.1, ,   -19.9, ,    -2.4, ,   -21.3, ,    -4.2, ,    15.0, ,      .7, 
1962,   -27.3, ,   -26.4, ,   -11.2, ,    -6.6, ,     3.9, ,    14.3, ,    15.4, ,    14.1, ,     8.8, ,     3.8, ,    -7.4, ,   -21.3, ,    -3.3, ,   -24.5, ,    -4.6, ,    14.6, ,     1.7, 
1963,   -27.4, ,   -24.1, ,   -17.1, ,    -3.3, ,     2.2, ,    12.5, ,    17.9, ,    14.5, ,     7.7, ,     7.9, ,    -7.4, ,   -20.5, ,    -3.1, ,   -24.3, ,    -6.1, ,    15.0, ,     2.7, 
1964,   -20.7, ,   -19.1, ,   -20.6, ,    -4.2, ,     6.1, ,    11.0, ,    16.8, ,    12.1, ,     7.8, ,     1.5, ,    -9.1, ,   -23.0, ,    -3.5, ,   -20.1, ,    -6.2, ,    13.3, ,      .1, 
1965,   -24.6, ,   -25.1, ,   -17.7, ,    -3.1, ,     4.8, ,    12.0, ,    12.9, ,    12.4, ,     6.4, ,     2.0, ,   -11.2, ,   -16.1, ,    -3.9, ,   -24.2, ,    -5.3, ,    12.4, ,     -.9, 
1966,   -26.1, ,   -19.7, ,   -12.7, ,    -3.9, ,     3.2, ,    12.2, ,    16.7, ,    14.0, ,    10.1, ,     -.1, ,   -14.8, ,   -21.3, ,    -3.5, ,   -20.6, ,    -4.5, ,    14.3, ,    -1.6, 
1967,   -24.5, ,   -26.6, ,   -16.0, ,    -9.1, ,      .6, ,    12.1, ,    15.3, ,    14.6, ,    12.3, ,     1.1, ,    -9.2, ,   -16.9, ,    -3.9, ,   -24.1, ,    -8.2, ,    14.0, ,     1.4, 
1968,   -24.3, ,   -22.5, ,   -10.7, ,    -1.8, ,     6.5, ,    11.6, ,    13.3, ,    11.9, ,    12.7, ,     2.5, ,    -8.4, ,   -18.1, ,    -2.3, ,   -21.2, ,    -2.0, ,    12.3, ,     2.3, 
1969,   -22.0, ,   -16.9, ,   -16.7, ,    -1.7, ,     2.9, ,     7.9, ,    16.6, ,    16.6, ,     5.7, ,     -.8, ,    -7.1, ,   -15.1, ,    -2.6, ,   -19.0, ,    -5.2, ,    13.7, ,     -.7, 
1970,   -24.0, ,   -25.0, ,   -14.3, ,    -5.3, ,     2.0, ,    13.3, ,    17.4, ,    15.6, ,     8.8, ,     3.5, ,    -8.0, ,   -23.4, ,    -3.3, ,   -21.4, ,    -5.9, ,    15.4, ,     1.4, 
1971,   -25.0, ,   -17.6, ,   -13.7, ,    -3.2, ,     4.8, ,    13.4, ,    13.9, ,    14.2, ,     9.7, ,     3.6, ,    -8.9, ,   -19.1, ,    -2.3, ,   -22.0, ,    -4.0, ,    13.8, ,     1.5, 
1972,   -29.0, ,   -25.9, ,   -15.3, ,    -3.6, ,     6.5, ,    13.4, ,    14.3, ,    14.8, ,     5.9, ,    -1.7, ,   -11.8, ,   -25.9, ,    -4.9, ,   -24.7, ,    -4.1, ,    14.2, ,    -2.5, 
1973,   -20.5, ,   -22.4, ,    -8.4, ,    -6.1, ,     4.6, ,    11.3, ,    15.8, ,    18.1, ,     8.4, ,     3.9, ,    -8.8, ,   -23.2, ,    -2.3, ,   -22.9, ,    -3.3, ,    15.1, ,     1.2, 
1974,   -28.5, ,   -22.9, ,   -19.0, ,    -4.8, ,     2.4, ,    10.8, ,    17.3, ,    13.5, ,     4.4, ,    -1.5, ,    -6.0, ,   -14.6, ,    -4.1, ,   -24.9, ,    -7.1, ,    13.9, ,    -1.0, 
1975,   -24.4, ,   -19.6, ,   -15.0, ,    -4.0, ,     6.5, ,    14.3, ,    16.6, ,    14.3, ,     7.6, ,     2.5, ,    -5.9, ,   -21.1, ,    -2.4, ,   -19.5, ,    -4.2, ,    15.1, ,     1.4, 
1976,   -24.9, ,   -19.9, ,   -16.7, ,    -1.1, ,     5.3, ,    13.6, ,    16.4, ,    15.1, ,     9.1, ,      .6, ,    -9.9, ,   -27.0, ,    -3.3, ,   -22.0, ,    -4.2, ,    15.0, ,     -.1, 
1977,   -23.7, ,   -18.7, ,   -10.3, ,     -.6, ,    10.2, ,    12.6, ,    15.5, ,    12.1, ,     8.8, ,     4.9, ,    -6.7, ,   -20.5, ,    -1.4, ,   -23.1, ,     -.2, ,    13.4, ,     2.3, 
1978,   -23.9, ,   -19.4, ,   -17.0, ,    -4.7, ,     6.9, ,     9.3, ,    15.1, ,    12.3, ,     7.1, ,      .9, ,   -11.1, ,   -21.9, ,    -3.9, ,   -21.3, ,    -4.9, ,    12.2, ,    -1.0, 
1979,   -24.8, ,   -26.2, ,   -14.0, ,    -3.3, ,     4.1, ,    12.2, ,    17.2, ,    12.7, ,     6.5, ,     -.4, ,   -10.1, ,   -14.3, ,    -3.4, ,   -24.3, ,    -4.4, ,    14.0, ,    -1.3, 
1980,   -23.4, ,   -21.2, ,   -13.9, ,    -1.4, ,     8.1, ,    10.4, ,    16.2, ,    15.2, ,     5.9, ,    -1.4, ,    -9.9, ,   -21.9, ,    -3.1, ,   -19.6, ,    -2.4, ,    13.9, ,    -1.8, 
1981,   -18.8, ,   -15.8, ,    -8.6, ,    -5.3, ,     4.7, ,    11.4, ,    18.1, ,    16.4, ,     8.1, ,     1.4, ,    -3.3, ,   -16.8, ,     -.7, ,   -18.8, ,    -3.1, ,    15.3, ,     2.1, 
1982,   -28.4, ,   -21.1, ,   -14.3, ,    -7.5, ,     8.1, ,     9.0, ,    16.1, ,    12.9, ,     9.1, ,     2.6, ,    -9.9, ,   -18.4, ,    -3.5, ,   -22.1, ,    -4.6, ,    12.7, ,      .6, 
1983,   -20.8, ,   -19.7, ,   -13.5, ,    -4.3, ,     1.0, ,    12.6, ,    18.3, ,    17.8, ,    10.0, ,     3.3, ,    -4.5, ,   -24.7, ,    -2.0, ,   -19.6, ,    -5.6, ,    16.2, ,     2.9, 
1984,   -26.5, ,   -15.1, ,   -16.1, ,     2.4, ,     4.9, ,    12.8, ,    16.6, ,    17.5, ,     6.4, ,     3.2, ,    -8.7, ,   -22.3, ,    -2.1, ,   -22.1, ,    -2.9, ,    15.6, ,      .3, 
1985,   -22.6, ,   -23.1, ,   -11.2, ,    -3.8, ,     5.5, ,    10.6, ,    14.7, ,    13.9, ,     8.5, ,     2.2, ,   -12.7, ,   -20.7, ,    -3.2, ,   -22.7, ,    -3.2, ,    13.1, ,     -.7, 
1986,   -22.4, ,   -20.8, ,   -13.0, ,    -1.2, ,     8.1, ,    10.8, ,    15.3, ,    13.9, ,     6.3, ,      .9, ,   -15.9, ,   -14.6, ,    -2.7, ,   -21.3, ,    -2.0, ,    13.3, ,    -2.9, 
