6014353,LANSDOWNE HOUSE,ON, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
6014353,LANSDOWNE HOUSE,ON, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1941, -9999.9,M, -9999.9,M, -9999.9,M,      .4, ,     9.1, ,    14.7, ,    18.7, ,    14.3, ,     8.8, ,     1.9, ,    -9.0, ,   -16.5, , -9999.9,M, -9999.9,M, -9999.9,M,    15.9, ,      .6, 
1942,   -21.1, ,   -17.9, ,    -8.2, ,      .3, ,     6.5, ,    16.0, ,    14.6, ,    15.2, ,     8.7, ,     4.0, ,   -11.0, ,   -23.1, ,    -1.3, ,   -18.5, ,     -.5, ,    15.3, ,      .6, 
1943,   -24.2, ,   -17.6, , -9999.9,M,    -3.4, ,     5.9, ,    11.6, ,    19.1, ,    15.0, ,     9.0, ,     4.5, ,    -7.2, ,   -18.9, , -9999.9,M,   -21.6, , -9999.9,M,    15.2, ,     2.1, 
1944,   -13.9, ,   -21.0, ,   -14.5, ,    -2.8, ,     7.5, ,    11.7, ,    17.0, ,    16.7, ,    10.8, ,     2.5, ,    -5.9, ,   -16.5, ,     -.7, ,   -17.9, ,    -3.3, ,    15.1, ,     2.5, 
1945,   -24.5, ,   -16.1, ,    -6.3, ,    -5.1, ,     2.4, ,    10.6, ,    16.8, ,    16.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -19.0, ,    -3.0, ,    14.6, , -9999.9,M
1946, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    13.3, ,    16.7, ,    14.6, ,    11.1, ,     2.2, ,    -8.9, ,   -17.1, , -9999.9,M, -9999.9,M, -9999.9,M,    14.9, ,     1.5, 
1947,   -22.1, ,   -19.5, ,   -11.7, ,    -7.3, ,     1.3, ,    12.9, ,    18.5, ,    17.4, ,     9.4, ,     8.4, ,    -6.7, ,   -18.1, ,    -1.5, ,   -19.6, ,    -5.9, ,    16.3, ,     3.7, 
1948,   -22.2, ,   -21.0, ,   -12.8, ,    -2.3, ,     5.8, ,    13.6, ,    17.6, ,    17.0, ,    14.3, ,     5.9, ,    -3.5, ,   -14.1, ,     -.1, ,   -20.4, ,    -3.1, ,    16.1, ,     5.6, 
1949,   -20.8, ,   -23.1, ,   -14.8, ,    -1.3, ,     5.8, ,    15.1, ,    16.3, ,    15.2, ,     7.5, ,     2.3, ,    -8.6, ,   -18.0, ,    -2.0, ,   -19.3, ,    -3.4, ,    15.5, ,      .4, 
1950,   -28.3, ,   -21.3, ,   -16.1, ,    -7.8, ,     4.5, ,    10.1, ,    15.8, ,    13.5, ,     9.9, ,     2.6, ,    -7.3, ,   -19.3, ,    -3.6, ,   -22.5, ,    -6.5, ,    13.1, ,     1.7, 
