6025205,MINE CENTRE    ,ON, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
6025205,MINE CENTRE    ,ON, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1915, -9999.9,M,   -12.6, ,    -7.2, ,     9.4, ,     9.1, ,    11.5, ,    19.9, ,    18.0, ,     9.1, ,     7.7, ,    -4.3, ,    -6.8, , -9999.9,M, -9999.9,M,     3.8, ,    16.5, ,     4.2, 
1916,   -20.0, , -9999.9,M,    -7.8, ,     1.7, ,     8.1, ,    14.3, ,    22.7, ,    17.5, ,    10.7, ,     3.7, ,    -3.6, ,   -18.5, , -9999.9,M, -9999.9,M,      .7, ,    18.2, ,     3.6, 
1917,   -21.9, ,   -21.6, ,    -7.1, ,      .2, ,     8.8, ,    13.6, ,    19.5, ,    15.2, ,    11.8, ,     -.5, ,    -1.7, ,   -20.0, ,     -.3, ,   -20.7, ,      .6, ,    16.1, ,     3.2, 
1918,   -21.0, ,   -16.6, ,    -2.8, ,     2.8, ,     9.7, ,    14.9, ,    17.6, ,    17.7, ,     8.1, ,     5.0, ,    -1.2, ,   -10.0, ,     2.0, ,   -19.2, ,     3.2, ,    16.7, ,     4.0, 
1919,   -12.5, ,   -13.2, ,    -8.4, ,     3.8, ,    13.0, ,    19.2, ,    19.9, ,    17.7, ,    11.5, ,      .9, ,    -8.9, ,   -18.4, ,     2.1, ,   -11.9, ,     2.8, ,    18.9, ,     1.2, 
1920,   -21.2, ,   -15.1, ,    -6.2, ,    -1.0, ,    11.5, ,    16.4, ,    17.9, ,    17.9, ,    14.0, ,     9.1, ,    -4.1, ,    -9.9, ,     2.4, ,   -18.2, ,     1.4, ,    17.4, ,     6.3, 
1921,   -13.5, ,   -10.6, ,    -8.0, ,     4.6, ,    11.9, ,    19.0, ,    21.4, ,    16.6, ,    12.8, ,     6.3, ,    -8.3, ,   -13.3, ,     3.2, ,   -11.3, ,     2.8, ,    19.0, ,     3.6, 
1922,   -17.8, ,   -16.5, ,    -5.7, ,     3.4, ,    14.9, ,    17.0, ,    17.6, ,    17.7, ,    13.2, ,     5.0, ,     -.7, ,   -16.5, ,     2.6, ,   -15.9, ,     4.2, ,    17.4, ,     5.8, 
1923,   -17.6, ,   -18.8, ,   -13.8, ,      .9, ,    11.7, ,    18.8, ,    20.4, ,    14.2, ,    13.2, ,     4.9, ,      .2, ,    -8.4, ,     2.1, ,   -17.6, ,     -.4, ,    17.8, ,     6.1, 
1924,   -21.9, ,   -11.7, ,    -6.9, ,     2.0, ,     6.9, ,    13.2, ,    17.3, ,    15.6, ,    10.3, ,     9.1, ,    -6.0, ,   -19.7, ,      .7, ,   -14.0, ,      .7, ,    15.4, ,     4.5, 
1925,   -17.9, ,   -15.0, ,    -7.2, ,     5.7, ,     9.0, ,    14.9, ,    17.9, ,    18.2, ,    12.2, ,      .0, ,    -4.7, ,   -15.1, ,     1.5, ,   -17.5, ,     2.5, ,    17.0, ,     2.5, 
1926,   -15.4, ,   -12.2, ,    -9.8, ,      .1, ,    11.9, ,    13.4, ,    18.1, ,    16.3, ,     9.2, ,     2.8, ,    -9.2, ,   -16.4, ,      .7, ,   -14.2, ,      .7, ,    15.9, ,      .9, 
1927,   -18.2, ,   -13.2, ,    -3.9, ,     2.1, ,     8.0, ,    14.0, ,    16.9, ,    15.3, ,    13.4, ,     5.9, ,    -7.8, ,   -19.4, ,     1.1, ,   -15.9, ,     2.1, ,    15.4, ,     3.8, 
1928,   -15.9, ,   -14.1, ,    -8.1, ,    -1.5, ,    11.8, ,    13.8, ,    17.3, ,    16.7, ,     9.8, ,     4.4, ,    -2.5, ,    -9.4, ,     1.9, ,   -16.5, ,      .7, ,    15.9, ,     3.9, 
1929,   -24.0, ,   -17.9, ,    -5.4, ,     3.1, ,     8.1, ,    14.4, ,    18.3, ,    16.2, ,    10.2, ,     5.1, ,    -7.2, ,   -15.4, ,      .5, ,   -17.1, ,     1.9, ,    16.3, ,     2.7, 
1930,   -23.0, ,   -10.3, ,    -7.3, ,     4.2, ,    10.1, ,    16.6, ,    18.6, ,    18.6, ,    11.3, ,     4.7, ,    -3.1, ,   -11.2, ,     2.4, ,   -16.2, ,     2.3, ,    17.9, ,     4.3, 
1931,   -12.5, ,    -8.7, ,    -6.0, ,     3.8, ,     9.4, ,    17.4, ,    18.5, ,    16.9, ,    14.2, ,     8.8, ,     -.4, ,    -7.1, ,     4.5, ,   -10.8, ,     2.4, ,    17.6, ,     7.5, 
1932,   -11.8, ,   -14.9, ,   -12.4, ,     2.4, ,    10.9, ,    18.4, ,    17.9, ,    17.3, ,    11.3, ,     3.2, ,    -7.6, ,   -17.7, ,     1.4, ,   -11.3, ,      .3, ,    17.9, ,     2.3, 
1933,   -15.0, ,   -18.2, ,    -8.3, ,     1.8, ,    12.0, ,    18.7, ,    19.9, ,    16.6, ,    12.9, ,     1.8, ,    -8.5, ,   -19.8, ,     1.2, ,   -17.0, ,     1.8, ,    18.4, ,     2.1, 
1934,   -13.6, ,   -18.0, ,   -10.7, ,     1.2, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    10.3, ,     6.5, ,     -.3, ,   -15.3, , -9999.9,M,   -17.1, , -9999.9,M, -9999.9,M,     5.5, 
1935,   -19.8, ,   -11.5, ,    -7.6, ,      .6, ,     9.3, ,    13.1, ,    21.3, ,    18.3, ,    10.6, ,     4.5, ,    -8.4, ,   -12.2, ,     1.5, ,   -15.5, ,      .8, ,    17.6, ,     2.2, 
1936,   -20.5, ,   -23.1, ,    -6.8, ,    -1.7, ,    12.0, ,    14.4, ,    22.8, ,    18.1, ,    13.4, ,     1.0, , -9999.9,M, -9999.9,M, -9999.9,M,   -18.6, ,     1.2, ,    18.4, , -9999.9,M
1937,   -22.8, ,   -16.1, ,    -8.2, ,     1.8, ,    12.0, ,    16.3, ,    20.0, ,    20.3, ,    12.0, ,     3.7, ,    -4.1, ,   -15.3, ,     1.6, , -9999.9,M,     1.9, ,    18.9, ,     3.9, 
1938,   -18.2, ,   -12.7, ,    -1.8, ,     2.5, ,    10.9, ,    16.0, ,    19.5, ,    19.3, ,    13.1, ,     8.6, ,    -6.6, ,   -13.8, ,     3.1, ,   -15.4, ,     3.9, ,    18.3, ,     5.0, 
