6034075,KENORA         ,ON, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
6034075,KENORA         ,ON, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1899, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     6.4, ,     1.6, ,   -12.2, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1900,   -13.8, ,   -21.1, ,   -10.3, ,     8.5, ,    13.2, ,    17.7, ,    17.7, ,    20.2, ,    13.1, ,     9.0, ,    -6.5, ,   -11.9, ,     3.0, ,   -15.7, ,     3.8, ,    18.5, ,     5.2, 
1901,   -13.0, ,   -16.3, ,    -7.1, ,     5.1, ,    13.7, ,    15.9, ,    20.3, ,    18.3, ,    11.5, , -9999.9,M,    -5.5, ,   -13.9, , -9999.9,M,   -13.7, ,     3.9, ,    18.2, , -9999.9,M
1902,   -15.0, ,   -11.5, ,    -1.8, ,     2.2, ,    11.6, ,    13.3, ,    19.9, ,    15.4, , -9999.9,M,     5.3, ,    -3.1, ,   -15.2, , -9999.9,M,   -13.5, ,     4.0, ,    16.2, , -9999.9,M
1903,   -17.0, , -9999.9,M,    -6.1, ,     3.8, ,    11.9, ,    16.3, ,    18.0, ,    15.6, ,    10.2, ,     7.6, ,    -5.4, ,   -17.0, , -9999.9,M, -9999.9,M,     3.2, ,    16.6, ,     4.1, 
1904,   -19.5, ,   -21.1, ,    -9.4, ,     1.8, ,    12.2, ,    16.5, ,    17.7, ,    16.6, ,    11.0, ,     6.7, ,     -.4, ,   -14.2, ,     1.5, ,   -19.2, ,     1.5, ,    16.9, ,     5.8, 
1905,   -19.5, ,   -15.9, ,    -5.1, ,     2.6, ,     8.7, ,    14.0, ,    18.2, ,    18.0, ,    14.7, ,     3.7, ,    -3.5, ,    -9.7, ,     2.2, ,   -16.5, ,     2.1, ,    16.7, ,     5.0, 
1906,   -12.5, ,   -16.8, ,    -8.7, ,     6.8, ,     8.5, ,    16.9, ,    19.9, ,    18.5, ,    15.2, ,     4.0, ,    -2.7, ,   -14.6, ,     2.9, ,   -13.0, ,     2.2, ,    18.4, ,     5.5, 
1907,   -22.7, ,   -15.1, ,    -7.1, ,    -3.5, ,     1.9, ,    16.6, ,    19.5, ,    15.1, ,     9.7, , -9999.9,M,    -3.9, ,    -8.1, , -9999.9,M,   -17.5, ,    -2.9, ,    17.1, , -9999.9,M
1908,   -13.2, ,   -11.5, , -9999.9,M,      .5, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -12.5, , -9999.9,M,   -10.9, , -9999.9,M, -9999.9,M, -9999.9,M
