6037775,SIOUX LOOKOUT  ,ON, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
6037775,SIOUX LOOKOUT  ,ON, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1914, -9999.9,M, -9999.9,M,    -8.9,a,      .1,a,    10.5,a,    14.2,a,    18.5,a,    14.5,a,    12.1,a,     7.7,a,    -4.1,a,   -14.2,a, -9999.9,M, -9999.9,M,      .6,a,    15.7,a,     5.2,a
1915,   -16.3,a,    -9.4,a,    -6.0,a,     6.1,a,     8.8,a,    11.9,a,    15.9,a,    15.5,a,    11.0,a,     5.0,a,    -1.9,a,    -9.3,a,     2.6,a,   -13.3,a,     3.0,a,    14.4,a,     4.7,a
1916,   -17.1,a,   -17.1,a,    -8.8,a,     2.4,a,     6.1,a,    13.3,a,    21.5,a,    17.6,a,    10.8,a,     3.5,a,    -3.3,a,   -17.6,a,      .9,a,   -14.5,a,     -.1,a,    17.5,a,     3.7,a
1917,   -22.4,a,   -21.4,a,    -8.1,a,      .1,a,     8.2,a,    13.0,a,    19.2,a,    14.9,a,    12.5,a,     -.2,a,      .0,a,   -19.1,a,     -.3,a,   -20.5,a,      .1,a,    15.7,a,     4.1,a
1918,   -18.6,a,   -16.3,a,    -4.6,a,     2.8,a,     6.8,a,    12.6,a,    16.4,a,    16.5,a,     7.6,a,     3.8,a,    -1.3,a,   -12.3,a,     1.1,a,   -18.0,a,     1.7,a,    15.2,a,     3.4,a
1919,   -11.2,a,   -13.6,a,    -8.3,a,     3.0,a,    11.7,a,    19.2,a,    19.1,a,    17.5,a,    10.4,a,     1.6,a,    -7.2,a,   -16.2,a,     2.2,a,   -12.4,a,     2.1,a,    18.6,a,     1.6,a
1920,   -20.4,a,   -14.5,a,    -8.5,a,    -2.1,a,    10.0,a,    15.4,a,    15.7,a,    16.7,a,    14.2,a,     8.7,a,    -4.8,a,   -11.0,a,     1.6,a,   -17.0,a,     -.2,a,    15.9,a,     6.0,a
1921,   -15.6,a,   -12.1,a,    -7.9,a,      .5,a,     8.8,a,    17.2,a,    18.5,a,    14.8,a,    10.3,a,     4.4,a,    -9.3,a,   -13.5,a,     1.3,a,   -12.9,a,      .5,a,    16.8,a,     1.8,a
1922,   -18.8,a,   -17.8,a,    -7.2,a,     2.3,a,    13.4,a,    15.3,a,    15.2,a,    16.0,a,    11.9,a,     2.3,a,    -2.5,a,   -18.1,a,     1.0,a,   -16.7,a,     2.8,a,    15.5,a,     3.9,a
1923,   -17.9,a,   -18.4,a,   -15.8,a,    -1.9,a,     9.2,a,    16.5,a,    17.7,a,    12.9,a,    11.3,a,     4.7,a,     -.1,a,    -9.5,a,      .7,a,   -18.1,a,    -2.8,a,    15.7,a,     5.3,a
1924,   -22.9,a,   -14.8,a,    -8.6,a,     -.6,a,     4.2,a,    11.7,a,    15.6,a,    14.0,a,     9.5,a,     8.1,a,    -7.8,a,   -20.8,a,    -1.0,a,   -15.7,a,    -1.7,a,    13.8,a,     3.3,a
1925,   -19.5,a,   -16.0,a,    -9.9,a,     2.8,a,     6.7,a,    12.6,a,    15.3,a,    16.5,a,     9.9,a,    -1.4,a,    -6.1,a,   -15.7,a,     -.4,a,   -18.8,a,     -.1,a,    14.8,a,      .8,a
1926,   -16.5,a,   -14.0,a,   -12.3,a,    -3.0,a,    10.1,a,    11.2,a,    15.7,a,    14.6,a,     7.5,a,     1.3,a,   -11.8,a,   -17.0,a,    -1.2,a,   -15.4,a,    -1.7,a,    13.8,a,    -1.0,a
1927,   -19.2,a,   -15.2,a,    -6.4,a,     1.2,a,     6.3,a,    12.0,a,    14.6,a,    13.2,a,    11.2,a,     4.8,a,   -10.1,a,   -20.1,a,     -.6,a,   -17.1,a,      .4,a,    13.3,a,     2.0,a
1928, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1929,   -23.6,a,   -19.9,a,    -7.6,a,     1.0,a,     5.6,a,    13.1,a,    17.3,a,    15.0,a,     8.7,a,     4.1,a,    -7.9,a,   -15.2,a,     -.8,a, -9999.9,M,     -.3,a,    15.1,a,     1.6,a
