6061361,CHAPLEAU       ,ON, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
6061361,CHAPLEAU       ,ON, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1913, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    19.8,a,    17.2,a,    11.5,a, -9999.9,M,     -.7,a,    -4.6,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1914,   -11.1,a,   -17.8,a,    -7.8,a,      .1,a,    12.0,a,    14.3,a,    17.7,a,    15.7,a, -9999.9,M,     9.0,a,     -.1,a, -9999.9,M, -9999.9,M,   -11.2,a,     1.4,a,    15.9,a, -9999.9,M
1915, -9999.9,M, -9999.9,M, -9999.9,M,     7.8,a,     9.3,a,    14.1,a,    15.6,a,    15.2,a,    12.4,a,     9.4,a,     2.3,a,    -4.4,a, -9999.9,M, -9999.9,M, -9999.9,M,    15.0,a,     8.0,a
1916, -9999.9,M, -9999.9,M,    -7.2,a,     4.2,a,     9.0,a,    15.1,a,    19.5,a,    16.7,a,    10.8,a,     4.0,a,    -1.8,a,   -11.8,a, -9999.9,M, -9999.9,M,     2.0,a,    17.1,a,     4.3,a
1917,   -15.4,a,   -17.2,a,    -8.0,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    11.5,a,     8.3,a,     1.8,a,    -3.3,a,   -18.0,a, -9999.9,M,   -14.8,a, -9999.9,M, -9999.9,M,     2.3,a
1918,   -17.2,a,   -17.6,a,    -6.9,a,     3.0,a,     9.3,a,    13.1,a,    16.1,a,    14.2,a,     8.0,a, -9999.9,M,     -.3,a,    -8.0,a, -9999.9,M,   -17.6,a,     1.8,a,    14.5,a, -9999.9,M
1919,   -10.6,a,    -8.7,a,    -4.6,a,     5.0,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     7.7,a,    -5.3,a, -9999.9,M, -9999.9,M,    -9.1,a, -9999.9,M, -9999.9,M, -9999.9,M
1920,   -19.7,a,   -11.9,a,    -4.5,a,     1.8,a,    10.0,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     2.4,a, -9999.9,M, -9999.9,M
1921, -9999.9,M,    -9.7,a,     -.6,a, -9999.9,M, -9999.9,M,    16.0,a,    18.8,a,    14.2,a, -9999.9,M, -9999.9,M,    -5.6,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    16.3,a, -9999.9,M
1922, -9999.9,M, -9999.9,M,    -6.3,a,      .7,a,    13.6,a,    14.5,a,    16.6,a,    15.6,a,    13.6,a,     2.6,a,    -1.4,a,   -14.9,a, -9999.9,M, -9999.9,M,     2.7,a,    15.6,a,     4.9,a
1923,   -17.1,a,   -17.9,a,   -14.8,a,     -.7,a,     9.2,a,    15.5,a,    16.3,a,    14.2,a,    11.0,a,     5.8,a,     -.2,a,    -5.6,a,     1.3,a,   -16.6,a,    -2.1,a,    15.3,a,     5.5,a
1924,   -20.7,a,   -16.0,a,    -7.3,a,      .7,a,     5.5,a,    13.1,a,    15.5,a,    14.8,a,    10.0,a,     7.2,a,    -4.4,a,   -17.5,a,      .1,a,   -14.1,a,     -.4,a,    14.5,a,     4.3,a
1925,   -18.0,a,   -14.1,a, -9999.9,M,     3.3,a,     7.0,a,    15.8,a,    16.3,a,    17.9,a,    11.2,a,      .1,a,    -3.2,a,   -11.0,a, -9999.9,M,   -16.5,a, -9999.9,M,    16.7,a,     2.7,a
1926,   -14.0,a,   -13.1,a,   -10.7,a,    -3.4,a,     7.8,a,    12.1,a,    16.2,a,    17.0,a,     9.6,a,     3.2,a,    -7.4,a,   -12.4,a,      .4,a,   -12.7,a,    -2.1,a,    15.1,a,     1.8,a
1927, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1928,   -14.2,a,   -14.7,a,    -8.8,a,    -1.9,a,     8.5,a,    12.4,a,    16.5,a,    16.4,a,     8.3,a,     4.1,a,    -3.1,a,    -6.8,a,     1.4,a, -9999.9,M,     -.7,a,    15.1,a,     3.1,a
1929,   -20.2,a,   -16.6,a,    -5.5,a,     1.6,a,     6.6,a,    13.4,a,    16.6,a,    14.9,a,    10.5,a,     3.6,a,    -5.4,a,   -14.9,a,      .4,a,   -14.5,a,      .9,a,    15.0,a,     2.9,a
1930,   -17.5,a,   -12.6,a,    -8.5,a,      .8,a,     9.8,a,    15.7,a,    16.7,a,    18.8,a,    10.9,a,     5.8,a,    -1.0,a,   -10.0,a,     2.4,a,   -15.0,a,      .7,a,    17.1,a,     5.2,a
1931,   -13.8,a,   -10.1,a,    -6.3,a,     1.5,a,     9.5,a,    17.0,a,    19.9,a,    15.9,a,    14.5,a,     8.2,a,     1.1,a,    -7.7,a,     4.1,a,   -11.3,a,     1.6,a,    17.6,a,     7.9,a
1932,    -9.2,a,   -12.5,a,   -10.9,a,      .2,a,    10.0,a,    16.1,a,    16.1,a,    17.1,a,    12.0,a,     3.0,a,    -5.6,a,   -10.8,a,     2.1,a,    -9.8,a,     -.2,a,    16.4,a,     3.1,a
1933,   -12.4,a,   -13.8,a,    -8.6,a,     1.0,a,     9.6,a,    18.5,a,    18.2,a,    16.9,a,    12.1,a,     3.1,a,   -10.4,a,   -17.2,a,     1.4,a,   -12.3,a,      .7,a,    17.9,a,     1.6,a
1934,   -12.8,a,   -20.5,a,   -10.1,a,    -1.3,a,     9.8,a,    15.7,a,    17.9,a,    14.0,a,    11.8,a,     4.4,a,    -1.0,a,   -14.3,a,     1.1,a,   -16.8,a,     -.5,a,    15.9,a,     5.1,a
1935,   -19.1,a,   -13.0,a,    -7.0,a,      .1,a,     6.7,a,    12.9,a,    19.0,a,    15.6,a,     8.6,a,     4.5,a,    -5.9,a,   -13.3,a,      .8,a,   -15.5,a,     -.1,a,    15.8,a,     2.4,a
1936,   -17.8,a,   -18.4,a,    -6.2,a,    -1.4,a,     8.4,a,    12.3,a,    19.4,a,    15.8,a,    12.6,a,     1.6,a,    -9.5,a,    -9.7,a,      .6,a,   -16.5,a,      .3,a,    15.8,a,     1.6,a
