6068150,SUDBURY        ,ON, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
6068150,SUDBURY        ,ON, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1947, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    10.9,a,    -1.7,a,   -10.5,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1948,   -16.5,a,   -13.4,a,    -7.0,a,     3.8,a,     8.9,a,    16.0,a,    18.6,a,    18.3,a,    14.5,a,     5.8,a,     2.5,a,    -6.8,a,     3.7,a,   -13.5,a,     1.9,a,    17.6,a,     7.6,a
1949,   -11.1,a,   -11.0,a,    -7.0,a,     3.2,a,     9.6,a,    17.6,a,    19.4,a,    18.6,a,    11.2,a,     8.5,a,    -3.6,a,    -7.9,a,     4.0,a,    -9.6,a,     1.9,a,    18.5,a,     5.4,a
1950,   -11.2,a,   -12.8,a,    -8.4,a,    -1.7,a,     9.2,a,    14.8,a,    17.7,a,    15.1,a,    11.0,a,     7.5,a,    -2.3,a,   -11.2,a,     2.3,a,   -10.6,a,     -.3,a,    15.9,a,     5.4,a
1951, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1952,   -12.1,a,   -11.1,a,    -6.7,a,     4.2,a,     9.6,a,    15.9,a,    19.7,a,    17.2,a,    13.5,a,     3.5,a,      .3,a,    -5.5,a,     4.0,a, -9999.9,M,     2.4,a,    17.6,a,     5.8,a
1953,   -12.0,a,    -9.2,a,    -4.3,a,     2.0,a,    11.3,a,    15.7,a,    18.6,a,    18.4,a,    12.0,a,     7.3,a,     1.5,a,    -6.8,a,     4.5,a,    -8.9,a,     3.0,a,    17.6,a,     6.9,a
1954,   -17.3,a,    -7.1,a,    -6.5, ,     2.3, ,     9.1, , -9999.9,M,    17.7, ,    16.6, ,    11.6, ,     6.8, ,      .5, ,    -9.4, , -9999.9,M,   -10.4,a,     1.6, , -9999.9,M,     6.3, 
1955,   -12.8, , -9999.9,M,    -7.7, ,     7.1, ,    11.7, ,    18.5, ,    21.4, ,    19.6, ,    12.1, ,     7.7, ,    -2.7, ,   -12.4, , -9999.9,M, -9999.9,M,     3.7, ,    19.8, ,     5.7, 
1956,   -11.9, ,    -9.6, ,    -8.8, ,      .7, ,     6.6, ,    16.7, ,    17.3, ,    16.4, ,     9.5, ,     8.2, ,     -.5, ,   -10.4, ,     2.9, ,   -11.3, ,     -.5, ,    16.8, ,     5.7, 
1957,   -16.9, ,    -9.1, ,    -4.7, ,     4.1, ,     9.4, ,    15.7, ,    18.8, ,    16.5, ,    11.9, ,     6.4, ,      .1, ,    -6.8, ,     3.8, ,   -12.1, ,     2.9, ,    17.0, ,     6.1, 
