6072230,EARLTON        ,ON, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
6072230,EARLTON        ,ON, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1938, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     6.6, ,    -2.3, ,    -9.7, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1939,   -16.0, ,   -15.6, ,   -12.2, ,    -1.2, ,     9.3, ,    14.4, ,    17.2, ,    17.0, ,     9.9, ,     3.7, ,    -4.0, ,    -8.3, ,     1.2, ,   -13.8, ,    -1.4, ,    16.2, ,     3.2, 
1940,   -17.5, ,   -13.4, ,   -10.7, ,      .5, ,     9.9, ,    13.5, ,    18.1, ,    16.2, ,    11.5, ,     3.9, ,    -5.5, ,   -10.7, ,     1.3, ,   -13.1, ,     -.1, ,    15.9, ,     3.3, 
1941,   -18.2, ,   -13.4, ,   -10.4, ,     3.1, ,    10.5, ,    16.5, ,    18.7, ,    14.2, ,    12.7, ,     4.8, ,    -2.3, ,   -10.3, ,     2.2, ,   -14.1, ,     1.1, ,    16.5, ,     5.1, 
1942,   -15.5, ,   -13.4, ,    -3.9, ,     5.1, ,    10.6, ,    16.5, ,    16.9, ,    16.2, ,    11.3, ,     5.5, ,    -2.9, ,   -15.0, ,     2.6, ,   -13.1, ,     3.9, ,    16.5, ,     4.6, 
1943,   -18.1, ,   -13.0, ,   -11.0, ,    -1.9, ,    10.1, ,    14.8, ,    18.4, ,    15.9, ,    10.1, ,     5.3, ,    -2.7, ,   -13.8, ,     1.2, ,   -15.4, ,     -.9, ,    16.4, ,     4.2, 
1944,    -9.7, ,   -13.4, ,   -10.7, ,     -.4, ,    12.8, ,    15.1, ,    18.2, ,    17.8, ,    12.2, ,     5.2, ,    -1.5, ,   -11.0, ,     2.9, ,   -12.3, ,      .6, ,    17.0, ,     5.3, 
1945,   -20.6, ,   -11.1, ,     -.6, ,     3.5, ,     7.3, ,    14.9, ,    16.7, ,    16.8, ,    11.1, ,     3.4, ,    -1.8, ,   -14.0, ,     2.1, ,   -14.2, ,     3.4, ,    16.1, ,     4.2, 
1946,   -14.2, ,   -19.0, ,      .1, ,     1.6, ,     7.1, ,    14.5, ,    16.9, ,    14.5, ,    12.6, ,     7.6, ,    -2.8, ,   -11.7, ,     2.3, ,   -15.7, ,     2.9, ,    15.3, ,     5.8, 
1947,   -14.5, ,   -14.7, ,    -6.7, ,    -2.4, ,     6.4, ,    14.7, ,    18.0, ,    19.8, , -9999.9,M,    10.2, ,    -3.5, ,   -12.7, , -9999.9,M,   -13.6, ,     -.9, ,    17.5, , -9999.9,M
1948,   -17.8, ,   -15.5, ,    -8.8, ,     3.7, ,     8.2, ,    14.7, ,    17.8, ,    17.4, ,    13.3, ,     5.2, ,     1.4, ,    -7.6, ,     2.7, ,   -15.3, ,     1.0, ,    16.6, ,     6.6, 
1949,   -13.8, ,   -13.9, ,    -9.2, ,     2.8, ,     9.0, ,    17.4, ,    18.3, ,    17.0, ,    10.3, ,     7.7, ,    -5.2, ,   -10.0, ,     2.5, ,   -11.8, ,      .9, ,    17.6, ,     4.3, 
1950,   -15.7, ,   -15.2, ,    -9.8, ,    -2.3, ,     9.1, ,    14.0, ,    16.5, ,    13.5, ,    10.0, ,     6.1, ,    -2.3, ,   -13.0, ,      .9, ,   -13.6, ,    -1.0, ,    14.7, ,     4.6, 
1951,   -15.8, ,   -11.8, ,    -6.0, ,     4.1, ,    11.5, ,    14.4, ,    16.3, ,    14.3, ,    10.1, ,     5.0, ,    -5.7, ,   -12.6, ,     2.0, ,   -13.5, ,     3.2, ,    15.0, ,     3.1, 
1952, -9999.9,M,   -12.1, ,    -7.8, ,     3.9, ,     9.3, ,    15.1, ,    19.3, ,    16.8, ,    13.6, ,     3.4, ,     -.9, ,    -7.9, , -9999.9,M, -9999.9,M,     1.8, ,    17.1, ,     5.4, 
1953,   -14.8, ,   -10.6, ,    -5.1, ,     1.9, ,    10.4, ,    14.8, ,    18.7, ,    17.5, ,    11.2, ,     6.4, ,     1.7, ,    -8.0, ,     3.7, ,   -11.1, ,     2.4, ,    17.0, ,     6.4, 
1954,   -19.1, ,    -8.6, ,    -7.8, ,     1.9, ,     8.5, ,    16.1, ,    16.6, ,    15.6, ,    10.3, ,     6.1, ,    -1.0, ,   -11.1, ,     2.3, ,   -11.9, ,      .9, ,    16.1, ,     5.1, 
1955,   -16.2, ,   -12.9, ,    -9.3, ,     6.3, ,    11.4, ,    18.6, ,    20.6, ,    18.2, ,    11.3, ,     6.8, ,    -2.9, ,   -14.6, ,     3.1, ,   -13.4, ,     2.8, ,    19.1, ,     5.1, 
1956,   -14.3, ,   -11.1, ,   -11.6, ,      .0, ,     5.9, ,    15.5, ,    15.9, ,    15.1, ,     8.4, ,     7.8, ,    -2.0, ,   -13.2, ,     1.4, ,   -13.3, ,    -1.9, ,    15.5, ,     4.7, 
1957,   -20.1, ,   -10.4, ,    -6.4, ,     2.8, ,     9.2, ,    15.3, ,    17.6, ,    15.2, ,    11.9, ,     5.9, ,     -.3, ,    -9.4, ,     2.6, ,   -14.6, ,     1.9, ,    16.0, ,     5.8, 
1958,   -12.4, ,   -14.9, ,    -1.7, ,     4.6, ,     7.6, ,    12.4, ,    17.3, ,    16.6, ,    12.3, ,     5.6, ,     -.5, ,   -17.0, ,     2.5, ,   -12.2, ,     3.5, ,    15.4, ,     5.8, 
1959,   -15.9, ,   -16.9, ,    -9.4, ,      .7, ,    10.9, ,    16.3, ,    19.6, ,    18.9, ,    13.6, ,     3.7, ,    -6.9, ,   -10.3, ,     2.0, ,   -16.6, ,      .7, ,    18.3, ,     3.5, 
1960,   -14.0, ,   -12.0, ,   -11.6, ,     1.1, ,    11.9, ,    14.7, ,    16.8, ,    17.2, ,    11.4, ,     5.6, ,      .8, ,   -13.2, ,     2.4, ,   -12.1, ,      .5, ,    16.2, ,     5.9, 
1961,   -19.0, ,   -11.0, ,    -6.1, ,     1.9, ,     7.5, ,    13.4, ,    18.2,a,    16.1,a,    14.4,a,     6.5,a,     -.9,a,    -9.6,a,     2.6,a,   -14.4, ,     1.1, ,    15.9,a,     6.7,a
1962,   -18.6,a,   -18.2,a,    -5.8,a,     1.2,a,    12.2,a,    15.2,a,    16.7,a,    16.5,a,    11.1,a,     6.1,a,    -1.8,a,   -12.0,a,     1.9,a,   -15.5,a,     2.5,a,    16.1,a,     5.1,a
1963,   -18.3,a,   -17.4,a,    -8.2,a,     2.3,a,     8.8,a,    17.1,a,    19.2,a,    14.9,a,     9.8,a,    10.4,a,     1.6,a,   -15.6,a,     2.1,a,   -15.9,a,     1.0,a,    17.1,a,     7.3,a
1964,   -10.5,a,   -12.3,a,    -9.3,a,     2.0,a,    12.3,a,    14.1,a,    18.9,a,    14.5,a,    11.0,a,     4.9,a,    -2.3,a,   -13.1,a,     2.5,a,   -12.8,a,     1.7,a,    15.8,a,     4.5,a
1965,   -17.1,a,   -15.0,a,    -9.6,a,      .1,a,    11.9,a,    15.2,a,    14.3,a,    13.8,a,    10.6,a,     4.7,a,    -3.6,a,    -7.7,a,     1.5,a,   -15.1,a,      .8,a,    14.4,a,     3.9,a
1966,   -16.8,a,   -10.3,a,    -6.2,a,     2.1,a,     7.1,a,    16.4,a,    18.5,a,    16.0,a,    10.9,a,     5.6,a,    -3.0,a,   -11.9,a,     2.4,a,   -11.6,a,     1.0,a,    17.0,a,     4.5,a
1967,   -14.0,a,   -18.2,a,    -8.3,a,     1.2,a,     6.5,a,    16.9,a,    17.7,a,    15.4,a,    12.3,a,     5.4,a,    -4.5,a,    -8.9,a,     1.8,a,   -14.7,a,     -.2,a,    16.7,a,     4.4,a
1968,   -17.1,a,   -16.6,a,    -4.9,a,     4.9,a,     9.8,a,    14.2,a,    17.8,a,    15.8,a,    14.4,a,     8.2,a,    -3.8,a,   -11.8,a,     2.6,a,   -14.2,a,     3.3,a,    15.9,a,     6.3,a
1969,   -11.1,a,   -10.2,a,    -8.4,a,     1.5,a,     8.6,a,    14.0,a,    18.0,a,    19.0,a,    10.9,a,     4.0,a,    -1.8,a,   -12.2,a,     2.7,a,   -11.0,a,      .6,a,    17.0,a,     4.4,a
1970,   -18.7,a,   -15.8,a,    -7.7,a,     2.3,a,     8.5,a,    15.6,a,    19.3,a,    18.1,a,    12.0,a,     7.7,a,    -1.6,a,   -14.5,a,     2.1,a,   -15.6,a,     1.0,a,    17.7,a,     6.0,a
1971,   -18.4,a,   -12.7,a,    -8.1,a,     1.6,a,     9.5,a,    16.8,a,    16.6,a,    16.7,a,    14.6,a,     9.8,a,    -2.5,a,   -10.7,a,     2.8,a,   -15.2,a,     1.0,a,    16.7,a,     7.3,a
1972,   -14.1,a,   -15.8,a,   -10.3,a,      .2,a,    11.4,a,    14.4,a,    17.4,a,    15.4,a,    10.9,a,     3.2,a,    -3.4,a,   -14.5,a,     1.2,a,   -13.5,a,      .4,a,    15.7,a,     3.6,a
1973,   -12.6,a,   -16.5,a,    -1.0,a,     2.9,a,     9.1,a,    16.3,a,    18.9,a,    19.6,a,    11.6,a,     7.9,a,    -2.9,a,   -12.1,a,     3.4,a,   -14.5,a,     3.7,a,    18.3,a,     5.5,a
1974,   -16.2,a,   -16.7,a,    -8.7,a,      .8,a,     7.6,a,    15.7,a,    18.6,a,    17.0,a,     9.2,a,     3.3,a,    -1.4,a,    -8.4,a,     1.7,a,   -15.0,a,     -.1,a,    17.1,a,     3.7,a
1975,   -12.9,a,   -12.1,a,    -8.8,a,     -.9,a,    14.3,a,    17.1,a,    20.0,a,    17.9,a,    10.5,a,     6.5,a,    -1.2,a,   -13.1,a,     3.1,a,   -11.1,a,     1.5,a,    18.3,a,     5.3,a
1976,   -19.4,a,   -11.4,a,    -7.8,a,     3.8,a,     9.1,a,    18.5,a,    17.4,a,    17.4,a,    10.6,a,     2.9,a,    -4.9,a,   -18.2,a,     1.5,a,   -14.6,a,     1.7,a,    17.8,a,     2.9,a
1977,   -18.0,a,   -11.5,a,    -2.3,a,     2.8,a,    13.2,a,    13.9,a,    18.2,a,    15.4,a,    11.2,a,     5.0,a,    -1.0,a,   -12.0,a,     2.9,a,   -15.9,a,     4.6,a,    15.8,a,     5.1,a
