6073810,IROQUOIS FALLS ,ON, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
6073810,IROQUOIS FALLS ,ON, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1913, -9999.9,M, -9999.9,M, -9999.9,M,     1.7, ,     6.6, ,    15.0, ,    15.6, ,    15.4, ,    10.4, ,     5.0, ,    -1.2, ,    -9.2, , -9999.9,M, -9999.9,M, -9999.9,M,    15.3, ,     4.7, 
1914,   -15.5, ,   -20.3, ,    -9.5, ,    -1.5, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -7.3, ,   -14.4, , -9999.9,M,   -15.0, , -9999.9,M, -9999.9,M, -9999.9,M
1915,   -15.1, ,   -12.9, ,    -9.9, ,     5.2, ,     6.6, ,    13.6, ,    15.9, ,    15.3, ,    11.7, ,     5.1, ,    -1.8, ,   -11.7, ,     1.8, ,   -14.1, ,      .6, ,    14.9, ,     5.0, 
1916,   -16.1, ,   -20.4, ,   -12.5, ,     1.9, ,     8.3, ,    13.8, ,    20.8, ,    18.1, ,    12.3, ,     5.2, ,    -6.8, ,   -16.2, ,      .7, ,   -16.1, ,     -.8, ,    17.6, ,     3.6, 
1917,   -22.6, ,   -20.9, ,    -9.5, ,     1.3, ,     7.2, ,    12.0, ,    17.9, ,    15.6, ,    11.2, ,     1.6, ,    -5.7, ,   -23.6, ,    -1.3, ,   -19.9, ,     -.3, ,    15.2, ,     2.4, 
1918,   -24.1, ,   -22.7, ,   -12.2, ,    -1.0, ,     6.5, ,    10.5, ,    17.3, ,    16.3, ,     7.7, ,     5.9, ,    -1.8, ,   -10.5, ,     -.7, ,   -23.5, ,    -2.2, ,    14.7, ,     3.9, 
1919,   -13.4, ,   -10.1, ,    -7.9, ,      .1, ,    10.2, ,    18.7, ,    18.4, ,    15.6, ,    10.3, ,     2.0, ,    -6.5, ,   -17.7, ,     1.6, ,   -11.3, ,      .8, ,    17.6, ,     1.9, 
1920,   -22.0, , -9999.9,M,    -7.8, ,     1.0, ,     9.9, ,    15.9, ,    15.5, ,    17.5, ,    13.9, ,     8.6, ,    -5.4, ,    -9.6, , -9999.9,M, -9999.9,M,     1.0, ,    16.3, ,     5.7, 
1921,   -14.5, ,   -13.5, ,    -8.4, ,     3.6, ,    10.3, ,    18.3, ,    22.6, ,    15.4, ,    13.0, ,     4.8, ,    -7.2, ,   -12.5, ,     2.7, ,   -12.5, ,     1.8, ,    18.8, ,     3.5, 
1922,   -17.9, ,   -13.9, ,    -3.7, ,     2.9, ,    14.6, ,    17.3, ,    19.3, ,    18.2, ,    14.7, ,     3.1, ,    -3.0, ,   -15.7, ,     3.0, ,   -14.8, ,     4.6, ,    18.3, ,     4.9, 
1923,   -20.3, ,   -18.4, ,   -13.8, ,     -.9, ,    10.8, ,    17.3, ,    19.2, ,    16.5, ,    12.2, ,     6.0, ,    -1.8, ,    -7.2, ,     1.6, ,   -18.1, ,    -1.3, ,    17.7, ,     5.5, 
1924,   -20.3, ,   -14.9, ,    -4.8, ,     3.0, ,     9.2, ,    15.0, ,    17.9, ,    16.5, ,    11.2, ,     7.9, ,    -5.8, ,   -19.1, ,     1.3, ,   -14.1, ,     2.5, ,    16.5, ,     4.4, 
1925,   -21.6, ,   -14.2, ,    -9.5, ,      .9, ,     4.5, ,    14.5, ,    15.0, ,    17.5, ,     9.6, ,     -.1, ,    -4.9, ,   -12.3, ,      .0, ,   -18.3, ,    -1.4, ,    15.7, ,     1.5, 
1926,   -17.6, ,   -16.6, ,   -12.3, ,    -4.1, ,     7.7, ,    12.3, ,    16.1, ,    16.0, ,    10.0, ,     5.0, ,    -6.2, ,   -12.8, ,     -.2, ,   -15.5, ,    -2.9, ,    14.8, ,     2.9, 
