6073975,KAPUSKASING    ,ON, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
6073975,KAPUSKASING    ,ON, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1918,   -20.7, ,   -20.9, ,   -12.2, ,      .2, ,     5.3, ,    11.2, ,    16.0, ,    16.1, ,     6.7, ,     4.8, ,     -.3, ,   -12.4, ,     -.5, , -9999.9,M,    -2.2, ,    14.4, ,     3.7, 
1919,   -14.1, ,   -12.3, ,    -8.9, ,     -.3, ,    10.5, ,    18.7, ,    18.9, ,    16.2, ,    11.3, ,     2.1, ,    -6.7, ,   -19.5, ,     1.3, ,   -12.9, ,      .4, ,    17.9, ,     2.2, 
1920,   -22.5, ,   -14.9, ,   -10.0, ,     -.6, ,     8.1, ,    15.1, ,    14.0, ,    16.0, ,    12.9, ,     8.6, ,    -6.7, ,   -11.1, ,      .7, ,   -19.0, ,     -.8, ,    15.0, ,     4.9, 
1921,   -16.9, ,   -15.4, ,   -11.7, ,      .5, ,     7.1, ,    14.4, ,    19.0, ,    12.1, ,    10.2, ,     2.0, ,    -8.9, ,   -14.2, ,     -.2, ,   -14.5, ,    -1.4, ,    15.2, ,     1.1, 
1922,   -20.1, ,   -18.9, ,    -7.7, ,     -.8, ,    11.0, ,    13.6, ,    15.6, ,    14.3, ,    11.2, ,     -.1, ,    -4.2, ,   -19.8, ,     -.5, ,   -17.7, ,      .8, ,    14.5, ,     2.3, 
1923,   -21.7, ,   -21.1, ,   -15.7, ,    -1.5, ,     8.4, ,    14.9, ,    16.8, ,    13.5, ,    11.4, ,     5.6, ,    -2.2, ,    -8.9, ,      .0, ,   -20.9, ,    -2.9, ,    15.1, ,     4.9, 
1924,   -21.5, ,   -16.4, ,    -8.5, ,     -.9, ,     5.3, ,    12.9, ,    15.5, ,    15.0, ,    10.3, ,     7.9, ,    -5.6, ,   -17.9, ,     -.3, ,   -15.6, ,    -1.4, ,    14.5, ,     4.2, 
1925,   -19.3, ,   -15.9, ,    -9.6, ,     1.3, ,     4.1, ,    13.4, ,    15.2, ,    17.4, ,    10.1, ,     -.2, ,    -4.1, ,   -12.0, ,      .0, ,   -17.7, ,    -1.4, ,    15.3, ,     1.9, 
1926,   -16.2, ,   -16.4, ,   -13.2, ,    -2.5, ,     7.3, ,    11.9, ,    16.7, ,    16.2, ,     9.1, ,     2.7, ,    -8.6, ,   -14.2, ,     -.6, ,   -14.9, ,    -2.8, ,    14.9, ,     1.1, 
1927,   -17.0, ,   -13.7, ,    -4.7, ,     1.0, ,     6.4, ,    13.4, ,    17.0, ,    13.6, ,    11.9, ,     5.0, ,    -6.2, ,   -15.7, ,      .9, ,   -15.0, ,      .9, ,    14.7, ,     3.6, 
1928,   -17.6, ,   -16.9, ,   -10.7, ,    -3.0, ,     8.8, ,    12.2, ,    17.3, ,    17.0, ,     9.2, ,     4.2, ,    -3.5, ,    -7.4, ,      .8, ,   -16.7, ,    -1.6, ,    15.5, ,     3.3, 
1929,   -20.4, ,   -16.5, ,    -8.2, ,      .8, ,     6.8, ,    13.4, ,    17.7, ,    15.0, ,    10.0, ,     3.7, ,    -5.8, ,   -15.5, ,      .1, ,   -14.8, ,     -.2, ,    15.4, ,     2.6, 
1930,   -19.1, ,   -13.9, ,    -9.3, ,      .1, ,     9.9, ,    16.0, ,    16.6, ,    17.4, ,    11.2, ,     5.9, ,     -.9, ,   -10.3, ,     2.0, ,   -16.2, ,      .2, ,    16.7, ,     5.4, 
1931,   -17.3, ,   -12.0, ,    -8.2, ,      .7, ,     8.7, ,    17.1, ,    19.1, ,    16.2, ,    13.4, ,     8.3, ,     -.3, ,   -10.4, ,     2.9, ,   -13.2, ,      .4, ,    17.5, ,     7.1, 
1932,   -11.7, ,   -15.2, ,   -12.2, ,    -2.0, ,     9.1, ,    15.3, ,    15.4, ,    16.4, ,    11.9, ,     3.2, ,    -6.8, ,   -13.4, ,      .8, ,   -12.4, ,    -1.7, ,    15.7, ,     2.8, 
