6077845,SMOKY FALLS    ,ON, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
6077845,SMOKY FALLS    ,ON, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1933, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -14.6, ,   -22.7, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1934,   -18.5, ,   -24.0, ,   -13.2, ,    -2.2, ,     5.9, ,    13.7, ,    16.4, ,    13.3, ,     9.8, ,     2.7, ,    -3.4, ,   -19.0, ,    -1.5, ,   -21.7, ,    -3.2, ,    14.5, ,     3.0, 
1935,   -25.6, ,   -16.6, ,   -12.5, ,    -3.4, ,     5.7, ,    13.6, ,    17.9, ,    17.1, ,     8.9, ,     4.3, ,    -9.4, ,   -15.3, ,    -1.3, ,   -20.4, ,    -3.4, ,    16.2, ,     1.3, 
1936,   -21.7, ,   -22.4, ,    -7.8, ,    -4.5, ,     4.5, ,    13.0, ,    18.8, ,    15.9, ,    11.2, ,      .1, ,   -12.8, ,   -13.1, ,    -1.6, ,   -19.8, ,    -2.6, ,    15.9, ,     -.5, 
1937,   -20.5, ,   -10.9, ,   -14.4, ,     1.1, ,     9.8, ,    15.0, ,    17.1, ,    18.2, ,     9.9, ,     2.5, ,    -5.5, ,   -16.0, ,      .5, ,   -14.8, ,    -1.2, ,    16.8, ,     2.3, 
1938,   -20.5, ,   -18.0, ,    -7.3, ,    -2.0, ,     9.0, ,    14.7, ,    17.4, ,    17.5, ,    10.6, ,     6.3, ,    -7.8, ,   -11.8, ,      .7, ,   -18.2, ,     -.1, ,    16.5, ,     3.0, 
1939,   -19.6, ,   -21.8, ,   -16.3, ,    -3.7, ,     7.0, ,    14.5, ,    18.4, ,    16.8, ,    10.0, ,     1.2, ,    -3.8, ,   -11.1, ,     -.7, ,   -17.7, ,    -4.3, ,    16.6, ,     2.5, 
1940,   -18.5, ,   -16.5, ,   -12.7, ,    -2.8, ,     6.3, ,    12.6, ,    18.3, ,    17.4, ,    12.5, ,     3.2, ,    -8.0, ,   -14.2, ,     -.2, ,   -15.4, ,    -3.1, ,    16.1, ,     2.6, 
1941,   -21.3, ,   -16.0, ,   -12.9, ,      .9, ,     9.9, ,    14.9, ,    18.6, ,    13.5, ,    11.2, ,     3.1, ,    -5.9, ,   -13.9, ,      .2, ,   -17.2, ,     -.7, ,    15.7, ,     2.8, 
1942,   -20.2, ,   -16.1, ,    -8.1, ,     2.1, ,     7.3, ,    16.9, ,    15.4, ,    15.7, ,     9.1, ,     4.8, ,    -5.1, ,   -19.6, ,      .2, ,   -16.7, ,      .4, ,    16.0, ,     2.9, 
1943,   -21.4, ,   -15.9, ,   -15.5, ,    -3.9, ,     8.1, ,    11.7, ,    18.4, ,    15.6, ,     9.6, ,     5.0, ,    -5.0, ,   -17.0, ,     -.9, ,   -19.0, ,    -3.8, ,    15.2, ,     3.2, 
1944,   -11.1, ,   -18.7, ,   -13.6, ,    -4.4, ,     8.1, ,    13.7, ,    18.8, ,    17.5, ,    11.3, ,     3.3, ,    -4.0, ,   -13.2, ,      .6, ,   -15.6, ,    -3.3, ,    16.7, ,     3.5, 
1945,   -23.5, ,   -14.1, ,    -4.0, ,     -.6, ,     4.9, ,    12.3, ,    16.8, ,    16.3, ,    10.1, ,     3.0, ,    -6.0, ,   -17.8, ,     -.2, ,   -16.9, ,      .1, ,    15.1, ,     2.4, 
1946,   -19.0, ,   -22.2, ,    -3.3, ,    -1.5, ,     4.8, ,    12.9, ,    17.0, ,    15.1, ,    12.8, ,     5.9, ,    -6.1, ,   -14.7, ,      .1, ,   -19.7, ,      .0, ,    15.0, ,     4.2, 
1947,   -18.2, ,   -16.9, ,   -10.5, ,    -6.7, ,     3.5, ,    13.2, ,    17.6, ,    18.5, ,    10.6, ,    10.1, ,    -4.9, ,   -15.9, ,      .0, ,   -16.6, ,    -4.6, ,    16.4, ,     5.3, 
