6085700,NORTH BAY      ,ON, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
6085700,NORTH BAY      ,ON, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1925,   -15.1,a,    -8.1,a,    -3.5,a,     5.1,a,     7.5,a,    16.2,a,    16.6,a,    18.7,a,    13.4,a,     2.0,a,    -1.2,a,    -9.2,a,     3.5,a, -9999.9,M,     3.0,a,    17.2,a,     4.7,a
1926,   -11.1,a,   -12.1,a,    -9.3,a,    -1.4,a,     8.4,a,    13.7,a,    17.3,a,    17.2,a,    12.1,a,     5.6,a,    -2.4,a,   -10.7,a,     2.3,a,   -10.8,a,     -.8,a,    16.1,a,     5.1,a
1927,   -13.5,a,   -10.2,a,    -1.7,a,     3.4,a,    10.1,a,    13.8,a,    17.7,a,    15.7,a, -9999.9,M,     8.0,a,    -1.3,a,    -8.1,a, -9999.9,M,   -11.5,a,     3.9,a,    15.7,a, -9999.9,M
1928,   -12.7,a,   -12.7,a,    -6.8,a,     1.0,a,    10.1,a,    15.3,a,    18.2,a,    18.6,a,    10.6,a,     7.4,a,     -.8,a,    -5.6,a,     3.6,a,   -11.2,a,     1.4,a,    17.4,a,     5.7,a
1929,   -15.3,a,   -13.5,a,    -3.3,a,     4.1,a,     9.0,a,    15.2,a,    17.6,a,    16.5,a,    14.0,a,     5.7,a,    -1.6,a,   -11.6,a,     3.1,a,   -11.5,a,     3.3,a,    16.4,a,     6.0,a
1930,   -12.5,a,    -9.5,a,    -4.9,a,     2.9,a,    12.0,a,    17.6,a,    17.7,a,    18.5,a, -9999.9,M, -9999.9,M, -9999.9,M,    -7.8,a, -9999.9,M,   -11.2,a,     3.3,a,    17.9,a, -9999.9,M
1931,   -12.6,a,    -9.5,a,    -2.9,a,     4.2,a,    11.8,a,    16.4,a,    20.9,a,    17.5,a,    15.0,a,     9.2,a,     3.2,a,    -5.8,a,     5.6,a,   -10.0,a,     4.4,a,    18.3,a,     9.1,a
1932,    -5.1,a,    -9.3,a,    -6.6,a,     2.4,a,    11.0,a,    17.2,a,    17.7,a,    18.8,a,    13.7,a,     7.0,a,    -2.3,a,    -6.8,a,     4.8,a,    -6.7,a,     2.3,a,    17.9,a,     6.1,a
1933,    -7.1,a,   -10.2,a,    -4.8,a,     4.5,a,    11.9,a,    18.1,a,    19.6,a,    18.3,a,    13.9,a,     6.0,a,    -6.9,a,   -15.4,a,     4.0,a,    -8.0,a,     3.9,a,    18.7,a,     4.3,a
1934,   -11.7,a,   -19.7,a,    -7.4,a,     1.7,a,    10.9,a,    16.9,a,    19.2,a,    15.2,a,    14.8,a,     5.8,a,     1.2,a,   -12.4,a,     2.9,a,   -15.6,a,     1.7,a,    17.1,a,     7.3,a
