6101874,CORNWALL       ,ON, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
6101874,CORNWALL       ,ON, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1950, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     1.8,a,    -5.8,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1951,    -6.9,a,    -6.7,a,     -.6,a,     8.0,a,    14.1,a,    18.2,a,    20.8,a,    18.6,a,    15.5,a,     9.9,a,      .1,a,    -5.2,a,     7.2,a,    -6.5,a,     7.2,a,    19.2,a,     8.5,a
1952,    -7.0,a,    -4.8,a,    -1.8,a,     8.5,a,    11.9,a,    18.5,a,    22.1,a,    19.5,a,    16.3,a,     7.0,a,     4.7,a,    -1.5,a,     7.8,a,    -5.7,a,     6.2,a,    20.0,a,     9.3,a
1953,    -5.2,a,    -4.4,a, -9999.9,M,     6.9,a,    14.3,a,    17.9,a,    20.6,a,    18.8,a,    15.1,a,     9.9,a,     5.1,a,    -1.2,a, -9999.9,M,    -3.7,a, -9999.9,M,    19.1,a,    10.0,a
1954, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    18.1,a,    14.4,a,    10.5,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1955,   -10.4,a,    -8.0,a,    -2.4,a,     8.6,a,    15.5,a,    19.5,a,    23.0,a,    22.1,a,    14.3,a,     9.7,a,     2.1,a,    -8.9,a,     7.1,a, -9999.9,M,     7.2,a,    21.5,a,     8.7,a
1956,    -7.5,a,    -7.0,a,    -4.9,a,     4.8,a,    10.9,a,    17.6,a,    18.3,a,    18.5,a,    12.8,a,     9.5,a,     2.4,a,    -5.4,a,     5.8,a,    -7.8,a,     3.6,a,    18.1,a,     8.2,a
1957,   -12.5,a,    -6.2,a,    -1.1,a,     7.1,a,    11.8,a,    19.0,a,    19.5,a,    17.4,a,    15.8,a,     8.8,a,     3.3,a,    -2.2,a,     6.7,a,    -8.0,a,     5.9,a,    18.6,a,     9.3,a
1958,    -6.8,a,   -11.2,a,     -.1,a,     7.2,a, -9999.9,M,    15.1,a,    20.1,a,    19.1,a,    15.0,a, -9999.9,M, -9999.9,M,    -9.7,a, -9999.9,M,    -6.7,a, -9999.9,M,    18.1,a, -9999.9,M
1959,    -8.6,a,   -10.2,a,    -2.4,a,     7.1,a,    14.9,a,    18.6,a,    22.4,a,    22.1,a,    17.2,a,     8.4,a,     1.3,a,    -4.5,a,     7.2,a,    -9.5,a,     6.5,a,    21.0,a,     9.0,a
1960,    -9.2,a,    -5.7,a,    -5.8,a,     6.2,a,    15.9,a,    18.5,a,    20.1, ,    20.4, ,    15.9, ,     8.7, ,     4.9, ,    -6.2, ,     7.0,a,    -6.5,a,     5.4,a,    19.7,a,     9.8, 
1961,   -12.4, ,    -6.2, ,    -2.5, ,     4.9, ,    11.9, ,    17.4, ,    20.9, ,    19.8, ,    19.1, ,    11.3, ,     3.5, ,    -4.4, ,     6.9, ,    -8.3, ,     4.8, ,    19.4, ,    11.3, 
1962,    -9.6, ,   -10.3, ,     -.9, ,     5.6, ,    14.7, ,    18.6, ,    18.9, ,    19.7, ,    14.1, ,     8.6, ,      .8, ,    -7.0, ,     6.1, ,    -8.1, ,     6.5, ,    19.1, ,     7.8, 
1963,    -9.0, ,   -12.2, ,    -3.1, ,     6.4, ,    12.0, ,    19.3, ,    21.7, ,    18.0, ,    12.5, ,    13.0, ,     5.7, ,   -10.6, ,     6.1, ,    -9.4, ,     5.1, ,    19.7, ,    10.4, 
1964,    -5.4, ,    -7.2, ,     -.8, ,     6.4, ,    15.1, ,    18.3, , -9999.9,M, -9999.9,M,    14.9, ,     8.3, ,     2.1, ,    -4.7, , -9999.9,M,    -7.7, ,     6.9, , -9999.9,M,     8.4, 
1965,    -9.8, ,    -8.0, ,    -2.7, ,     4.7, ,    14.4, ,    18.2, ,    19.6, ,    19.2, ,    15.7, ,     8.4, ,      .7, ,    -2.7, ,     6.5, ,    -7.5, ,     5.5, ,    19.0, ,     8.3, 
1966,    -9.9, ,    -8.3, ,     -.6, ,     5.6, ,    11.2, ,    18.8, ,    21.3, ,    19.8, ,    14.1, ,     9.3, ,     4.6, ,    -5.4, ,     6.7, ,    -7.0, ,     5.4, ,    20.0, ,     9.3, 
1967,    -4.9, ,   -12.1, ,    -4.2, ,     5.2, ,     9.5, ,    19.9, ,    21.3, ,    20.0, ,    15.6, ,     9.4, ,      .6, ,    -3.5, ,     6.4, ,    -7.5, ,     3.5, ,    20.4, ,     8.5, 
1968,   -13.1, ,   -10.8, ,     -.3, ,     9.0, ,    12.3, ,    17.0, ,    21.1, ,    18.7, ,    17.4, ,    11.2, ,      .8, ,    -8.0, ,     6.3, ,    -9.1, ,     7.0, ,    18.9, ,     9.8, 
1969,    -8.3,E,    -6.2, ,    -3.0, ,     5.9, ,    11.4, ,    18.1, ,    20.9, ,    21.4, ,    15.1, ,     8.9, ,     3.1, ,    -7.2, ,     6.7,E,    -7.5,E,     4.8, ,    20.1, ,     9.0, 
1970,   -13.8, ,    -8.9, ,    -2.6, ,     6.6, ,    12.9, ,    18.1, ,    21.5, ,    20.6, ,    15.9, ,    10.9, ,     4.0, ,    -9.7, ,     6.3, ,   -10.0, ,     5.6, ,    20.1, ,    10.3, 
1971,   -12.0, ,    -7.3, ,    -4.3,E,     3.4, ,    13.2, ,    18.5, ,    20.4, ,    19.7, ,    18.1, ,    12.4, ,     1.3, ,    -5.3, ,     6.5,E,    -9.7, ,     4.1,E,    19.5, ,    10.6, 
1972,    -6.9, ,   -10.6, ,    -5.1, ,     2.8, ,    13.9, ,    17.7, ,    20.9, ,    18.9, ,    15.7, ,     6.5, ,      .9, ,    -7.4, ,     5.6, ,    -7.6, ,     3.9, ,    19.2, ,     7.7, 
1973,    -6.7, ,    -9.9, ,     2.7, ,     6.5, ,    12.3, ,    19.5, ,    21.8, ,    22.6, ,    15.3, ,    10.5, ,     2.0, ,    -4.9, ,     7.6, ,    -8.0, ,     7.2, ,    21.3, ,     9.3, 
