6105976,OTTAWA         ,ON, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
6105976,OTTAWA         ,ON, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1889, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     1.2, ,    -5.6, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1890,    -9.9, ,    -8.8, ,    -4.9, ,     4.4, ,    10.6, ,    18.3, ,    20.3, ,    17.9, ,    14.1, ,     7.9, ,     -.2, ,   -13.5, ,     4.7, ,    -8.1, ,     3.4, ,    18.8, ,     7.3, 
1891,   -10.0, ,    -9.8, ,    -4.2, ,     6.2, ,    11.9, ,    19.2, ,    18.1, ,    19.1, ,    16.9, ,     7.1, ,      .9, ,    -2.1, ,     6.1, ,   -11.1, ,     4.6, ,    18.8, ,     8.3, 
1892,   -11.4, ,    -8.9, ,    -5.9, ,     4.8, ,    11.6, ,    18.5, ,    20.7, ,    19.4, ,    14.6, ,     7.5, ,    -1.0, ,    -9.1, ,     5.1, ,    -7.5, ,     3.5, ,    19.5, ,     7.0, 
1893,   -16.1, ,   -12.9, ,    -5.0, ,     2.8, ,    12.4, ,    20.3, ,    19.9, ,    19.5, ,    12.1, ,     9.4, ,      .5, ,   -11.7, ,     4.3, ,   -12.7, ,     3.4, ,    19.9, ,     7.3, 
1894,   -10.6, ,   -11.9, ,     -.5, ,     7.9, ,    13.1, ,    19.0, ,    20.6, ,    17.1, ,    15.9, ,     9.1, ,    -1.4, ,    -6.2, ,     6.0, ,   -11.4, ,     6.8, ,    18.9, ,     7.9, 
1895,   -11.3, ,   -10.8, ,    -6.6, ,     5.4, ,    14.5, ,    20.9, ,    19.0, ,    18.6, ,    15.7, ,     4.8, ,      .6, ,    -6.7, ,     5.3, ,    -9.4, ,     4.4, ,    19.5, ,     7.0, 
1896,   -11.6, ,   -10.6, ,    -7.4, ,     6.6, ,    15.1, ,    17.9, ,    20.6, ,    19.5, ,    13.5, ,     6.2, ,     1.6, ,    -8.3, ,     5.3, ,    -9.6, ,     4.8, ,    19.3, ,     7.1, 
1897,   -10.2, ,    -8.2, ,    -4.0, ,     6.2, ,    12.6, ,    16.7, ,    22.5, ,    17.9, ,    15.3, ,     8.8, ,    -1.1, ,    -8.0, ,     5.7, ,    -8.9, ,     4.9, ,    19.0, ,     7.7, 
1898,   -11.9, ,    -7.3, ,     1.0, ,     6.4, ,    14.2, ,    19.1, ,    21.5, ,    19.8, ,    16.2, ,     8.2, ,      .4, ,    -7.9, ,     6.6, ,    -9.1, ,     7.2, ,    20.1, ,     8.3, 
1899,   -10.3, ,   -10.9, ,    -5.6, ,     5.8, , -9999.9,M,    18.7, ,    20.0, ,    20.9, ,    13.3, ,     8.9, ,     1.2, ,    -5.4, , -9999.9,M,    -9.7, , -9999.9,M,    19.9, ,     7.8, 
1900,    -9.5, ,    -8.8, ,    -8.1, ,     7.1, ,    11.8, ,    19.3, ,    20.3, ,    20.4, ,    16.1, ,    12.1, ,      .6, ,    -8.6, ,     6.1, ,    -7.9, ,     3.6, ,    20.0, ,     9.6, 
1901,   -11.8, ,   -12.1, ,    -4.7, ,     7.9, ,    13.8, ,    19.5, ,    21.8, ,    20.2, ,    15.7, ,     8.6, ,    -2.1, ,    -7.3, ,     5.8, ,   -10.8, ,     5.7, ,    20.5, ,     7.4, 
1902,   -11.7, ,    -9.4, ,      .9, ,     7.5, ,    12.1, ,    16.0, ,    20.4, ,    18.3, ,    15.8, ,     6.2, ,     2.9, ,   -10.1, ,     5.7, ,    -9.5, ,     6.8, ,    18.2, ,     8.3, 
1903,   -11.5, ,    -8.7, ,      .9, ,     6.6, ,    15.0, ,    17.0, ,    19.9, ,    16.5, ,    15.1, ,     9.0, ,    -1.1, ,   -11.9, ,     5.6, ,   -10.1, ,     7.5, ,    17.8, ,     7.7, 
1904,   -15.3, ,   -15.1, ,    -4.7, ,     3.6, ,    15.0, ,    18.3, ,    19.8, ,    17.9, ,    12.9, ,     6.7, ,    -1.6, ,   -13.5, ,     3.7, ,   -14.1, ,     4.6, ,    18.7, ,     6.0, 
1905,   -14.1, ,   -13.3, ,    -5.4, ,     5.1, ,    12.3, ,    18.0, ,    20.6, ,    18.5, ,    14.9, ,     7.5, ,     -.8, ,    -6.6, ,     4.7, ,   -13.6, ,     4.0, ,    19.0, ,     7.2, 
1906,    -7.0, ,    -9.9, ,    -5.6, ,     6.1, ,    11.5, ,    18.9, ,    20.7, ,    21.4, ,    16.6, ,     7.9, ,     -.5, ,   -11.1, ,     5.8, ,    -7.8, ,     4.0, ,    20.3, ,     8.0, 
1907,   -12.7, ,   -13.9, ,    -3.3, ,     2.5, ,     9.0, ,    18.4, ,    19.7, ,    17.3, ,    14.4, ,     5.3, ,     -.1, ,    -5.1, ,     4.3, ,   -12.6, ,     2.7, ,    18.5, ,     6.5, 
1908,   -12.1, ,   -12.5, ,    -5.0, ,     2.6, ,    14.5, ,    19.1, ,    21.9, ,    19.2, ,    17.6, ,     9.6, ,      .7, ,    -9.8, ,     5.5, ,    -9.9, ,     4.0, ,    20.1, ,     9.3, 
