6110607,BEATRICE       ,ON, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
6110607,BEATRICE       ,ON, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1877, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1878,    -8.8, ,    -5.9, ,      .9, ,     8.8, ,     9.2, ,    14.3, ,    20.2, ,    18.0, ,    14.0, ,     7.6, ,     -.8, ,    -8.3, ,     5.8, , -9999.9,M,     6.3, ,    17.5, ,     6.9, 
1879,   -12.8, ,   -14.3, ,    -6.3, ,     1.7, ,    11.5, ,    14.6, ,    18.3, ,    16.4, ,    11.2, ,    11.6, ,    -1.7, ,    -8.7, ,     3.5, ,   -11.8, ,     2.3, ,    16.4, ,     7.0, 
1880,    -3.8, ,    -7.3, ,    -6.1, ,     2.6, ,    13.3, ,    16.1, ,    17.3, ,    16.2, ,    13.3, ,     5.0, ,    -4.2, ,   -10.0, ,     4.4, ,    -6.6, ,     3.3, ,    16.5, ,     4.7, 
1881,   -12.4, ,    -9.4, ,    -2.6, ,     1.8, ,    14.2, ,    13.0, ,    19.5, ,    18.8, ,    17.0, ,     6.0, ,    -1.3, ,    -2.9, ,     5.1, ,   -10.6, ,     4.5, ,    17.1, ,     7.2, 
1882,    -9.8, ,    -6.0, ,    -4.2, ,     1.5, ,     7.9, ,    13.7, ,    16.9, ,    18.1, ,    12.8, ,     8.4, ,    -1.1, ,    -8.0, ,     4.2, ,    -6.2, ,     1.7, ,    16.2, ,     6.7, 
1883,   -12.6, ,   -11.5, ,   -10.5, ,     1.0, ,     7.7, ,    16.0, ,    15.9, ,    15.2, ,    10.8, ,     4.3, ,     -.6, ,    -8.9, ,     2.2, ,   -10.7, ,     -.6, ,    15.7, ,     4.8, 
1884,   -14.4, ,    -8.9, ,    -5.9, ,     3.0, ,     9.7, ,    17.5, ,    15.9, ,    16.3, ,    14.3, ,     6.7, ,    -1.7, ,    -8.9, ,     3.6, ,   -10.7, ,     2.3, ,    16.6, ,     6.4, 
1885,   -12.6, ,   -16.1, ,   -12.7, ,      .5, ,    10.2, ,    14.7, ,    18.5, ,    14.6, ,    11.5, ,     5.9, ,      .6, ,    -7.6, ,     2.3, ,   -12.5, ,     -.7, ,    15.9, ,     6.0, 
1886,   -12.1, ,   -11.6, ,    -4.7, ,     5.4, ,    10.0, ,    14.8, ,    16.8, ,    16.2, ,    12.1, ,     6.9, ,    -1.2, ,   -10.8, ,     3.5, ,   -10.4, ,     3.6, ,    15.9, ,     5.9, 
1887,   -13.8, ,   -10.9, ,    -8.7, ,     1.3, ,    14.8, ,    17.0, ,    20.2, ,    15.6, ,    10.4, ,     4.5, ,    -2.0, ,    -6.7, ,     3.5, ,   -11.8, ,     2.5, ,    17.6, ,     4.3, 
1888,   -15.4, ,   -10.6, ,    -9.0, ,      .3, ,     9.7, ,    17.1, ,    17.3, ,    16.2, ,    11.8, ,     3.2, ,     -.5, ,    -5.8, ,     2.9, ,   -10.9, ,      .3, ,    16.9, ,     4.8, 
1889,    -5.9, ,   -13.3, ,    -2.4, ,     5.1, ,    11.2, ,    13.9, ,    18.7, ,    16.2, ,    14.4, ,     3.4, ,     1.1, ,    -2.9, ,     5.0, ,    -8.3, ,     4.6, ,    16.3, ,     6.3, 
1890,    -7.0, ,    -7.3, ,    -6.5, ,     3.2, ,     8.3, ,    17.8, ,    18.1, ,    16.0, ,    12.5, ,     7.2, ,     -.4, ,   -10.3, ,     4.3, ,    -5.7, ,     1.7, ,    17.3, ,     6.4, 
1891,    -8.9, ,    -7.4, ,    -5.4, ,     3.9, ,    10.1, ,    17.5, ,    16.4, ,    16.7, ,    15.5, ,     6.5, ,      .2, ,    -1.7, ,     5.3, ,    -8.9, ,     2.9, ,    16.9, ,     7.4, 
1892,   -10.2, ,    -7.5, ,    -5.7, ,     2.9, ,    10.1, ,    16.8, ,    17.7, ,    17.5, ,    13.4, ,     6.2, ,    -1.5, ,    -8.6, ,     4.3, ,    -6.5, ,     2.4, ,    17.3, ,     6.0, 
1893,   -14.6, ,   -12.0, ,    -5.8, ,     1.8, ,     9.7, ,    18.7, ,    17.9, ,    17.2, ,    11.4, ,     8.3, ,      .2, ,   -10.5, ,     3.5, ,   -11.7, ,     1.9, ,    17.9, ,     6.6, 
1894, -9999.9,M,   -10.7, ,     -.6, ,     6.0, ,    10.8, ,    17.1, ,    18.7, ,    15.7, ,    14.9, ,     8.4, ,    -2.8, ,    -4.8, , -9999.9,M, -9999.9,M,     5.4, ,    17.2, ,     6.8, 
1895,   -10.9, ,   -11.9, ,    -8.7, ,     4.4, ,    12.4, ,    17.7, ,    16.1, ,    16.2, ,    13.4, ,     3.3, ,     -.6, ,    -4.5, ,     3.9, ,    -9.2, ,     2.7, ,    16.7, ,     5.4, 
1896,   -11.4, ,    -9.7, ,    -8.8, ,     6.3, ,    13.1, ,    15.9, ,    17.9, ,    16.9, ,    11.1, ,     4.9, ,     1.5, ,    -7.3, ,     4.2, ,    -8.5, ,     3.5, ,    16.9, ,     5.8, 
1897,    -8.8, ,    -8.3, ,    -4.5, ,     4.2, ,    10.1, ,    13.2, ,    20.8, ,    15.4, ,    13.3, ,     8.0, ,    -1.1, ,    -7.0, ,     4.6, ,    -8.1, ,     3.3, ,    16.5, ,     6.7, 
