6116132,OWEN SOUND     ,ON, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
6116132,OWEN SOUND     ,ON, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1878, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    21.4,a,    20.4,a,    16.4,a, -9999.9,M, -9999.9,M,    -4.3,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1879,    -7.1,a,    -8.6,a,    -2.8,a,     3.3,a,    12.4,a,    16.3,a,    20.4,a,    19.0,a,    13.9,a,    14.6,a,     1.5,a,    -4.7,a,     6.5,a,    -6.7,a,     4.3,a,    18.6,a,    10.0,a
1880,     -.8,a,    -3.6,a,    -3.2,a,     4.9,a,    14.5,a,    18.3,a,    19.7,a,    18.9,a,    15.6,a,     7.7,a,    -1.6,a,    -6.0,a,     7.0,a,    -3.0,a,     5.4,a,    19.0,a,     7.2,a
1881,    -9.2,a,    -3.6,a,     2.1,a,     5.4,a,    13.5,a,    13.6,a,    20.5,a,    21.1,a,    18.9,a,     9.3,a,     1.3,a,     -.4,a,     7.7,a,    -6.3,a,     7.0,a,    18.4,a,     9.8,a
1882,    -6.7,a,    -1.7,a,    -1.9,a,     3.2,a,     7.7,a,    15.1,a,    18.7,a,    19.4,a,    14.7,a,    10.2,a,     1.5,a,    -4.0,a,     6.4,a,    -2.9,a,     3.0,a,    17.7,a,     8.8,a
1883,    -8.9,a,    -7.1,a,    -6.5,a,     2.4,a,     8.6,a,    16.0,a,    17.3,a,    16.7,a,    12.0,a,     5.6,a,     1.2,a,    -5.3,a,     4.3,a,    -6.7,a,     1.5,a,    16.7,a,     6.3,a
1884,   -10.3,a,    -7.9,a,    -3.8,a,     3.6,a,     9.5,a,    17.2,a,    16.4,a,    17.6,a,    16.0,a,     8.2,a,     -.1,a,    -5.2,a,     5.1,a,    -7.8,a,     3.1,a,    17.1,a,     8.0,a
1885,   -10.5,a,   -13.6,a,    -9.7,a,     2.0,a,     9.7,a,    14.5,a,    18.4,a,    14.7,a,    12.5,a,     6.4,a,      .9,a,    -4.8,a,     3.4,a,    -9.8,a,      .7,a,    15.9,a,     6.6,a
1886,    -9.4,a,    -4.6,a, -9999.9,M, -9999.9,M,     9.7,a,    14.2,a,    16.8,a,    16.6,a,    13.5,a,     8.2,a,     -.1,a,    -8.2,a, -9999.9,M,    -6.3,a, -9999.9,M,    15.9,a,     7.2,a
1887, -9999.9,M, -9999.9,M,    -7.4,a,     2.8,a,    13.1,a,    14.7,a,    19.4,a,    15.4,a,    11.3,a,     5.3,a,     -.2,a,    -4.5,a, -9999.9,M, -9999.9,M,     2.8,a,    16.5,a,     5.5,a
