6137154,RIDGETOWN      ,ON, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
6137154,RIDGETOWN      ,ON, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1923, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    20.5, ,    21.1, ,    20.2, ,    16.8, ,     9.4, ,     4.3, ,     2.7, , -9999.9,M, -9999.9,M, -9999.9,M,    20.6, ,    10.2, 
1924,    -6.1, ,    -5.8, ,     -.4, ,     6.5, ,    10.0, ,    17.6, ,    20.2, ,    19.8, ,    14.4, ,    12.1, ,     4.1, ,    -4.8, ,     7.3, ,    -3.1, ,     5.4, ,    19.2, ,    10.2, 
1925,    -6.3, ,    -1.7, ,     1.6, ,     8.8, ,    11.0, ,    20.2, ,    20.7, ,    20.8, ,    17.9, ,     6.0, ,     2.9, ,    -3.7, ,     8.2, ,    -4.3, ,     7.1, ,    20.6, ,     8.9, 
1926,    -5.0, ,    -5.0, ,    -3.1, ,     3.3, ,    12.3, ,    17.0, ,    21.6, ,    21.2, ,    17.0, ,     9.5, ,     3.2, ,    -4.1, ,     7.3, ,    -4.6, ,     4.2, ,    19.9, ,     9.9, 
1927,    -5.8, ,    -1.1, ,     3.1, ,     6.7, ,    12.9, ,    16.7, ,    20.9, ,    18.4, ,    18.8, ,    13.5, ,     6.2, ,    -1.9, ,     9.0, ,    -3.7, ,     7.6, ,    18.7, ,    12.8, 
1928,    -3.9, ,    -3.2, ,      .1, ,     6.0, ,    12.6, ,    16.8, ,    22.2, ,    21.8, ,    15.4, ,    12.4, ,     5.2, ,      .0, ,     8.8, ,    -3.0, ,     6.2, ,    20.3, ,    11.0, 
1929,    -6.7, ,    -6.1, ,     3.9, ,     8.5, ,    12.0, ,    17.5, ,    21.4, ,    19.1, ,    17.4, ,     9.9, ,     2.7, ,    -3.0, ,     8.1, ,    -4.3, ,     8.1, ,    19.3, ,    10.0, 
1930,    -5.6, ,     -.6, ,      .3, ,     6.7, ,    13.9, ,    19.9, ,    21.7, ,    20.9, ,    17.9, ,     9.3, ,     4.9, ,    -2.4, ,     8.9, ,    -3.1, ,     7.0, ,    20.8, ,    10.7, 
1931,    -3.4, ,    -1.1, ,     -.1, ,     7.0, ,    12.7, ,    18.9, ,    23.7, ,    21.5, ,    19.9, ,    12.9, ,     8.3, ,     2.1, ,    10.2, ,    -2.3, ,     6.5, ,    21.4, ,    13.7, 
1932,     2.5, ,     -.1, ,    -1.9, ,     5.7, ,    13.9, ,    19.9, ,    21.3, ,    21.0, ,    17.0, ,    11.5, ,     2.0, ,    -1.7, ,     9.3, ,     1.5, ,     5.9, ,    20.7, ,    10.2, 
