6139148,VINELAND       ,ON, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
6139148,VINELAND       ,ON, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1924, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    11.5, ,     4.9, ,    -4.0, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1925, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1926,    -3.5, ,    -5.1, ,    -2.9, ,     3.5, ,    11.3, ,    16.4, ,    20.3, ,    21.2, ,    16.4, ,    10.2, ,     4.3, ,    -3.7, ,     7.4, , -9999.9,M,     4.0, ,    19.3, ,    10.3, 
1927,    -4.3, ,    -1.3, ,     2.8, ,     7.0, ,    11.4, ,    16.7, ,    20.9, ,    18.7, ,    18.4, ,    12.9, ,     6.9, ,     -.5, ,     9.1, ,    -3.1, ,     7.1, ,    18.8, ,    12.7, 
1928, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1929,    -4.2, ,    -4.8, ,     4.4, ,     8.3, ,    12.4, ,    17.7, ,    20.8, ,    19.5, ,    17.5, ,    10.3, ,     3.8, ,    -2.7, ,     8.6, , -9999.9,M,     8.4, ,    19.3, ,    10.5, 
1930,    -4.1, ,    -1.4, ,      .6, ,     6.8, ,    14.9, ,    20.6, ,    22.1, ,    21.5, ,    18.7, ,     9.5, ,     5.4, ,    -1.1, ,     9.5, ,    -2.7, ,     7.4, ,    21.4, ,    11.2, 
1931,    -2.6, ,    -1.4, ,      .9, ,     7.2, ,    13.2, ,    19.0, ,    24.0, ,    21.4, ,    20.2, ,    13.2, ,     8.9, ,     2.1, ,    10.5, ,    -1.7, ,     7.1, ,    21.5, ,    14.1, 
1932,     3.1, ,      .2, ,     -.8, ,     4.4, ,    12.8, ,    18.6, ,    20.1, ,    21.0, ,    17.2, ,    11.7, ,     3.1, ,      .2, ,     9.3, ,     1.8, ,     5.5, ,    19.9, ,    10.7, 
1933,     1.6, ,    -2.2, ,      .2, ,     6.7, ,    13.5, ,    20.1, ,    23.1, ,    20.7, ,    18.7, ,     9.9, ,     1.7, ,    -2.6, ,     9.3, ,     -.1, ,     6.8, ,    21.3, ,    10.1, 
1934,    -2.0, ,   -10.9, ,    -1.5, ,     5.5, ,    13.6, ,    19.7, ,    22.1, ,    19.3, ,    18.5, ,    10.2, ,     6.9, ,    -2.7, ,     8.2, ,    -5.2, ,     5.9, ,    20.4, ,    11.9, 
1935,    -4.5, ,    -4.4, ,     2.6, ,     6.3, ,    10.6, ,    17.7, ,    23.7, ,    21.1, ,    15.9, ,    10.2, ,     5.3, ,    -3.7, ,     8.4, ,    -3.9, ,     6.5, ,    20.8, ,    10.5, 
