6139445,WELLAND        ,ON, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
6139445,WELLAND        ,ON, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1872, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     7.9, ,     -.7, ,    -8.1, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1873,    -7.3, ,    -7.0, ,    -2.2, ,     5.7, ,    12.1, ,    18.8, ,    21.5, ,    19.9, ,    14.6, ,     8.2, ,    -2.1, ,    -1.0, ,     6.8, ,    -7.5, ,     5.2, ,    20.1, ,     6.9, 
1874,    -3.1, ,    -4.9, ,    -1.2, ,      .6, ,    12.1, ,    18.9, ,    20.4, ,    19.8, ,    18.3, ,     9.1, ,     2.2, ,    -2.5, ,     7.5, ,    -3.0, ,     3.8, ,    19.7, ,     9.9, 
1875,    -8.8, ,   -11.5, ,    -3.4, ,     3.7, ,    12.1, ,    17.8, ,    19.8, ,    19.2, ,    12.9, ,     6.4, ,    -1.3, ,    -2.7, ,     5.4, ,    -7.6, ,     4.1, ,    18.9, ,     6.0, 
1876,    -2.3, ,    -4.7, ,    -3.1, ,     3.6, ,    12.1, ,    20.1, ,    20.9, ,    21.1, ,    13.9, ,     5.4, ,     2.0, ,    -8.9, ,     6.7, ,    -3.2, ,     4.2, ,    20.7, ,     7.1, 
1877,    -8.2, ,    -2.8, ,    -3.4, ,     5.8, ,    12.7, ,    18.1, ,    21.4, ,    21.1, ,    16.9, ,    10.2, ,     2.5, ,      .7, ,     7.9, ,    -6.6, ,     5.0, ,    20.2, ,     9.9, 
1878,    -5.3, ,    -3.6, ,     2.1, ,     9.9, ,    13.4, ,    18.6, ,    23.6, ,    21.5, ,    16.0, ,     9.6, ,     2.9, ,    -1.2, ,     9.0, ,    -2.7, ,     8.5, ,    21.2, ,     9.5, 
1879,    -4.2, ,    -4.8, ,     -.6, ,     5.4, ,    14.8, ,    18.7, ,    22.2, ,    19.8, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -3.4, ,     6.5, ,    20.2, , -9999.9,M
1880, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     8.8, ,    -1.2, ,    -5.8, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1881,    -9.0, ,    -7.2, ,    -1.3, ,     3.8, ,    15.4, ,    15.6, ,    21.3, , -9999.9,M,    21.6, ,    11.2, ,     3.5, ,     1.3, , -9999.9,M,    -7.3, ,     6.0, , -9999.9,M,    12.1, 
1882,    -5.0, , -9999.9,M,      .7, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    12.0, ,     2.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1883,    -8.1, ,    -6.2, ,    -5.8, ,     4.2, ,    10.5, ,    18.7, ,    19.0, ,    17.9, ,    13.1, ,     7.8, ,     4.1, ,    -2.8, ,     6.0, , -9999.9,M,     3.0, ,    18.5, ,     8.3, 
1884,    -9.8, ,    -4.4, ,    -2.1, ,     5.1, ,    11.2, ,    18.8, , -9999.9,M,    19.5, ,    17.4, ,     9.8, ,     1.9, ,    -3.6, , -9999.9,M,    -5.7, ,     4.7, , -9999.9,M,     9.7, 
1885,    -7.4, ,   -12.3, ,    -7.9, ,     3.9, ,    11.9, ,    16.4, , -9999.9,M,    17.6, ,    14.1, ,     8.5, ,     3.4, ,    -3.0, , -9999.9,M,    -7.8, ,     2.6, , -9999.9,M,     8.7, 
1886,    -6.9, ,    -7.2, ,    -1.4, ,     7.4, ,    11.7, ,    16.6, ,    19.4, , -9999.9,M,    16.5, ,     9.7, ,     1.8, , -9999.9,M, -9999.9,M,    -5.7, ,     5.9, , -9999.9,M,     9.3, 
1887, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1888, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1889, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1890, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1891, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1892, -9999.9,M, -9999.9,M,    -2.4, ,     6.2, ,    12.1, ,    19.9, ,    21.1, ,    21.0, ,    16.3, ,     9.3, ,     2.1, ,    -3.9, , -9999.9,M, -9999.9,M,     5.3, ,    20.7, ,     9.2, 
1893,    -9.8, ,    -7.0, ,     -.3, ,     5.0, ,    11.3, ,    19.6, ,    20.7, ,    19.9, ,    14.7, ,    10.1, ,     2.3, ,    -4.2, ,     6.9, ,    -6.9, ,     5.3, ,    20.1, ,     9.0, 
1894,    -1.9, ,    -7.2, ,     2.9, ,     7.0, ,    12.6, ,    19.3, ,    21.9, ,    19.4, ,    18.0, ,    11.3, ,     1.2, ,     -.7, ,     8.7, ,    -4.4, ,     7.5, ,    20.2, ,    10.2, 
1895,    -6.7, ,    -9.9, ,    -3.8, ,     7.5, ,    13.9, ,    20.7, ,    19.6, ,    19.9, ,    17.5, ,     6.7, ,     3.5, ,     -.6, ,     7.4, ,    -5.8, ,     5.9, ,    20.1, ,     9.2, 
1896,    -5.2, ,    -5.3, ,    -4.8, ,     8.9, ,    16.1, ,    19.3, ,    21.5, ,    20.3, ,    14.7, ,     7.1, ,     4.8, ,    -2.4, ,     7.9, ,    -3.7, ,     6.7, ,    20.4, ,     8.9, 
1897,    -5.2, ,    -4.7, ,      .5, ,     6.9, ,    12.2, ,    16.8, ,    23.3, ,    18.7, ,    16.4, ,    10.1, ,     3.9, ,    -2.1, ,     8.1, ,    -4.1, ,     6.5, ,    19.6, ,    10.1, 
1898,    -3.2, ,    -4.2, ,     3.7, ,     6.2, ,    13.9, ,    19.7, ,    22.6, ,    21.4, ,    18.4, ,    11.2, ,     2.6, ,    -2.9, ,     9.1, ,    -3.2, ,     7.9, ,    21.2, ,    10.7, 
1899,    -5.7, ,    -7.6, ,    -1.5, ,     7.9, ,    13.4, ,    19.4, ,    21.4, ,    21.5, ,    14.5, ,    11.1, ,     4.7, ,    -1.9, ,     8.1, ,    -5.4, ,     6.6, ,    20.8, ,    10.1, 
1900,    -3.6, ,    -6.7, ,    -4.0, ,     7.2, ,    13.6, ,    19.9, ,    21.8, ,    23.3, ,    18.6, ,    14.6, ,     4.3, ,    -1.6, ,     9.0, ,    -4.1, ,     5.6, ,    21.7, ,    12.5, 
1901,    -4.2, ,    -9.5, ,     -.7, ,     7.5, ,    12.7, ,    19.5, ,    24.1, ,    21.2, ,    16.6, ,    10.1, ,     1.6, ,    -3.4, ,     8.0, ,    -5.1, ,     6.5, ,    21.6, ,     9.4, 
1902,    -6.4, ,    -7.4, ,     2.4, ,     7.3, ,    13.3, ,    16.7, ,    21.3, ,    19.0, ,    16.9, ,     9.7, ,     7.1, ,    -3.5, ,     8.0, ,    -5.7, ,     7.7, ,    19.0, ,    11.2, 
1903,    -5.4, ,    -4.1, ,     4.3, ,     6.8, ,    14.9, ,    16.8, ,    21.1, ,    18.5, ,    16.9, ,    10.5, ,     1.1, ,    -5.0, ,     8.0, ,    -4.3, ,     8.7, ,    18.8, ,     9.5, 
1904,    -9.6, ,    -9.3, ,     -.4, ,     4.1, ,    14.4, ,    17.9, ,    20.5, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -8.0, ,     6.0, , -9999.9,M, -9999.9,M
1905, -9999.9,M,    -8.6, ,    -1.0, ,     5.9, ,    12.8, ,    18.1, ,    21.8, ,    20.0, ,    16.8, ,    10.1, ,     2.5, ,     -.4, , -9999.9,M, -9999.9,M,     5.9, ,    20.0, ,     9.8, 
1906,     -.7, ,    -5.0, ,    -3.2, ,     6.8, ,    12.7, ,    19.1, ,    21.7, ,    22.9, ,    18.9, ,     9.9, ,     3.0, ,    -4.2, ,     8.5, ,    -2.0, ,     5.4, ,    21.2, ,    10.6, 
1907,    -4.4, ,    -7.4, ,     1.9, ,     3.8, ,    10.1, ,    17.3, ,    21.1, ,    19.2, ,    17.1, ,     8.0, ,     3.6, ,     -.3, ,     7.5, ,    -5.3, ,     5.3, ,    19.2, ,     9.6, 
1908,    -3.5, ,    -6.4, ,     1.1, ,     6.8, ,    15.0, ,    20.1, ,    22.8, ,    19.5, ,    18.0, ,    11.2, ,     3.8, ,    -1.7, ,     8.9, ,    -3.4, ,     7.6, ,    20.8, ,    11.0, 
1909,    -2.8, ,    -2.3, ,    -1.4, ,     6.1, ,    12.8, ,    18.8, ,    20.5, ,    20.9, ,    16.3, ,     7.5, ,     5.7, ,    -3.6, ,     8.2, ,    -2.3, ,     5.8, ,    20.1, ,     9.8, 
1910,    -3.6, ,    -6.8, ,     4.0, ,     9.0, ,    11.5, ,    17.5, ,    21.3, ,    20.1, ,    16.1, ,    11.0, ,     2.3, ,    -5.9, ,     8.0, ,    -4.7, ,     8.2, ,    19.6, ,     9.8, 
1911,    -2.7, ,    -3.6, ,    -1.2, ,     6.2, ,    16.3, ,    18.9, ,    22.1, ,    20.9, ,    16.4, ,     9.5, ,     2.1, ,     1.3, ,     8.9, ,    -4.1, ,     7.1, ,    20.6, ,     9.3, 
1912,   -10.3, ,    -7.3, ,    -3.6, ,     6.5, ,    13.6, ,    16.6, ,    21.3, ,    18.0, ,    17.7, ,    10.7, ,     4.8, ,     1.4, ,     7.5, ,    -5.4, ,     5.5, ,    18.6, ,    11.1, 
1913,      .0, ,    -5.9, ,     1.1, ,     7.8, ,    12.7, ,    18.0, ,    20.9, ,    20.4, ,    15.6, ,    11.3, ,     6.0, ,      .8, ,     9.1, ,    -1.5, ,     7.2, ,    19.8, ,    11.0, 
1914,    -2.9, ,    -8.8, ,     -.6, ,     5.4, ,    14.3, ,    19.2, ,    22.8, ,    21.4, ,    16.2, ,    11.1, ,     2.1, ,    -5.2, ,     7.9, ,    -3.6, ,     6.4, ,    21.1, ,     9.8, 
1915,    -4.3, ,    -1.8, ,     -.8, ,     9.9, ,    10.7, ,    17.1, ,    20.2, ,    19.6, ,    18.3, ,    11.0, ,     5.3, ,    -2.3, ,     8.6, ,    -3.8, ,     6.6, ,    19.0, ,    11.5, 
1916,    -1.3, ,    -7.0, ,    -4.5, ,     7.0, ,    12.8, ,    16.6, ,    24.0, ,    21.9, ,    16.1, ,    10.3, ,     3.5, ,    -3.3, ,     8.0, ,    -3.5, ,     5.1, ,    20.8, ,    10.0, 
1917,    -5.9, ,    -8.2, ,      .5, ,     5.7, ,     9.5, ,    16.4, ,    21.4, ,    20.5, ,    14.8, ,     6.8, ,     1.2, ,    -6.7, ,     6.3, ,    -5.8, ,     5.2, ,    19.4, ,     7.6, 
1918,   -10.7, ,    -6.3, ,     1.2, ,     6.8, ,    14.7, ,    17.1, ,    20.9, ,    21.7, ,    13.5, ,    10.9, ,     5.4, ,      .5, ,     8.0, ,    -7.9, ,     7.6, ,    19.9, ,     9.9, 
1919,    -1.7, ,    -2.3, ,     1.1, ,     5.7, ,    11.0, ,    22.3, ,    22.3, ,    19.6, ,    17.2, ,    12.2, ,     3.7, ,    -5.6, ,     8.8, ,    -1.2, ,     5.9, ,    21.4, ,    11.0, 
1920,    -9.9, ,    -6.8, ,     1.5, ,     4.6, ,    12.2, ,    19.1, ,    19.0, ,    21.0, ,    17.2, ,    13.0, ,     3.1, ,      .1, ,     7.8, ,    -7.4, ,     6.1, ,    19.7, ,    11.1, 
1921,    -2.2, ,    -1.8, ,     4.7, ,     9.9, ,    14.4, ,    19.3, ,    25.3, ,    19.9, ,    19.3, ,    10.1, ,     2.3, ,    -2.2, ,     9.9, ,    -1.3, ,     9.7, ,    21.5, ,    10.6, 
1922,    -5.9, ,    -3.1, ,     1.0, ,     7.2, ,    15.1, ,    18.3, ,    20.6, ,    19.9, ,    17.9, ,    10.9, ,     4.7, ,    -2.7, ,     8.7, ,    -3.7, ,     7.8, ,    19.6, ,    11.2, 
1923,    -5.0, ,    -7.1, ,    -2.5, ,     4.7, ,    11.0, ,    19.0, ,    20.4, ,    19.1, ,    16.6, ,     9.0, ,     4.0, ,     2.2, ,     7.6, ,    -4.9, ,     4.4, ,    19.5, ,     9.9, 
1924,    -5.1, ,    -6.7, ,     -.4, ,     5.8, ,     9.8, ,    17.3, ,    19.7, ,    19.6, ,    14.7, ,    10.7, ,     3.9, ,    -4.5, ,     7.1, ,    -3.2, ,     5.1, ,    18.9, ,     9.8, 
1925,    -6.6, ,    -2.1, ,     1.7, ,     7.8, ,     9.9, ,    19.8, ,    19.9, ,    20.6, ,    17.0, ,     6.0, ,     3.1, ,    -3.0, ,     7.8, ,    -4.4, ,     6.5, ,    20.1, ,     8.7, 
1926,    -4.2, ,    -5.6, ,    -2.8, ,     2.7, ,    11.4, ,    15.8, ,    20.1, ,    20.7, ,    16.3, ,     9.5, ,     4.0, ,    -4.4, ,     7.0, ,    -4.3, ,     3.8, ,    18.9, ,     9.9, 
1927,    -5.3, ,    -1.4, ,     2.5, ,     6.5, ,    12.0, ,    15.8, ,    20.2, ,    17.9, ,    17.6, ,    12.0, ,     5.8, ,    -1.3, ,     8.5, ,    -3.7, ,     7.0, ,    18.0, ,    11.8, 
1928,    -3.6, ,    -3.7, ,     -.6, ,     5.3, ,    12.0, ,    16.5, ,    21.2, ,    21.8, ,    14.9, ,    11.4, ,     5.4, ,      .3, ,     8.4, ,    -2.9, ,     5.6, ,    19.8, ,    10.6, 
1929,    -5.1, ,    -5.2, ,     3.2, ,     7.5, ,    11.9, ,    17.6, ,    20.7, ,    18.8, ,    17.1, ,     9.7, ,     3.1, ,    -2.9, ,     8.0, ,    -3.3, ,     7.5, ,    19.0, ,    10.0, 
1930,    -4.8, ,    -2.2, ,     -.9, ,     6.4, ,    13.8, ,    19.3, ,    21.3, ,    20.3, ,    18.2, ,    10.1, ,     5.9, ,    -1.8, ,     8.8, ,    -3.3, ,     6.4, ,    20.3, ,    11.4, 
1931,    -4.3, ,    -2.8, ,     1.2, ,     7.7, ,    13.6, ,    18.7, ,    23.2, ,    21.1, ,    19.4, ,    12.7, ,     8.1, ,     1.3, ,    10.0, ,    -3.0, ,     7.5, ,    21.0, ,    13.4, 
1932,     2.3, ,     -.3, ,    -1.6, ,     5.1, ,    12.8, ,    19.1, ,    20.3, ,    20.9, ,    17.3, ,    11.9, ,     3.3, ,     -.6, ,     9.2, ,     1.1, ,     5.4, ,    20.1, ,    10.8, 
