6139525,WINDSOR        ,ON, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
6139525,WINDSOR        ,ON, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1940, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    21.4, ,    16.9, ,    11.4, ,     3.2, ,     -.1, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    10.5, 
1941,    -3.2, ,    -3.7, ,    -1.0, ,    11.1, ,    16.5, ,    21.1, ,    23.5, ,    21.4, ,    19.4, ,    12.8, ,     5.2, ,     1.3, ,    10.4, ,    -2.3, ,     8.9, ,    22.0, ,    12.5, 
1942,    -3.8, ,    -5.3, ,     3.0, ,    10.8, ,    15.0, ,    20.2, ,    22.5, ,    20.7, ,    16.5, ,    11.3, ,     4.3, ,    -4.3, ,     9.2, ,    -2.6, ,     9.6, ,    21.1, ,    10.7, 
1943,    -6.2, ,    -2.6, ,      .6, ,     5.4, ,    13.1, ,    22.2, ,    22.5, ,    21.6, ,    15.7, ,    10.1, ,     2.5, ,    -3.0, ,     8.5, ,    -4.4, ,     6.4, ,    22.1, ,     9.4, 
1944,    -1.5, ,    -2.8, ,     -.7, ,     5.6, ,    16.8, ,    21.7, ,    22.9, ,    23.0, ,    18.2, ,    11.1, ,     5.3, ,    -4.5, ,     9.6, ,    -2.4, ,     7.2, ,    22.5, ,    11.5, 
1945,    -8.7, ,    -3.1, ,     7.6, ,     9.7, ,    10.7, ,    17.8, ,    21.0, ,    21.5, ,    18.2, ,     9.8, ,     4.7, ,    -4.5, ,     8.7, ,    -5.4, ,     9.3, ,    20.1, ,    10.9, 
1946,    -2.9, ,    -3.1, ,     7.3, ,     8.6, ,    13.3, ,    19.0, ,    22.6, ,    19.6, ,    18.3, ,    14.0, ,     5.9, ,     -.6, ,    10.2, ,    -3.5, ,     9.7, ,    20.4, ,    12.7, 
1947,    -1.6, ,    -5.9, ,     -.9, ,     6.8, ,    12.2, ,    18.6, ,    21.1, ,    24.5, ,    18.3, ,    15.4, ,     2.8, ,    -2.5, ,     9.1, ,    -2.7, ,     6.0, ,    21.4, ,    12.2, 
1948,    -7.4, ,    -4.7, ,     1.1, ,    10.5, ,    12.8, ,    19.4, ,    22.9, ,    21.8, ,    18.9, ,     9.8, ,     7.1, ,     -.3, ,     9.3, ,    -4.9, ,     8.1, ,    21.4, ,    11.9, 
1949,     -.3, ,    -1.0, ,     2.1, ,     8.0, ,    15.7, ,    22.7, ,    24.5, ,    22.2, ,    15.1, ,    13.8, ,     3.9, ,      .3, ,    10.6, ,     -.5, ,     8.6, ,    23.1, ,    10.9, 
1950,     -.3, ,    -3.7, ,    -1.3, ,     4.9, ,    14.4, ,    19.5, ,    21.5, ,    20.8, ,    17.0, ,    12.8, ,     2.2, ,    -4.3, ,     8.6, ,    -1.2, ,     6.0, ,    20.6, ,    10.7, 
1951,    -2.9, ,    -3.2, ,     1.8, ,     7.5, ,    15.2, ,    19.3, ,    22.2, ,    20.5, ,    16.3, ,    12.2, ,      .9, ,    -2.4, ,     9.0, ,    -3.5, ,     8.2, ,    20.7, ,     9.8, 
1952,    -2.0, ,    -1.8, ,     1.1, ,     9.2, ,    13.9, ,    22.5, ,    24.5, ,    21.4, ,    17.7, ,     8.5, ,     5.6, ,      .3, ,    10.1, ,    -2.1, ,     8.1, ,    22.8, ,    10.6, 
1953,    -1.6, ,     -.8, ,     3.2, ,     6.4, ,    14.6, ,    21.2, ,    22.3, ,    22.4, ,    17.7, ,    13.0, ,     6.2, ,      .0, ,    10.4, ,     -.7, ,     8.1, ,    22.0, ,    12.3, 
1954,    -3.4, ,      .3, ,      .0, ,     9.4, ,    12.3, ,    21.3, ,    21.7, ,    20.9, ,    18.4, ,    12.1, ,     4.6, ,    -1.5, ,     9.7, ,    -1.0, ,     7.2, ,    21.3, ,    11.7, 
1955,    -3.5, ,    -2.7, ,     1.6, ,    11.8, ,    16.0, ,    19.4, ,    25.3, ,    23.8, ,    18.4, ,    12.1, ,     2.5, ,    -2.8, ,    10.2, ,    -2.6, ,     9.8, ,    22.8, ,    11.0, 
1956,    -3.6, ,    -2.8, ,     -.2, ,     6.7, ,    12.8, ,    20.1, ,    21.3, ,    21.2, ,    15.3, ,    13.4, ,     4.2, ,     1.0, ,     9.1, ,    -3.1, ,     6.4, ,    20.9, ,    11.0, 
1957,    -7.0, ,    -2.0, ,     2.0, ,     8.8, ,    13.2, ,    20.2, ,    22.1, ,    20.6, ,    16.7, ,     9.9, ,     4.4, ,      .8, ,     9.1, ,    -2.7, ,     8.0, ,    21.0, ,    10.3, 
1958,    -3.5, ,    -5.5, ,     1.9, ,     9.1, ,    14.3, ,    17.4, ,    21.9, ,    20.9, ,    17.4, ,    12.0, ,     5.3, ,    -6.4, ,     8.7, ,    -2.7, ,     8.4, ,    20.1, ,    11.6, 
1959,    -6.8, ,    -4.0, ,      .9, ,     8.5, ,    15.9, ,    20.5, ,    22.7, ,    23.8, ,    18.9, ,    10.6, ,     2.0, ,      .5, ,     9.5, ,    -5.7, ,     8.4, ,    22.3, ,    10.5, 
1960,    -2.3, ,    -2.8, ,    -4.1, ,     9.7, ,    13.9, ,    18.8, ,    20.8, ,    21.4, ,    18.9, ,    11.2, ,     5.3, ,    -4.8, ,     8.8, ,    -1.5, ,     6.5, ,    20.3, ,    11.8, 
1961,    -5.9, ,    -1.3, ,     3.2, ,     5.4, ,    12.3, ,    18.8, ,    22.1,a,    21.4,a,    19.8,a,    12.8,a,     4.8,a,    -2.0,a,     9.3,a,    -4.0, ,     7.0, ,    20.8,a,    12.5,a
1962,    -5.7,a,    -5.0,a,      .9,a,     8.8,a,    17.7,a,    20.1,a,    21.1,a,    20.9,a,    16.1,a,    12.2,a,     4.3,a,    -4.2,a,     8.9,a,    -4.2,a,     9.1,a,    20.7,a,    10.9,a
1963,    -8.9,a,    -7.6,a,     2.3,a,     8.7,a,    13.1,a,    20.3,a,    22.6,a,    20.0,a,    16.1,a,    15.4,a,     6.8,a,    -5.4,a,     8.6,a,    -6.9,a,     8.0,a,    21.0,a,    12.8,a
1964,    -2.0,a,    -2.9,a,     1.4,a,     8.3,a,    16.5,a,    19.7,a,    23.3,a,    19.5,a,    17.1,a,     9.6,a,     6.2,a,    -1.8,a,     9.6,a,    -3.4,a,     8.7,a,    20.8,a,    11.0,a
1965,    -4.2,a,    -4.0,a,    -1.6,a,     6.2,a,    16.3,a,    19.1,a,    20.6,a,    20.1,a,    18.1,a,     9.9,a,     5.1,a,     1.5,a,     8.9,a,    -3.3,a,     7.0,a,    19.9,a,    11.0,a
1966,    -6.1,a,    -2.7,a,     3.0,a,     6.9,a,    11.3,a,    20.5,a,    23.2,a,    20.5,a,    16.6,a,    10.1,a,     4.6,a,    -2.1,a,     8.8,a,    -2.4,a,     7.1,a,    21.4,a,    10.4,a
1967,    -1.9,a,    -5.4,a,     1.0,a,     8.7,a,    11.2,a,    21.8,a,    20.8,a,    19.6,a,    15.9,a,    10.6,a,     2.1,a,     -.2,a,     8.7,a,    -3.1,a,     7.0,a,    20.7,a,     9.5,a
1968,    -5.9,a,    -4.6,a,     2.7,a,     9.7,a,    12.4,a,    19.5,a,    21.5,a,    21.9,a,    18.5,a,    11.9,a,     4.7,a,    -2.2,a,     9.2,a,    -3.6,a,     8.3,a,    21.0,a,    11.7,a
1969,    -4.6,a,    -2.6,a,      .8,a,     9.0,a,    14.0,a,    17.3,a,    22.0,a,    22.4,a,    17.7,a,    10.7,a,     3.9,a,    -2.8,a,     9.0,a,    -3.1,a,     7.9,a,    20.6,a,    10.8,a
1970,    -8.3,a,    -4.1,a,     -.3,a,     8.7,a,    15.6,a,    20.3,a,    22.5,a,    22.6,a,    18.8,a,    12.7,a,     5.0,a,    -1.1,a,     9.4,a,    -5.1,a,     8.0,a,    21.8,a,    12.2,a
1971,    -6.1,a,    -2.4,a,      .1,a,     7.2,a,    13.9,a,    21.8,a,    21.9,a,    21.3,a,    19.5,a,    15.3,a,     4.5,a,     1.6,a,     9.9,a,    -3.2,a,     7.1,a,    21.7,a,    13.1,a
1972,    -4.2,a,    -4.7,a,      .0,a,     6.6,a,    15.6,a,    17.9,a,    22.6,a,    20.9,a,    17.6,a,     9.2,a,     3.6,a,     -.6,a,     8.7,a,    -2.4,a,     7.4,a,    20.5,a,    10.1,a
1973,    -1.6,a,    -4.0,a,     6.1,a,     9.0,a,    13.0,a,    21.2,a,    22.8,a,    22.8,a,    18.5,a,    13.9,a,     5.6,a,    -1.4,a,    10.5,a,    -2.1,a,     9.4,a,    22.3,a,    12.7,a
1974,    -2.7,a,    -4.6,a,     1.7,a,     9.6,a,    13.1,a,    19.1,a,    22.9,a,    22.2,a,    16.1,a,    10.3,a,     5.1,a,    -1.3,a,     9.3,a,    -2.9,a,     8.1,a,    21.4,a,    10.5,a
1975,    -1.5,a,    -2.2,a,      .4,a,     5.1,a,    17.7,a,    20.7,a,    23.0,a,    22.4,a,    15.2,a,    12.1,a,     8.3,a,    -1.4,a,    10.0,a,    -1.7,a,     7.7,a,    22.0,a,    11.9,a
1976,    -6.2,a,      .4,a,     4.2,a,     9.4,a,    13.4,a,    21.4,a,    22.7,a,    20.8,a,    16.8,a,     8.7,a,     1.0,a,    -5.7,a,     8.9,a,    -2.4,a,     9.0,a,    21.6,a,     8.8,a
1977,   -10.6,a,    -3.9,a,     4.6,a,    10.6,a,    17.7,a,    18.5,a,    23.8,a,    20.9,a,    18.4,a,    10.1,a,     5.5,a,    -2.9,a,     9.4,a,    -6.7,a,    11.0,a,    21.1,a,    11.3,a
1978,    -7.3,a,    -8.9,a,    -1.4,a,     7.3,a,    15.3,a,    20.0,a,    21.7,a,    22.4,a,    20.0,a,    10.4,a,     5.1,a,    -1.0,a,     8.6,a,    -6.4,a,     7.1,a,    21.4,a,    11.8,a
1979,    -6.9,a,    -8.5,a,     3.4,a,     6.9,a,    13.9,a,    19.7,a,    21.7,a,    20.6,a,    17.9,a,    10.7,a,     5.1,a,      .6,a,     8.8,a,    -5.5,a,     8.1,a,    20.7,a,    11.2,a
1980,    -3.4,a,    -4.6,a,      .2,a,     8.1,a,    15.7,a,    18.1,a,    23.0,a,    23.0,a,    17.9,a,     8.5,a,     3.7,a,    -2.8,a,     9.0,a,    -2.5,a,     8.0,a,    21.4,a,    10.0,a
1981,    -6.7,a,    -1.5,a,     2.6,a,    10.1,a,    13.5,a,    20.6,a,    22.8,a,    21.7,a,    16.5,a,     9.2,a,     5.3,a,    -1.9,a,     9.4,a,    -3.7,a,     8.7,a,    21.7,a,    10.3,a
1982,    -8.0,a,    -6.2,a,      .7,a,     6.5,a,    18.3,a,    18.3,a,    22.8,a,    20.6,a,    17.0,a,    12.2,a,     5.6,a,     3.3,a,     9.3,a,    -5.4,a,     8.5,a,    20.6,a,    11.6,a
1983,    -1.8,a,     -.8,a,     3.4,a,     6.8,a,    12.6,a,    20.6,a,    23.9,a,    23.5,a,    18.7,a,    11.7,a,     5.5,a,    -5.9,a,     9.9,a,      .2,a,     7.6,a,    22.7,a,    12.0,a
