6150689,BELLEVILLE     ,ON, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
6150689,BELLEVILLE     ,ON, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1921,    -4.5, ,    -4.7, ,     2.4, ,     8.8, ,    14.3, ,    19.5, ,    25.3, ,    19.5, ,    18.7, ,     9.1, ,      .6, ,    -5.0, ,     8.7, , -9999.9,M,     8.5, ,    21.4, ,     9.5, 
1922,    -8.5, ,    -5.7, ,    -1.0, ,     6.1, ,    14.9, ,    18.6, ,    20.5, ,    19.4, ,    16.4, ,     8.4, ,     3.6, ,    -4.7, ,     7.3, ,    -6.4, ,     6.7, ,    19.5, ,     9.5, 
1923,   -10.0, ,   -10.5, ,    -5.5, ,     4.4, , -9999.9,M,    18.2, ,    19.8, ,    18.5, ,    15.6, ,     8.3, ,     2.7, , -9999.9,M, -9999.9,M,    -8.4, , -9999.9,M,    18.8, ,     8.9, 
1924,    -6.8, ,   -11.1, ,     -.9, ,     5.6, ,     9.9, ,    17.6, ,    19.9, ,    19.4, ,    14.2, ,     9.6, ,     2.9, ,    -6.8, ,     6.1, , -9999.9,M,     4.9, ,    19.0, ,     8.9, 
1925,   -10.7, ,    -4.3, ,      .8, ,     7.2, ,    10.1, ,    19.1, ,    19.4, ,    20.5, ,    16.0, ,     5.4, ,     2.2, ,    -4.8, ,     6.7, ,    -7.3, ,     6.0, ,    19.7, ,     7.9, 
1926,    -6.2, ,    -8.4, ,    -4.8, ,     2.3, ,    11.4, ,    15.6, ,    20.4, ,    20.6, ,    14.6, ,     7.9, ,     2.6, ,    -6.6, ,     5.8, ,    -6.5, ,     3.0, ,    18.9, ,     8.4, 
1927,    -8.3, ,    -4.7, ,     1.2, ,     5.9, ,    12.1, ,    16.5, ,    21.0, ,    18.3, ,    16.6, ,    11.1, ,     4.1, ,    -3.3, ,     7.5, ,    -6.5, ,     6.4, ,    18.6, ,    10.6, 
1928,    -5.7, ,    -6.5, ,    -1.4, ,     4.3, ,    12.2, ,    16.7, ,    21.2, ,    21.6, ,    14.1, ,    10.0, ,     3.5, ,    -1.1, ,     7.4, ,    -5.2, ,     5.0, ,    19.8, ,     9.2, 
1929,    -7.3, ,    -8.1, ,     1.6, ,     7.0, ,    11.6, ,    17.8, ,    20.2, ,    18.7, ,    17.4, ,     8.5, ,     2.7, ,    -6.3, ,     7.0, ,    -5.5, ,     6.7, ,    18.9, ,     9.5, 
1930,    -6.5, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1931, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -1.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1932,     -.8, ,    -3.4, ,    -2.9, ,     4.5, ,    12.9, ,    18.7, ,    19.7, ,    20.6, ,    16.7, ,    10.8, ,     1.3, ,    -3.2, ,     7.9, ,    -1.8, ,     4.8, ,    19.7, ,     9.6, 
1933,     -.8, ,    -4.0, ,    -1.6, ,     7.5, ,    14.3, ,    19.8, ,    22.9, ,    20.6, ,    16.6, ,     8.3, ,    -2.2, ,    -8.1, ,     7.8, ,    -2.7, ,     6.7, ,    21.1, ,     7.6, 
1934,    -6.5, ,   -15.7, ,    -3.3, ,     5.1, ,    12.9, ,    19.7, ,    21.7, ,    18.5, ,    17.5, ,     8.1, ,     4.7, ,    -7.6, ,     6.3, ,   -10.1, ,     4.9, ,    20.0, ,    10.1, 
1935,   -10.8, ,    -7.7, ,      .3, ,     6.4, ,     9.8, ,    16.9, ,    23.0, ,    20.8, ,    14.0, ,     8.8, ,     3.5, ,    -8.9, ,     6.3, ,    -8.7, ,     5.5, ,    20.2, ,     8.8, 
1936,    -8.6, ,   -11.1, ,     -.2, ,     4.5, ,    13.6, ,    18.3, ,    21.8, ,    20.1, ,    16.3, ,     8.9, ,     -.4, ,    -3.6, ,     6.6, ,    -9.5, ,     6.0, ,    20.1, ,     8.3, 
1937,    -2.0, ,    -3.7, ,    -3.1, ,     6.1, ,    13.7, ,    18.6, ,    22.2, ,    22.4, ,    14.9, ,     7.7, ,     3.3, ,    -5.3, ,     7.9, ,    -3.1, ,     5.6, ,    21.1, ,     8.6, 
1938,    -8.9, ,    -4.9, ,     -.1, ,     6.9, ,    12.8, ,    18.5, ,    21.5, ,    21.8, ,    14.0, ,     9.9, ,     3.2, ,    -2.8, ,     7.7, ,    -6.4, ,     6.5, ,    20.6, ,     9.0, 
1939,    -7.3, ,    -7.7, ,    -3.8, ,     3.9, ,    13.1, ,    18.5, ,    21.7, ,    22.3, ,    15.6, ,     8.5, ,      .5, ,    -2.9, ,     6.9, ,    -5.9, ,     4.4, ,    20.8, ,     8.2, 
1940,   -11.9, ,    -8.1, ,    -5.1, ,     4.3, ,    13.2, ,    16.9, ,    20.9, ,    19.9, ,    15.3, ,     7.1, ,     2.1, ,    -4.1, ,     5.9, ,    -7.6, ,     4.1, ,    19.2, ,     8.2, 
1941,    -9.0, ,    -7.4, ,    -4.8, ,     8.8, ,    13.6, ,    20.0, ,    21.7, ,    18.4, ,    15.9, ,     9.4, ,     4.1, ,    -2.6, ,     7.3, ,    -6.8, ,     5.9, ,    20.0, ,     9.8, 
1942,    -8.3, ,    -8.1, ,     1.5, ,     9.2, ,    13.7, ,    18.5, ,    20.3, ,    19.8, ,    15.4, ,    10.1, ,     2.6, ,    -6.3, ,     7.4, ,    -6.3, ,     8.1, ,    19.5, ,     9.4, 
1943,   -11.6, ,    -6.4, ,    -2.7, ,     2.6, ,    12.2, ,    20.1, ,    21.6, ,    19.6, ,    14.6, ,     8.5, ,     2.3, ,    -5.6, ,     6.3, ,    -8.1, ,     4.0, ,    20.4, ,     8.5, 
1944,    -4.1, ,    -6.5, ,    -3.7, ,     4.1, ,    15.8, ,    18.6, ,    21.8, ,    21.7, ,    16.1, ,     8.7, ,     3.1, ,    -7.7, ,     7.3, ,    -5.4, ,     5.4, ,    20.7, ,     9.3, 
1945,   -12.8, ,    -6.3, ,     4.5, ,     8.4, ,    10.0, ,    17.3, ,    20.2, ,    20.2, ,    16.0, ,     8.4, ,     2.9, ,    -6.5, ,     6.9, ,    -8.9, ,     7.6, ,    19.2, ,     9.1, 
1946,    -6.5, ,    -9.0, ,     4.3, ,     6.2, ,    11.8, ,    17.3, ,    20.9, ,    18.8, ,    16.5, ,    10.8, ,     4.8, ,    -3.6, ,     7.7, ,    -7.3, ,     7.4, ,    19.0, ,    10.7, 
1947,    -5.8, ,    -8.8, ,    -2.3, ,     4.7, ,    11.0, ,    17.4, ,    20.6, ,    22.6, ,    16.2, ,    12.8, ,     1.7, ,    -6.3, ,     7.0, ,    -6.1, ,     4.5, ,    20.2, ,    10.2, 
1948,   -11.7, ,    -8.8, ,    -2.4, ,     7.6, ,    11.3, ,    17.5, ,    21.1, ,    21.0, ,    17.3, ,     8.5, ,     6.2, ,    -1.6, ,     7.2, ,    -8.9, ,     5.5, ,    19.9, ,    10.7, 
1949,    -4.5, ,    -3.9, ,    -1.1, ,     6.6, ,    13.1, ,    20.8, ,    22.2, ,    21.7, ,    14.0, ,    11.2, ,      .6, ,    -2.3, ,     8.2, ,    -3.3, ,     6.2, ,    21.6, ,     8.6, 
1950,    -2.8, ,    -7.5, ,    -3.8, ,     3.8, ,    12.9, ,    17.9, ,    20.6, ,    20.0, ,    14.2, ,    10.6, ,     3.0, ,    -4.5, ,     7.0, ,    -4.2, ,     4.3, ,    19.5, ,     9.3, 
1951,    -5.0, ,    -5.2, ,      .6, ,     6.9, ,    13.6, ,    17.4, ,    20.8, ,    19.0, ,    15.1, ,    10.1, ,     -.1, ,    -4.0, ,     7.4, ,    -4.9, ,     7.0, ,    19.1, ,     8.4, 
1952,    -6.0, ,    -4.1, ,     -.7, ,     8.5, ,    11.7, ,    18.9, ,    22.8, ,    19.9, ,    16.6, ,     7.0, ,     4.8, ,    -1.1, ,     8.2, ,    -4.7, ,     6.5, ,    20.5, ,     9.5, 
1953,    -3.4, ,    -3.0, ,     1.5, ,     6.6, ,    13.6, ,    18.4, ,    21.6, ,    20.5, ,    16.1, ,    10.0, ,     5.4, ,     -.3, ,     8.9, ,    -2.5, ,     7.2, ,    20.2, ,    10.5, 
1954,    -9.4, ,    -2.0, ,    -1.1, ,     7.1, ,    12.1, ,    19.2, ,    20.4, ,    19.0, ,    15.0, ,    10.7, ,     3.7, ,    -4.8, ,     7.5, ,    -3.9, ,     6.0, ,    19.5, ,     9.8, 
1955,    -8.0, ,    -6.0, ,    -1.8, ,     9.2, ,    14.0, ,    19.3, ,    23.5, ,    22.6, ,    14.5, ,    10.9, ,     1.8, ,    -7.3, ,     7.7, ,    -6.3, ,     7.1, ,    21.8, ,     9.1, 
1956,    -5.5, ,    -5.4, ,    -3.4, ,     4.3, ,     9.7, ,    18.1, ,    19.5, ,    19.5, ,    13.0, ,    10.2, ,     3.7, ,    -2.6, ,     6.8, ,    -6.1, ,     3.5, ,    19.0, ,     9.0, 
1957,   -10.0, ,    -3.7, ,      .5, ,     7.8, ,    11.9, ,    19.5, ,    20.5, ,    19.1, ,    15.8, ,     9.2, ,     4.1, ,     -.4, ,     7.9, ,    -5.4, ,     6.7, ,    19.7, ,     9.7, 
1958,    -6.0, ,    -8.7, ,     2.0, ,     8.1, ,    11.3, ,    15.7, ,    20.6, ,    19.6, ,    15.9, ,     9.5, ,     3.7, ,    -9.9, ,     6.8, ,    -5.0, ,     7.1, ,    18.6, ,     9.7, 
1959,    -9.3, ,    -8.4, ,    -2.8, ,     6.8, ,    14.0, ,    19.0, ,    21.8, ,    23.2, ,    18.3, ,     9.3, ,     1.8, ,    -2.9, ,     7.6, ,    -9.2, ,     6.0, ,    21.3, ,     9.8, 
1960,    -7.7, ,    -5.3, ,    -6.3, ,     6.8, ,    14.5, ,    17.8, ,    19.6, ,    19.9, ,    16.8, ,     9.7, ,     5.5, ,    -5.8, ,     7.1, ,    -5.3, ,     5.0, ,    19.1, ,    10.7, 
1961,   -10.8, ,    -4.5, ,     -.8, ,     5.2, ,    11.6, ,    16.8, ,    20.8, ,    20.3, ,    19.8, ,    11.8, ,     3.1, ,    -3.6, ,     7.5, ,    -7.0, ,     5.3, ,    19.3, ,    11.6, 
1962,    -7.7, ,    -9.2, ,     -.1, ,     6.4, ,    15.6, ,    18.6, ,    19.4, ,    19.9, ,    14.7, ,    10.1, ,     1.9, ,    -5.3, ,     7.0, ,    -6.8, ,     7.3, ,    19.3, ,     8.9, 
1963,    -8.1, ,    -9.8, ,     -.7, ,     6.9, ,    11.4, ,    18.9, ,    21.5, ,    18.6, ,    13.0, ,    12.7, ,     6.2, ,    -9.6, ,     6.8, ,    -7.7, ,     5.9, ,    19.7, ,    10.6, 
1964,    -3.5, ,    -5.9, ,     -.3, ,     6.5, ,    14.7, ,    17.6, ,    22.5, ,    18.0, ,    15.1, ,     8.1, ,     4.0, ,    -3.5, ,     7.8, ,    -6.3, ,     7.0, ,    19.4, ,     9.1, 
1965,    -8.0, ,    -6.7, ,    -2.4, ,     4.2, ,    14.3, ,    17.2, ,    18.7, ,    19.0, ,    16.3, ,     8.0, ,     2.5, ,     -.7, ,     6.9, ,    -6.1, ,     5.4, ,    18.3, ,     8.9, 
1966,    -8.9, ,    -6.1, ,      .3, ,     5.6, ,    10.4, ,    18.9, ,    22.4, ,    20.3, ,    14.6, ,     8.9, ,     4.7, ,    -3.5, ,     7.3, ,    -5.2, ,     5.4, ,    20.5, ,     9.4, 
1967,    -3.0, ,    -9.6, ,    -2.3, ,     6.0, ,     9.8, ,    20.3, ,    20.5, ,    19.9, ,    15.8, ,     9.9, ,     1.6, ,    -1.8, ,     7.3, ,    -5.4, ,     4.5, ,    20.2, ,     9.1, 
1968,   -10.1, ,    -8.3, ,     1.0, ,     8.7, ,    11.8, ,    17.6, ,    21.3, ,    19.9, ,    17.6, ,    10.7, ,     2.3, ,    -5.8, ,     7.2, ,    -6.7, ,     7.2, ,    19.6, ,    10.2, 
1969,    -7.0, ,    -4.0, ,    -1.5, ,     7.3, ,    12.1, ,    17.0, ,    21.0, ,    21.4, ,    16.3, ,     9.2, ,     4.0, ,    -6.3, ,     7.5, ,    -5.6, ,     6.0, ,    19.8, ,     9.8, 
1970,   -11.4, ,    -7.1, ,    -2.0, ,     7.3, ,    13.1, ,    18.3, ,    21.3, ,    21.1, ,    16.6, ,    11.5, ,     4.9, ,    -7.1, ,     7.2, ,    -8.3, ,     6.1, ,    20.2, ,    11.0, 
1971,    -9.9, ,    -5.3, ,    -3.5, ,     4.9, ,    12.7, ,    18.6, ,    20.4, ,    20.1, ,    18.2, ,    13.1, ,     2.5, ,    -2.0, ,     7.5, ,    -7.4, ,     4.7, ,    19.7, ,    11.3, 
1972,    -5.6, ,    -8.5, ,    -3.3, ,     4.0, ,    14.5, ,    17.3, ,    20.9, ,    19.7, ,    16.5, ,     7.2, ,     1.9, ,    -4.6, ,     6.7, ,    -5.4, ,     5.1, ,    19.3, ,     8.5, 
1973,    -4.5, ,    -7.9, ,     3.8, ,     7.1, ,    12.0, ,    19.5, ,    22.0, ,    22.6, ,    16.3, ,    10.9, ,     3.5, ,    -3.9, ,     8.5, ,    -5.7, ,     7.6, ,    21.4, ,    10.2, 
1974,    -6.5, ,    -7.7, ,    -1.3, ,     7.2, ,    11.0, ,    18.1, ,    20.9, ,    20.8, ,    14.5, ,     7.2, ,     3.4, ,    -1.5, ,     7.2, ,    -6.0, ,     5.6, ,    19.9, ,     8.4, 
1975,    -4.2, ,    -4.7, ,    -2.3, ,     4.2, ,    16.5, ,    19.4, ,    22.5, ,    21.2, ,    14.6, ,    10.8, ,     6.3, ,    -6.1, ,     8.2, ,    -3.5, ,     6.1, ,    21.0, ,    10.6, 
1976,   -10.1, ,    -2.6, ,     -.6, ,     8.2, ,    11.8, ,    20.3, ,    20.1, ,    19.7, ,    15.3, ,     7.0, ,      .8, ,    -8.3, ,     6.8, ,    -6.3, ,     6.5, ,    20.0, ,     7.7, 
1977,   -11.8, ,    -6.0, ,     2.3, ,     7.5, ,    15.1, ,    17.8, ,    21.8, ,    19.7, ,    15.9, ,     8.6, ,     4.3, ,    -5.7, ,     7.5, ,    -8.7, ,     8.3, ,    19.8, ,     9.6, 
1978,    -9.8, ,    -9.7, ,    -3.3, ,     4.9, ,    14.3, ,    18.1, ,    21.6, ,    20.6, ,    14.8, ,     8.6, ,     2.9, ,    -2.8, ,     6.7, ,    -8.4, ,     5.3, ,    20.1, ,     8.8, 
1979,    -7.6, ,   -11.6, ,     1.8, ,     6.7, ,    13.4, ,    18.4, ,    22.0, ,    19.8, ,    15.9, ,     9.0, ,     5.1, ,    -2.0, ,     7.6, ,    -7.3, ,     7.3, ,    20.1, ,    10.0, 
1980,    -5.6, ,    -8.5, ,    -1.9, ,     7.4, ,    14.7, ,    15.7, ,    21.2, ,    21.9, ,    15.5, ,     7.7, ,     1.6, ,    -8.5,E,     6.8,E,    -5.4, ,     6.7, ,    19.6, ,     8.3, 
1981,   -12.7, ,    -1.4, ,      .7, ,     7.6, ,    13.2, ,    18.3, ,    22.0, ,    20.3, ,    14.9, ,     7.1, ,     3.6, ,    -2.5, ,     7.6, ,    -7.5,E,     7.2, ,    20.2, ,     8.5, 
1982,   -11.3, ,    -6.5, ,    -1.4, ,     4.8, ,    15.3, ,    16.8, ,    21.4, ,    18.2, ,    15.6, ,    10.3, ,     4.7, ,      .2, ,     7.3, ,    -6.8, ,     6.2, ,    18.8, ,    10.2, 
1983,    -4.8, ,    -3.7, ,     1.1, ,     6.0, ,    11.6, ,    19.1, ,    23.0, ,    21.6, ,    17.9, ,     9.8, ,     2.8, ,    -5.9, ,     8.2, ,    -2.8, ,     6.2, ,    21.2, ,    10.2, 
1984,    -9.1, ,    -2.0,E,    -5.2,E,     7.8, ,    11.1, ,    19.2, ,    20.8,E,    21.5, ,    14.6, ,    10.2,E,     3.2,E,     -.2, ,     7.7,E,    -5.7,E,     4.6,E,    20.5,E,     9.3,E
1985,    -9.2, ,    -6.1, ,      .3, ,     7.5, ,    14.2,E,    16.6, ,    21.0, ,    20.0, ,    17.0, ,    10.2, ,     3.1, ,    -5.5,E,     7.4,E,    -5.2, ,     7.3,E,    19.2, ,    10.1, 
1986,    -6.5, ,    -7.9, ,      .1, ,     9.4, ,    15.0, ,    17.4, ,    21.3, ,    19.4, ,    15.1, ,     9.4, ,     2.1, ,    -1.3, ,     7.8, ,    -6.6,E,     8.2, ,    19.4, ,     8.9, 
1987,    -5.8, ,    -6.7, ,     2.0, ,    10.1, ,    14.9, ,    20.0, ,    23.0, ,    20.2,E,    16.3, ,     8.0, ,     3.0, ,     -.5, ,     8.7,E,    -4.6, ,     9.0, ,    21.1,E,     9.1, 
1988,    -5.4,E,    -6.8, ,     -.6, ,     6.9, ,    15.2,E,    18.1,E,    23.4, ,    22.5, ,    15.9, ,     7.6, ,     4.7, ,    -3.7,E,     8.2,E,    -4.2,E,     7.2,E,    21.3,E,     9.4, 
1989,    -3.3, ,    -6.5, ,    -2.9, ,     5.2, ,    14.1, ,    19.5, ,    22.6, ,    20.5, ,    16.2, ,     9.8, ,     2.4, ,   -11.7, ,     7.2, ,    -4.5,E,     5.5, ,    20.9, ,     9.5, 
1990,    -1.9, ,    -4.7, ,      .0, ,     7.8, ,    12.0,E,    18.6, ,    21.3, ,    21.2, ,    15.3, ,     9.3, ,     4.1, ,    -1.3, ,     8.5,E,    -6.1, ,     6.6,E,    20.4, ,     9.6, 
1991,    -6.5, ,    -3.2, ,     1.3,E,     8.4, ,    15.9, ,    20.1,E,    22.2,E,    21.5,E,    15.4, ,    10.6, ,     2.8, ,    -3.9, ,     8.7,E,    -3.7, ,     8.5,E,    21.3,E,     9.6, 
1992,    -6.1, ,    -4.9, ,    -3.4, ,     5.7, ,    13.4, ,    17.1, ,    18.8, ,    18.7, ,    15.4, ,     7.5, ,     2.9, ,    -2.6,E,     6.9,E,    -5.0, ,     5.2, ,    18.2, ,     8.6, 
1993,    -5.5, ,   -10.7, ,    -2.5, ,     6.5, ,    13.4, ,    18.0, ,    22.1, ,    21.6, ,    14.6,E,     8.0, ,     2.6, ,    -3.4, ,     7.1,E,    -6.3,E,     5.8, ,    20.6, ,     8.4,E
1994,   -13.4, ,    -9.0, ,     -.8, ,     6.8, ,    12.2, ,    19.7, ,    22.4, ,    19.5, ,    16.5, ,    10.4, ,     5.4, ,    -1.2, ,     7.4, ,    -8.6, ,     6.1, ,    20.5, ,    10.8, 
1995,    -3.5, ,    -7.7, ,     2.1, ,     4.7, ,    13.5, ,    20.8, ,    21.6, ,    21.3, ,    13.5, ,    11.2, ,      .8, ,    -6.1, ,     7.7, ,    -4.1, ,     6.8, ,    21.2, ,     8.5, 
1996,    -7.8, ,    -5.6,E,    -2.2, ,     5.3, ,    12.3,E,    19.5, ,    20.9, ,    21.5, ,    17.5, ,     9.2, ,      .7, ,      .1, ,     7.6,E,    -6.5,E,     5.1,E,    20.6, ,     9.1, 
1997,    -6.9, ,    -3.2, ,    -1.6, ,     5.9, ,    10.5, ,    20.3, ,    21.0, ,    19.5, ,    15.4, ,     9.4, ,     2.5, ,    -1.6, ,     7.6, ,    -3.3, ,     4.9, ,    20.3, ,     9.1, 
1998,    -4.0, ,     -.9, ,     1.2, ,     8.7, ,    17.7, ,    19.5, ,    21.6, ,    21.6, ,    17.5, ,    10.6, ,     4.4, ,      .6, ,     9.9, ,    -2.2, ,     9.2, ,    20.9, ,    10.8, 
1999,    -7.1, ,    -2.1, ,     -.5, ,     8.2, ,    16.2, ,    20.8, ,    23.7, ,    20.2, ,    18.4, ,     9.6, ,     5.9, ,    -1.1, ,     9.4, ,    -2.9, ,     8.0, ,    21.6, ,    11.3, 
2000,    -6.2, ,    -4.0, ,     3.2,E,     6.3, ,    14.1, ,    17.4, ,    20.3, ,    20.1, ,    15.5, ,    10.4, ,     3.3,E,    -7.2, ,     7.8,E,    -3.8, ,     7.9,E,    19.3, ,     9.7,E
