6158355,TORONTO        ,ON, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
6158355,TORONTO        ,ON, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1840, -9999.9,M, -9999.9,M,     1.2, ,     6.7, ,    12.4, ,    15.8, ,    19.5, ,    19.0, ,    12.6, ,     7.4, ,     2.1, ,    -4.9, , -9999.9,M, -9999.9,M,     6.8, ,    18.1, ,     7.4, 
1841,    -4.5, ,    -5.5, ,    -2.3, ,     4.3, ,    10.9, ,    19.4, ,    19.3, ,    18.6, ,    16.2, ,     5.8, ,     1.3, ,    -2.0, ,     6.8, ,    -5.0, ,     4.3, ,    19.1, ,     7.8, 
1842,    -2.8, ,    -2.2, ,     2.7, ,     7.0, ,    10.2, ,    14.5, ,    18.6, ,    19.5, ,    13.8, ,     7.8, ,     1.0, ,    -3.8, ,     7.2, ,    -2.3, ,     6.6, ,    17.5, ,     7.5, 
1843,    -2.1, ,    -8.5, ,    -5.8, ,     5.1, ,    10.8, ,    14.8, ,    19.0, ,    19.4, ,    16.4, ,     6.4, ,      .6, ,     -.7, ,     6.3, ,    -4.8, ,     3.4, ,    17.7, ,     7.8, 
1844,    -6.5, ,    -3.6, ,      .2, ,     9.3, ,    13.2, ,    16.1, ,    19.5, ,    18.4, ,    15.3, ,     6.6, ,     1.9, ,    -2.1, ,     7.4, ,    -3.6, ,     7.6, ,    18.0, ,     7.9, 
1845,    -3.2, ,    -3.5, ,     1.6, ,     5.7, ,    10.3, ,    15.9, ,    19.3, ,    19.4, ,    12.7, ,     7.5, ,     2.6, ,    -6.3, ,     6.8, ,    -2.9, ,     5.9, ,    18.2, ,     7.6, 
1846,    -3.8, ,    -7.5, ,     -.3, ,     6.5, ,    13.2, ,    17.4, ,    20.4, ,    19.9, ,    17.3, ,     7.2, ,     5.1, ,    -2.8, ,     7.7, ,    -5.9, ,     6.5, ,    19.2, ,     9.9, 
1847,    -5.3, ,    -5.6, ,    -3.3, ,     3.3, ,    11.5, ,    14.4, ,    19.9, ,    17.8, ,    13.0, ,     6.8, ,     3.4, ,    -2.0, ,     6.2, ,    -4.6, ,     3.8, ,    17.4, ,     7.7, 
1848,    -2.7, ,    -2.9, ,    -2.2, ,     4.9, ,    12.1, ,    16.4, ,    18.0, ,    19.6, ,    12.3, ,     7.6, ,      .9, ,    -1.5, ,     6.9, ,    -2.5, ,     4.9, ,    18.0, ,     6.9, 
1849,    -7.3, ,    -7.6, ,      .4, ,     3.3, ,     8.9, ,    16.7, ,    19.3, ,    18.3, ,    14.1, ,     7.7, ,     5.6, ,    -3.6, ,     6.3, ,    -5.5, ,     4.2, ,    18.1, ,     9.1, 
1850,    -1.9, ,    -4.0, ,    -1.7, ,     3.3, ,     9.9, ,    17.4, ,    20.7, ,    19.0, ,    12.9, ,     6.5, ,     2.9, ,    -5.6, ,     6.6, ,    -3.2, ,     3.8, ,    19.0, ,     7.4, 
1851,    -4.5, ,    -2.6, ,      .4, ,     5.0, ,    10.7, ,    15.0, ,    18.4, ,    17.3, ,    14.9, ,     8.7, ,      .0, ,    -6.3, ,     6.4, ,    -4.2, ,     5.4, ,    16.9, ,     7.9, 
1852,    -8.0, ,    -5.2, ,    -3.5, ,     3.1, ,    10.7, ,    15.8, ,    18.8, ,    18.2, ,    13.4, ,     8.8, ,     1.6, ,     -.2, ,     6.1, ,    -6.5, ,     3.4, ,    17.6, ,     7.9, 
