6166415,PETERBOROUGH   ,ON, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
6166415,PETERBOROUGH   ,ON, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1866, -9999.9,M, -9999.9,M, -9999.9,M,     4.9,a,     7.2,a,    15.5,a,    19.4,a,    13.9,a,    10.4,a,     7.4,a,      .6,a,    -8.4,a, -9999.9,M, -9999.9,M, -9999.9,M,    16.3,a,     6.1,a
1867,   -13.8,a,    -6.2,a,    -5.8,a,     3.0,a,     6.9,a,    16.8,a,    17.3,a,    17.7,a,    12.3,a,     6.8,a,    -1.2,a,   -11.7,a,     3.5,a,    -9.5,a,     1.4,a,    17.3,a,     6.0,a
1868,   -12.6,a,   -13.8,a,    -2.6,a,     1.3,a,    10.5,a,    15.8,a,    22.3,a,    17.0,a,    10.7,a,     2.4,a,    -1.4,a,   -11.2,a,     3.2,a,   -12.7,a,     3.1,a,    18.4,a,     3.9,a
1869,    -7.5,a,    -9.4,a,    -9.3,a,     2.2,a,     9.6,a,    13.3,a,    15.7,a,    14.6,a,    12.5,a,     2.2,a,    -4.0,a,    -6.7,a,     2.8,a,    -9.4,a,      .8,a,    14.5,a,     3.6,a
1870,   -10.6,a,   -11.7,a,    -7.4,a,     5.0,a,    11.6,a,    17.9,a,    17.1,a,    15.6,a,    11.8,a,     5.9,a,    -2.4,a,   -10.2,a,     3.6,a,    -9.7,a,     3.1,a,    16.9,a,     5.1,a
1871,   -13.9,a,    -9.9,a,    -1.1,a,     5.1,a,    10.7,a,    13.8,a,    15.3,a,    16.1,a,     8.4,a,     5.4,a,    -6.1,a,   -14.1,a,     2.5,a,   -11.3,a,     4.9,a,    15.1,a,     2.6,a
1872,   -10.9,a,    -9.7,a,    -9.8,a,     3.6,a,    11.2,a,    17.9,a,    20.5,a,    20.5,a,    14.6,a,     6.0,a,    -2.0,a,   -13.0,a,     4.1,a,   -11.6,a,     1.7,a,    19.6,a,     6.2,a
1873,   -12.0,a,   -10.1,a,    -5.6,a,     2.9,a,    10.6,a,    17.4,a,    18.4,a,    17.3,a,    11.6,a,     4.8,a,    -6.9,a,    -5.9,a,     3.5,a,   -11.7,a,     2.6,a,    17.7,a,     3.2,a
1874,    -9.2,a,   -11.7,a,    -6.1,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -8.9,a, -9999.9,M, -9999.9,M, -9999.9,M
1875, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
