7013362,JOLIETTE       ,QC, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
7013362,JOLIETTE       ,QC, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1914, -9999.9,M,   -18.9, ,    -4.6, ,     1.4, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1915, -9999.9,M,    -8.0, ,    -4.3, ,     7.3, ,     7.4, ,    17.9, ,    20.6, ,    18.4, ,    15.4, ,     8.2, ,      .4, ,    -6.3, , -9999.9,M, -9999.9,M,     3.5, ,    19.0, ,     8.0, 
1916,   -12.1, ,   -12.0, ,    -9.0, ,     5.4, ,    11.3, ,    17.1, ,    22.2, ,    20.8, ,    13.7, ,     6.7, ,    -2.2, ,    -8.6, ,     4.4, ,   -10.1, ,     2.6, ,    20.0, ,     6.1, 
1917,   -14.8, ,   -14.7, ,    -5.2, ,     2.3, ,     8.6, ,    16.5, ,    21.4, ,    19.4, ,    13.5, ,     5.0, ,    -2.8, ,   -15.2, ,     2.8, ,   -12.7, ,     1.9, ,    19.1, ,     5.2, 
1918,   -15.8, ,   -13.6, ,    -6.2, ,     4.8, ,    14.0, ,    15.3, ,    21.0, ,    19.5, ,    11.4, ,     7.5, ,     -.2, ,    -8.3, ,     4.1, ,   -14.9, ,     4.2, ,    18.6, ,     6.2, 
1919,   -10.5, ,    -8.4, ,    -4.7, ,     2.4, ,    12.2, ,    20.2, ,    21.5, ,    18.1, ,    13.1, ,     5.9, ,     -.7, ,   -11.9, ,     4.8, ,    -9.1, ,     3.3, ,    19.9, ,     6.1, 
1920,   -18.7, , -9999.9,M,    -3.7, ,     3.9, ,    13.5, ,    18.2, ,    18.9, ,    21.3, ,    15.3, ,     9.5, ,    -2.5, ,    -7.8, , -9999.9,M, -9999.9,M,     4.6, ,    19.5, ,     7.4, 
1921,   -10.9, ,   -11.2, ,     -.9, ,     7.0, ,    14.0, ,    19.0, ,    23.5, ,    18.0, ,    15.4, ,     6.9, ,    -3.5, ,    -9.0, ,     5.7, ,   -10.0, ,     6.7, ,    20.2, ,     6.3, 
1922,   -13.7, ,   -11.6, ,    -2.2, ,     5.3, ,    14.9, ,    18.4, ,    20.2, ,    18.8, ,    15.6, ,     6.1, ,      .2, ,   -11.4, ,     5.1, ,   -11.4, ,     6.0, ,    19.1, ,     7.3, 
1923,   -13.7, ,   -16.7, ,    -9.8, ,     2.4, ,    11.6, ,    18.0, ,    18.8, ,    17.5, ,    14.5, ,     7.9, ,      .4, ,    -3.6, ,     3.9, ,   -13.9, ,     1.4, ,    18.1, ,     7.6, 
1924,   -13.9, ,   -14.2, ,    -2.0, ,     3.9, ,     9.4, ,    17.2, ,    20.3, ,    18.9, ,    12.5, ,     8.6, ,      .1, ,   -11.4, ,     4.1, ,   -10.6, ,     3.8, ,    18.8, ,     7.1, 
1925,   -16.6, ,    -7.9, ,    -2.7, ,     5.0, ,    10.8, ,    18.2, ,    19.3, ,    20.3, ,    12.2, ,     3.5, ,     -.9, ,    -9.4, ,     4.3, ,   -12.0, ,     4.4, ,    19.3, ,     4.9, 
1926,   -12.4, ,   -12.9, ,    -7.2, ,      .6, ,    10.5, ,    15.7, ,    19.9, ,    18.2, ,    12.6, ,     5.9, ,    -1.2, ,   -10.9, ,     3.2, ,   -11.6, ,     1.3, ,    17.9, ,     5.8, 
1927,   -10.3, ,   -10.9, ,    -2.1, ,     5.6, ,    10.7, ,    16.1, ,    20.1, ,    17.2, ,    14.5, ,     8.8, ,      .4, ,    -5.8, ,     5.4, ,   -10.7, ,     4.7, ,    17.8, ,     7.9, 
1928,   -12.8, ,   -13.8, ,    -6.5, ,     1.6, ,    11.5, ,    17.1, ,    20.2, ,    20.1, ,    12.7, ,     6.8, ,      .0, ,    -6.0, ,     4.2, ,   -10.8, ,     2.2, ,    19.1, ,     6.5, 
1929,   -13.6, ,   -11.9, ,    -3.7, ,     3.3, ,    11.7, ,    17.3, ,    20.0, ,    17.3, ,    14.3, ,     6.2, ,    -1.9, ,   -11.6, ,     4.0, ,   -10.5, ,     3.8, ,    18.2, ,     6.2, 
1930,   -13.4, ,   -13.3, ,    -5.0, ,     3.5, ,    11.5, ,    19.4, ,    19.6, ,    17.5, ,    13.3, ,     6.9, ,      .3, ,    -8.9, ,     4.3, ,   -12.8, ,     3.3, ,    18.8, ,     6.8, 
1931,   -12.5, , -9999.9,M,     2.3, ,     6.1, ,    11.7, ,    17.1, ,    20.9, ,    18.4, ,    13.7, ,     8.5, ,     1.9, ,    -8.8, , -9999.9,M, -9999.9,M,     6.7, ,    18.8, ,     8.0, 
1932,    -8.3, ,   -12.5, ,    -7.7, ,     2.9, ,    13.1, ,    18.0, ,    19.5, ,    20.3, ,    15.1, ,     8.1, ,    -3.2, ,    -7.4, ,     4.8, ,    -9.9, ,     2.8, ,    19.3, ,     6.7, 
1933,    -6.1, ,    -8.7, ,    -5.4, ,     4.6, ,    13.1, ,    19.3, ,    19.9, ,    18.0, ,    15.4, ,     6.7, ,    -6.1, ,   -15.1, ,     4.6, ,    -7.4, ,     4.1, ,    19.1, ,     5.3, 
1934,   -12.9, ,   -18.9, ,    -7.0, ,     4.2, ,    13.2, ,    18.3, ,    21.3, ,    17.8, ,    16.2, ,     5.8, ,     1.6, ,   -11.7, ,     4.0, ,   -15.6, ,     3.5, ,    19.1, ,     7.9, 
1935,   -15.6, ,   -12.6, ,    -5.8, ,     5.6, ,    10.9, ,    17.8, ,    22.0, ,    19.2, ,    12.5, ,     7.4, ,     1.2, ,   -10.1, ,     4.4, ,   -13.3, ,     3.6, ,    19.7, ,     7.0, 
1936,   -13.1, ,   -13.8, ,    -1.6, ,     4.0, ,    12.6, ,    18.0, ,    19.7, ,    17.8, ,    14.2, ,     6.0, ,    -4.3, ,    -7.7, ,     4.3, ,   -12.3, ,     5.0, ,    18.5, ,     5.3, 
1937,    -7.6, ,    -7.9, ,    -6.1, ,     4.8, ,    14.2, ,    19.0, ,    21.8, ,    22.2, ,    15.2, ,     6.9, ,     1.0, ,    -9.9, ,     6.1, ,    -7.7, ,     4.3, ,    21.0, ,     7.7, 
1938,   -13.2, ,   -12.0, ,    -5.5, ,     5.8, ,    12.6, ,    19.1, ,    21.1, ,    20.9, ,    12.5, ,     8.9, ,      .8, ,    -7.2, ,     5.3, ,   -11.7, ,     4.3, ,    20.4, ,     7.4, 
1939,   -12.6, ,   -12.0, ,    -8.0, ,     1.9, ,    12.3, ,    18.2, ,    20.9, ,    21.0, ,    13.5, ,     6.8, ,     -.8, ,    -7.5, ,     4.5, ,   -10.6, ,     2.1, ,    20.0, ,     6.5, 
1940,   -14.5, ,   -10.8, ,    -6.0, ,     2.9, ,    12.1, ,    17.1, ,    20.6, ,    19.7, ,    15.1, ,     6.2, ,     -.6, ,    -8.8, ,     4.4, ,   -10.9, ,     3.0, ,    19.1, ,     6.9, 
1941,   -12.4, ,    -8.8, ,    -5.4, ,     8.3, ,    13.7, ,    19.5, ,    21.8, ,    18.0, ,    14.3, ,     6.5, ,      .2, ,    -6.5, ,     5.8, ,   -10.0, ,     5.5, ,    19.8, ,     7.0, 
1942,   -11.6, ,    -9.7, ,     -.7, ,     6.5, ,    14.5, ,    18.9, ,    19.8, ,    18.8, ,    14.4, ,     8.4, ,      .0, ,   -11.9, ,     5.6, ,    -9.3, ,     6.8, ,    19.2, ,     7.6, 
1943,   -14.7, ,   -10.8, ,    -6.5, ,      .2, ,    11.9, ,    17.8, ,    20.9, ,    18.4, ,    13.0, ,     7.9, ,      .4, ,   -13.2, ,     3.8, ,   -12.5, ,     1.9, ,    19.0, ,     7.1, 
1944,    -9.5, ,   -12.0, ,    -6.9, ,     2.9, ,    15.3, ,    17.9, ,    20.9, ,    20.9, ,    15.1, ,     7.0, ,     1.2, ,   -11.5, ,     5.1, ,   -11.6, ,     3.8, ,    19.9, ,     7.8, 
1945,   -15.4, ,    -9.0, ,      .5, ,     8.2, ,    10.5, ,    17.5, ,    20.6, ,    19.9, ,    15.2, ,     6.2, ,     -.2, ,   -10.2, ,     5.3, ,   -12.0, ,     6.4, ,    19.3, ,     7.1, 
1946,   -12.1, ,   -13.7, ,      .9, ,     4.9, ,    11.2, ,    18.0, ,    20.2, ,    18.0, ,    15.9, ,     9.6, ,      .8, ,    -8.2, ,     5.5, ,   -12.0, ,     5.7, ,    18.7, ,     8.8, 
1947,   -10.8, ,   -11.8, ,    -2.6, ,     1.5, ,     9.8, ,    16.9, ,    21.4, ,    22.0, ,    14.5, ,    11.9, ,     -.1, ,   -10.5, ,     5.2, ,   -10.3, ,     2.9, ,    20.1, ,     8.8, 
1948,   -14.1, ,   -14.4, ,    -5.4, ,     5.3, ,    12.1, ,    17.4, ,    21.2, ,    21.0, ,    16.7, ,     8.2, ,     4.5, ,    -4.6, ,     5.7, ,   -13.0, ,     4.0, ,    19.9, ,     9.8, 
1949,    -8.5, ,    -9.1, ,    -4.4, ,     6.6, ,    12.7, ,    20.0, ,    22.8, ,    20.9, ,    13.7, ,    10.4, ,    -1.7, ,    -6.5, ,     6.4, ,    -7.4, ,     5.0, ,    21.2, ,     7.5, 
1950,    -8.0, ,   -12.5, ,    -7.3, ,     3.5, ,    13.0, ,    18.1, ,    20.6, ,    18.4, ,    12.5, ,     8.4, ,     2.0, ,    -7.5, ,     5.1, ,    -9.0, ,     3.1, ,    19.0, ,     7.6, 
1951,   -10.6, ,    -9.5, ,    -2.4, ,     6.1, ,    13.8, ,    17.2, ,    20.4, ,    18.0, ,    13.6, ,     8.1, ,    -2.0, ,    -8.5, ,     5.4, ,    -9.2, ,     5.8, ,    18.5, ,     6.6, 
1952,   -11.4, ,    -7.4, ,    -2.4, ,     6.0, ,    11.6, ,    18.6, ,    22.4, ,    19.6, ,    14.4, ,     6.1, ,     1.5, ,    -5.3, ,     6.1, ,    -9.1, ,     5.1, ,    20.2, ,     7.3, 
1953,    -8.2, ,    -7.5, ,    -2.4, ,     6.4, ,    13.5, ,    18.6, ,    21.0, ,    19.3, ,    14.4, ,     9.3, ,     3.8, ,    -3.8, ,     7.0, ,    -7.0, ,     5.8, ,    19.6, ,     9.2, 
1954,   -14.6, ,    -7.1, ,    -4.7, ,     3.3, ,    11.0, ,    17.2, ,    18.5, ,    17.6, ,    11.8, ,     8.8, ,     1.4, ,    -7.3, ,     4.7, ,    -8.5, ,     3.2, ,    17.8, ,     7.3, 
1955,   -12.5, ,   -10.7, ,    -5.5, ,     5.9, ,    14.7, ,    19.5, ,    23.1, ,    21.4, ,    13.4, ,     8.7, ,      .7, , -9999.9,M, -9999.9,M,   -10.2, ,     5.0, ,    21.3, ,     7.6, 
1956, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    18.2, ,    17.6, ,    11.3, ,     7.9, ,      .7, ,    -8.1, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     6.6, 
1957,   -16.6, ,    -8.2, ,    -2.2, ,     6.0, ,    12.0, ,    18.6, ,    19.8, ,    17.2, ,    13.9, ,     7.9, ,     2.3, ,    -5.6, ,     5.4, ,   -11.0, ,     5.3, ,    18.5, ,     8.0, 
1958,    -9.4, ,   -13.0, ,      .0, , -9999.9,M,    10.5, ,    14.2, ,    20.0, ,    18.5, ,    14.5, ,     7.9, , -9999.9,M, -9999.9,M, -9999.9,M,    -9.3, , -9999.9,M,    17.6, , -9999.9,M
