7024280,LENNOXVILLE    ,QC, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
7024280,LENNOXVILLE    ,QC, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1915,    -8.9, ,    -7.9, ,    -5.1, ,     7.0, ,     9.4, ,    15.0, ,    17.6, ,    17.3, ,    14.0, ,     7.9, ,     1.0, ,    -5.3, ,     5.2, , -9999.9,M,     3.8, ,    16.6, ,     7.6, 
1916,    -7.7, ,   -11.3, ,    -9.2, ,     5.0, ,    10.6, ,    15.0, ,    20.2, ,    18.2, ,    13.0, ,     7.3, ,    -1.0, ,    -8.6, ,     4.3, ,    -8.1, ,     2.1, ,    17.8, ,     6.4, 
1917,   -12.1, ,   -14.7, ,    -5.1, ,     3.3, ,     7.5, ,    15.7, ,    19.8, ,    18.4, ,    11.6, ,     5.7, ,    -3.8, ,   -14.6, ,     2.6, ,   -11.8, ,     1.9, ,    18.0, ,     4.5, 
1918,   -16.6, ,   -12.4, ,    -5.4, ,     4.4, ,    13.3, ,    13.2, ,    18.8, ,    16.8, ,    11.1, ,     7.5, ,      .3, ,    -6.3, ,     3.7, ,   -14.5, ,     4.1, ,    16.3, ,     6.3, 
1919,    -8.6, ,    -8.9, ,    -2.5, ,     3.0, ,    11.0, ,    18.0, ,    18.8, ,    16.8, ,    12.7, ,     6.7, ,      .1, ,   -11.5, ,     4.6, ,    -7.9, ,     3.8, ,    17.9, ,     6.5, 
1920,   -17.0, ,   -10.8, ,    -2.4, ,     3.4, ,    10.5, ,    15.5, ,    17.9, ,    19.5, ,    13.7, ,     9.9, ,    -1.1, , -9999.9,M, -9999.9,M,   -13.1, ,     3.8, ,    17.6, ,     7.5, 
1921,    -9.1, ,    -8.5, ,     1.2, ,     8.0, ,    11.8, ,    15.8, ,    22.4, ,    16.7, ,    14.5, ,     7.1, ,    -2.3, ,    -8.9, ,     5.7, , -9999.9,M,     7.0, ,    18.3, ,     6.4, 
1922,   -13.0, ,    -9.9, ,    -2.2, ,     4.6, ,    11.8, ,    17.0, ,    18.5, ,    17.0, ,    13.4, ,     6.8, ,     1.3, ,    -9.9, ,     4.6, ,   -10.6, ,     4.7, ,    17.5, ,     7.2, 
1923,   -14.8, ,   -15.9, ,    -8.5, ,     3.0, ,     9.7, ,    15.3, ,    16.7, ,    15.1, ,    13.4, ,     7.1, ,     1.6, ,    -1.7, ,     3.4, ,   -13.5, ,     1.4, ,    15.7, ,     7.4, 
1924,    -9.4, ,   -14.6, ,    -1.5, ,     3.9, ,     9.4, ,    14.9, ,    19.0, ,    17.8, ,    12.4, ,     7.8, ,     2.3, ,    -8.8, ,     4.4, ,    -8.6, ,     3.9, ,    17.2, ,     7.5, 
