7024740,MONTREAL TAVISH,QC, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
7024740,MONTREAL TAVISH,QC, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1871, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    21.6, ,    21.8, ,    16.0, ,    10.3, ,     -.1, ,    -7.8, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     8.7, 
1872,    -7.3, ,    -6.3, ,    -6.0, ,     7.2, ,    15.0, ,    20.3, ,    22.5, ,    22.8, ,    17.8, ,     9.3, ,     1.2, ,   -10.4, ,     7.2, ,    -7.1, ,     5.4, ,    21.9, ,     9.4, 
1873,    -9.8, ,    -7.9, ,    -2.0, ,     5.5, ,    13.4, ,    18.7, ,    21.9, ,    20.8, ,    15.8, ,    10.6, ,    -2.9, , -9999.9,M, -9999.9,M,    -9.4, ,     5.6, ,    20.5, ,     7.8, 
1874,    -8.3, ,    -9.8, ,    -4.5, ,      .0, ,    11.3, ,    17.2, ,    20.3, ,    19.2, ,    16.8, ,     8.8, ,     -.4, ,    -9.8, ,     5.1, , -9999.9,M,     2.3, ,    18.9, ,     8.4, 
1875,   -14.4, ,   -13.4, ,    -6.0, ,     2.3, ,    11.6, ,    17.8, ,    19.7, ,    20.6, ,    13.1, ,     5.1, ,    -4.3, ,    -8.7, ,     3.6, ,   -12.5, ,     2.6, ,    19.4, ,     4.6, 
1876,    -7.7, ,    -9.9, ,    -4.1, ,     3.5, ,    10.9, ,    19.9, ,    21.7, ,    21.1, ,    13.6, ,     5.9, ,     1.5, ,   -11.6, ,     5.4, ,    -8.8, ,     3.4, ,    20.9, ,     7.0, 
1877,   -12.1, ,    -2.7, ,    -3.9, ,     7.1, ,    13.3, ,    18.4, ,    21.9, ,    21.1, ,    16.9, ,     7.2, ,     1.9, ,    -3.1, ,     7.2, ,    -8.8, ,     5.5, ,    20.5, ,     8.7, 
1878,    -9.9, ,    -5.6, ,      .4, ,     9.3, ,    12.9, ,    17.9, ,    22.3, ,    20.4, ,    16.7, ,    10.6, ,      .9, ,    -6.4, ,     7.5, ,    -6.2, ,     7.5, ,    20.2, ,     9.4, 
1879,   -11.0, ,   -11.5, ,    -4.0, ,     3.6, ,    13.8, ,    16.7, ,    19.8, ,    18.3, ,    13.7, ,    11.5, ,     -.7, ,    -9.3, ,     5.1, ,    -9.6, ,     4.5, ,    18.3, ,     8.2, 
1880,    -5.6, ,    -7.2, ,    -5.6, ,     3.6, ,    14.6, ,    18.9, ,    20.9, ,    19.3, ,    16.7, ,     7.9, ,    -1.8, ,    -9.1, ,     6.1, ,    -7.4, ,     4.2, ,    19.7, ,     7.6, 
1881,   -12.9, ,    -8.0, ,     -.8, ,     4.2, ,    13.8, ,    16.4, ,    21.2, ,    20.8, ,    18.2, ,     7.7, ,      .0, ,    -2.1, ,     6.5, ,   -10.0, ,     5.7, ,    19.5, ,     8.6, 
1882,   -10.8, ,    -6.6, ,    -3.5, ,     2.0, ,    10.2, ,    17.3, ,    20.3, ,    20.4, ,    14.9, ,    10.2, ,     -.2, ,    -8.3, ,     5.5, ,    -6.5, ,     2.9, ,    19.3, ,     8.3, 
1883,   -13.8, ,   -10.4, ,    -8.7, ,     2.8, ,    10.8, ,    19.2, ,    19.8, ,    19.3, ,    13.7, ,     6.6, ,     1.4, ,    -9.0, ,     4.3, ,   -10.8, ,     1.6, ,    19.4, ,     7.2, 
1884,   -14.1, ,    -8.3, ,    -4.3, ,     5.1, ,    11.5, ,    19.7, ,    18.9, ,    20.6, ,    16.5, ,     7.1, ,     -.7, ,    -7.8, ,     5.4, ,   -10.5, ,     4.1, ,    19.7, ,     7.6, 
