7031360,CHELSEA        ,QC, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
7031360,CHELSEA        ,QC, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1927, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    10.1, ,     2.1, ,    -5.2, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1928,    -8.6, ,    -9.2, ,    -3.9, ,     2.8, ,    12.4, ,    17.5, ,    22.1, ,    21.7, ,    14.1, ,     9.0, ,     2.1, ,    -3.2, ,     6.4, ,    -7.7, ,     3.8, ,    20.4, ,     8.4, 
1929,   -10.6, ,   -11.1, ,    -2.0, ,     4.8, ,    11.9, ,    17.9, ,    19.6, ,    18.1, ,    16.5, ,     8.1, ,      .7, ,    -8.8, ,     5.4, ,    -8.3, ,     4.9, ,    18.5, ,     8.4, 
1930,   -11.0, ,   -11.1, ,    -4.1, ,     3.7, ,    13.9, ,    19.2, ,    19.6, ,    18.4, ,    15.0, ,     8.8, ,     2.1, ,    -6.8, ,     5.6, ,   -10.3, ,     4.5, ,    19.1, ,     8.6, 
1931,   -12.5, ,   -10.8, ,    -1.3, ,     5.9, ,    12.8, ,    17.9, ,    22.5, ,    19.9, ,    16.3, ,    10.1, ,     3.8, ,    -5.7, ,     6.6, ,   -10.0, ,     5.8, ,    20.1, ,    10.1, 
1932,    -5.5, ,   -11.0, ,    -7.3, ,     2.0, ,    12.6, ,    18.1, ,    18.6, ,    19.7, ,    15.3, ,     8.7, ,    -2.1, ,    -5.8, ,     5.3, ,    -7.4, ,     2.4, ,    18.8, ,     7.3, 
1933,    -5.9, ,    -9.4, ,    -4.9, ,     5.0, ,    12.1, ,    18.8, ,    20.1, ,    18.6, ,    15.2, ,     6.9, ,    -5.5, ,   -14.4, ,     4.7, ,    -7.0, ,     4.1, ,    19.2, ,     5.5, 
1934,   -12.5, ,   -20.7, ,    -7.5, ,     3.0, ,    12.8, ,    18.0, ,    20.4, ,    16.9, ,    16.1, ,     6.1, ,     2.4, ,   -11.3, ,     3.6, ,   -15.9, ,     2.8, ,    18.4, ,     8.2, 
1935,   -15.9, ,   -13.0, ,    -5.4, ,     5.3, ,    10.1, ,    16.9, ,    21.3, ,    19.6, ,    12.2, ,     7.3, ,     1.6, ,   -10.4, ,     4.1, ,   -13.4, ,     3.3, ,    19.3, ,     7.0, 
1936,   -12.9, ,   -14.4, ,    -2.2, ,     2.9, ,    12.0, ,    17.2, ,    18.8, ,    17.8, ,    14.4, ,     5.9, ,    -2.8, ,    -7.9, ,     4.1, ,   -12.6, ,     4.2, ,    17.9, ,     5.8, 
1937,    -6.6, ,    -7.3, ,    -7.1, ,     4.1, ,    12.7, ,    17.8, ,    21.1, ,    21.5, , -9999.9,M, -9999.9,M,      .8, ,    -9.4, , -9999.9,M,    -7.3, ,     3.2, ,    20.1, , -9999.9,M
1938,   -12.4, ,   -11.1, ,    -5.3, ,     5.5, ,    11.8, ,    18.4, ,    20.8, ,    21.1, ,    12.2, ,     9.1, ,     1.6, ,    -6.3, ,     5.5, ,   -11.0, ,     4.0, ,    20.1, ,     7.6, 
1939,   -12.1, ,   -12.3, ,    -7.6, ,     1.3, ,    12.0, ,    17.5, ,    20.2, ,    20.4, ,    13.6, ,     6.8, ,    -1.2, ,    -6.9, ,     4.3, ,   -10.2, ,     1.9, ,    19.4, ,     6.4, 
1940,   -14.9, ,   -11.3, ,    -7.2, ,     2.4, ,    12.5, ,    16.9, ,    20.1, ,    19.3, ,    14.6, ,     6.5, ,     -.2, ,    -8.4, ,     4.2, ,   -11.0, ,     2.6, ,    18.8, ,     7.0, 
1941,   -13.7, ,   -10.7, ,    -6.7, ,     7.5, ,    13.2, ,    19.4, ,    21.8, ,    17.7, ,    15.0, ,     7.7, ,     1.6, ,    -6.8, ,     5.5, ,   -10.9, ,     4.7, ,    19.6, ,     8.1, 
1942,   -12.3, ,   -10.5, ,     -.8, ,     7.4, ,    13.2, ,    17.9, ,    19.9, ,    18.5, ,    14.5, ,     8.5, ,      .5, ,   -10.2, ,     5.6, ,    -9.9, ,     6.6, ,    18.8, ,     7.8, 
1943,   -15.5, ,   -10.1, ,    -6.5, ,     -.2, ,    11.4, ,    18.4, ,    20.5, ,    18.4, ,    13.0, ,     8.0, ,     1.2, ,   -11.4, ,     3.9, ,   -11.9, ,     1.6, ,    19.1, ,     7.4, 
1944,    -9.3, ,   -12.0, ,    -7.5, ,     2.1, ,    15.4, ,    18.0, ,    21.4, ,    21.3, ,    15.3, ,     7.2, ,     1.6, ,   -10.8, ,     5.2, ,   -10.9, ,     3.3, ,    20.2, ,     8.0, 
