7037400,ST JEROME      ,QC, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
7037400,ST JEROME      ,QC, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1932, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    16.8, ,    18.1, ,    19.1, ,    14.4, ,     8.1, ,    -2.9, ,    -6.6, , -9999.9,M, -9999.9,M, -9999.9,M,    18.0, ,     6.5, 
1933,    -6.4, ,    -9.1, ,    -5.1, ,     4.8, ,    12.3, ,    18.4, ,    19.1, ,    18.3, ,    14.7, ,     6.1, ,    -6.5, ,   -14.5, ,     4.3, ,    -7.4, ,     4.0, ,    18.6, ,     4.8, 
1934,   -12.2, ,   -19.1, ,    -7.2, ,     3.5, ,    12.1, ,    17.4, ,    20.3, ,    16.5, ,    16.1, ,     5.6, ,     1.4, ,   -11.5, ,     3.6, ,   -15.3, ,     2.8, ,    18.1, ,     7.7, 
1935,   -16.0, ,   -12.3, ,    -5.3, ,     5.2, ,    10.2, ,    16.6, ,    20.8, ,    19.1, ,    12.1, ,     7.3, ,     1.7, ,   -10.2, ,     4.1, ,   -13.3, ,     3.4, ,    18.8, ,     7.0, 
1936,   -12.4, ,   -14.6, ,    -1.4, ,     3.3, ,    12.3, ,    16.8, ,    18.6, ,    16.9, ,    13.8, ,     5.8, ,    -4.1, ,    -8.1, ,     3.9, ,   -12.4, ,     4.7, ,    17.4, ,     5.2, 
1937,    -6.9, ,    -8.0, ,    -6.8, ,     4.2, ,    13.4, ,    17.7, ,    20.8, ,    21.3, ,    13.9, ,     6.6, ,      .6, ,    -9.9, ,     5.6, ,    -7.7, ,     3.6, ,    19.9, ,     7.0, 
1938,   -13.5, ,   -11.0, ,    -5.4, ,     5.7, ,    11.9, ,    18.0, ,    20.3, ,    20.4, ,    12.3, , -9999.9,M,     1.6, ,    -7.0, , -9999.9,M,   -11.5, ,     4.1, ,    19.6, , -9999.9,M
1939,   -12.2, ,   -12.1, ,    -8.3, ,     1.3, ,    11.5, ,    16.7, ,    19.4, ,    19.6, ,    12.8, ,     6.2, ,    -1.6, ,    -7.7, ,     3.8, ,   -10.4, ,     1.5, ,    18.6, ,     5.8, 
1940,   -15.0, , -9999.9,M, -9999.9,M,     2.4, ,    11.8, ,    16.2, ,    19.7, ,    18.5, ,    14.2, ,     5.4, ,     -.8, ,    -9.0, , -9999.9,M, -9999.9,M, -9999.9,M,    18.1, ,     6.3, 
1941,   -13.4, ,    -9.5, ,    -6.5, ,     7.8, ,    12.8, ,    18.5, ,    20.7, ,    16.5, ,    14.5, ,     6.6, ,     -.4, ,    -6.8, ,     5.1, ,   -10.6, ,     4.7, ,    18.6, ,     6.9, 
1942,   -12.4, ,   -10.3, ,    -1.1, ,     5.9, ,    13.6, ,    17.3, ,    19.0, ,    17.9, ,    13.8, ,     7.9, ,     -.2, ,   -12.7, ,     4.9, ,    -9.8, ,     6.1, ,    18.1, ,     7.2, 
1943,   -14.4, ,   -10.0, ,    -7.2, ,     -.2, ,    11.3, ,    17.1, ,    19.9, ,    17.5, ,    12.1, ,     7.5, ,      .2, ,   -13.0, ,     3.4, ,   -12.4, ,     1.3, ,    18.2, ,     6.6, 
1944,   -10.6, ,   -13.1, ,    -7.5, ,     1.5, , -9999.9,M,    16.8, ,    19.4, ,    19.5, ,    13.6, ,     5.8, ,      .0, ,   -12.8, , -9999.9,M,   -12.2, , -9999.9,M,    18.6, ,     6.5, 
1945,   -17.2, ,   -10.6, ,      .1, ,     6.6, ,     9.3, ,    15.7, ,    18.9, ,    18.7, ,    14.8, ,     6.1, ,     -.2, ,   -10.4, ,     4.3, ,   -13.5, ,     5.3, ,    17.8, ,     6.9, 
1946,   -12.4, ,   -14.9, ,      .8, ,     4.3, ,    10.0, ,    16.4, ,    18.6, ,    17.1, ,    15.1, ,     8.3, ,     -.1, ,    -9.4, ,     4.5, ,   -12.6, ,     5.0, ,    17.4, ,     7.8, 
1947,   -12.3, ,   -13.1, ,    -3.9, ,      .9, ,     8.7, ,    15.8, ,    20.5, ,    20.7, ,    13.4, ,    10.5, ,    -1.4, ,   -11.4, ,     4.0, ,   -11.6, ,     1.9, ,    19.0, ,     7.5, 
1948,   -15.1, ,   -14.6, ,    -6.2, ,     4.5, ,    10.9, ,    15.9, ,    19.5, ,    19.6, ,    15.3, ,     7.1, ,     3.8, ,    -5.6, ,     4.6, ,   -13.7, ,     3.1, ,    18.3, ,     8.7, 
1949,    -8.6, ,    -9.8, ,    -5.4, ,     5.4, ,    11.5, ,    18.6, ,    20.7, ,    19.5, ,    12.3, ,     9.0, ,    -3.1, ,    -7.3, ,     5.2, ,    -8.0, ,     3.8, ,    19.6, ,     6.1, 
1950,    -9.6, ,   -14.1, ,    -8.6, ,     2.5, ,    12.2, ,    16.9, ,    19.7, , -9999.9,M, -9999.9,M, -9999.9,M,     2.1, ,    -8.1, , -9999.9,M,   -10.3, ,     2.0, , -9999.9,M, -9999.9,M
1951,   -11.5, ,   -10.1, ,    -2.7, ,     6.0, ,    12.9, ,    16.9, ,    19.5, ,    17.2, ,    13.0, ,     8.0, ,    -2.9, ,    -9.2, ,     4.8, ,    -9.9, ,     5.4, ,    17.9, ,     6.0, 
1952,   -11.9, ,    -7.6, ,    -3.4, ,     5.9, ,    10.4, ,    17.8, ,    21.1, ,    18.3, , -9999.9,M,     5.3, ,     1.3, ,    -5.4, , -9999.9,M,    -9.6, ,     4.3, ,    19.1, , -9999.9,M
1953,    -7.8, ,    -7.8, ,    -2.9, ,     7.0, ,    13.3, ,    18.0, ,    20.0, ,    19.1, ,    14.2, ,     8.9, ,     3.2, ,    -4.6, ,     6.7, ,    -7.0, ,     5.8, ,    19.0, ,     8.8, 
1954,   -14.5, ,    -6.4, ,    -5.2, ,     4.0, ,    11.2, ,    17.3, ,    18.2, ,    17.2, ,    11.6, ,     8.5, ,     1.1, ,    -8.1, ,     4.6, ,    -8.5, ,     3.3, ,    17.6, ,     7.1, 
1955,   -13.7, ,   -10.9, ,    -6.2, ,     5.6, ,    14.0, ,    19.0, ,    22.7, ,    21.2, ,    13.1, ,     8.3, ,      .1, ,   -12.1, ,     5.1, ,   -10.9, ,     4.5, ,    21.0, ,     7.2, 
1956,    -8.1, ,   -10.1, ,    -7.9, ,     3.9, ,     9.1, ,    16.7, ,    17.5, ,    17.7, ,    11.6, ,     8.2, ,      .5, ,    -8.2, ,     4.2, ,   -10.1, ,     1.7, ,    17.3, ,     6.8, 
1957,   -16.0, ,    -9.0, ,    -3.0, ,     5.2, ,    11.4, ,    18.3, ,    19.3, ,    16.7, ,    13.6, ,     7.4, ,     2.4, ,    -6.6, ,     5.0, ,   -11.1, ,     4.5, ,    18.1, ,     7.8, 
1958,    -9.9, ,   -13.2, ,    -1.2, ,     5.5, ,     9.4, ,    13.7, ,    18.2, ,    16.8, ,    13.3, ,     6.7, ,     -.1, ,   -15.8, ,     3.6, ,    -9.9, ,     4.6, ,    16.2, ,     6.6, 
1959,   -13.5, ,   -14.6, ,    -7.4, ,     4.5, ,    13.8, ,    17.0, ,    20.9, ,    20.2, ,    15.2, ,     6.3, ,    -1.1, ,    -7.8, ,     4.5, ,   -14.6, ,     3.6, ,    19.4, ,     6.8, 
1960,   -12.5, , -9999.9,M,    -7.0, ,     4.1, ,    15.0, ,    17.0, ,    18.1, ,    18.7, ,    14.1, ,     6.6, ,     2.3, ,   -10.4, , -9999.9,M, -9999.9,M,     4.0, ,    17.9, ,     7.7, 
1961,   -16.1, ,    -9.3, ,    -4.5, ,     4.7, , -9999.9,M, -9999.9,M,    19.8, ,    18.6, ,    16.8, ,     9.3, ,     1.0, ,    -6.9, , -9999.9,M,   -11.9, , -9999.9,M, -9999.9,M,     9.0, 
1962,   -13.8, ,   -14.4, ,    -2.4, ,     4.1, ,    13.0, ,    17.4, ,    17.9, ,    18.5, ,    12.1, ,     6.7, ,    -1.0, ,    -9.2, ,     4.1, ,   -11.7, ,     4.9, ,    17.9, ,     5.9, 
1963,   -12.8, ,   -14.2, ,    -5.3, , -9999.9,M, -9999.9,M, -9999.9,M,    20.0, ,    16.4, ,    10.9, ,    11.3, ,     2.9, ,   -12.8, , -9999.9,M,   -12.1, , -9999.9,M, -9999.9,M,     8.4, 
1964,    -8.2, ,   -10.1, ,    -3.4, ,     4.5, ,    13.5, ,    17.1, ,    20.1, ,    16.0, ,    12.2, ,     6.0, ,     -.3, ,    -7.4, ,     5.0, ,   -10.4, ,     4.9, ,    17.7, ,     6.0, 
