7043540,LABRIEVILLE    ,QC, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
7043540,LABRIEVILLE    ,QC, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1955,   -14.5, ,   -13.3, ,    -9.0, ,     3.0, , -9999.9,M,    16.5, , -9999.9,M,    17.5, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1956, -9999.9,M,   -13.9, , -9999.9,M, -9999.9,M, -9999.9,M,    14.5, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1957, -9999.9,M, -9999.9,M, -9999.9,M,    -1.5, , -9999.9,M, -9999.9,M,    16.7, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1958, -9999.9,M, -9999.9,M, -9999.9,M,     3.8, , -9999.9,M, -9999.9,M,    18.2, , -9999.9,M, -9999.9,M,     4.1, , -9999.9,M,   -18.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1959,   -15.6, , -9999.9,M, -9999.9,M,     1.7, , -9999.9,M, -9999.9,M,    20.4, ,    17.6, ,    14.0, ,     4.5, ,    -4.3, ,   -12.4, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     4.7, 
1960,   -15.3, ,    -7.8, ,    -7.8, ,      .1, ,    11.7, ,    15.5, ,    16.4, ,    17.2, ,    11.9, , -9999.9,M,     -.9, ,   -14.2, , -9999.9,M,   -11.8, ,     1.3, ,    16.4, , -9999.9,M
1961,   -21.1, ,   -15.8, ,    -8.1, ,     2.8, ,     8.3, ,    14.3, ,    18.2, ,    17.2, ,    13.9, ,     6.5, ,      .4, ,    -8.5, ,     2.3, ,   -17.0, ,     1.0, ,    16.6, ,     6.9, 
1962,   -19.4, ,   -19.8, ,    -2.6, ,     1.3, ,     8.1, ,    15.8, ,    15.8, ,    17.7, ,    10.5, ,     4.3, ,    -3.7, ,   -13.0, ,     1.3, ,   -15.9, ,     2.3, ,    16.4, ,     3.7, 
1963,   -16.1, ,   -18.6, ,    -9.9, ,     1.5, ,     7.9, ,    16.5, ,    19.1, ,    14.8, ,     9.6, ,     7.1, ,     -.2, ,   -17.1, ,     1.2, ,   -15.9, ,     -.2, ,    16.8, ,     5.5, 
1964,   -16.2, ,   -13.3, ,    -9.3, ,     1.1, ,     8.7, ,    13.6, ,    17.5, ,    14.5, ,    10.3, ,     3.0, ,    -3.5, ,   -13.4, ,     1.1, ,   -15.5, ,      .2, ,    15.2, ,     3.3, 
1965,   -18.1, ,   -15.6, ,    -6.2, ,     1.4, ,     7.9, ,    15.5, ,    14.9, ,    14.9, ,    10.2, ,     2.8, ,    -6.2, ,   -12.4, ,      .8, ,   -15.7, ,     1.0, ,    15.1, ,     2.3, 
1966,   -10.7, ,   -11.6, ,    -4.2, ,     1.9, ,     7.0, ,    15.5, ,    17.4, ,    15.9, ,    10.1, ,     4.3, ,     -.5, ,    -9.9, ,     2.9, ,   -11.6, ,     1.6, ,    16.3, ,     4.6, 
1967,   -15.2, ,   -18.9, ,   -11.8, ,     -.9, ,     5.5, ,    15.7, ,    18.8, ,    17.7, ,    12.5, ,     4.8, ,    -2.1, ,   -11.4, ,     1.2, ,   -14.7, ,    -2.4, ,    17.4, ,     5.1, 
1968,   -19.1, ,   -16.6, ,    -7.6, ,     2.4, ,     9.2, ,    14.4, ,    17.7, ,    13.1, ,    14.3, ,     7.0, ,    -3.6, ,    -9.8, ,     1.8, ,   -15.7, ,     1.3, ,    15.1, ,     5.9, 
1969,   -11.3, ,   -10.2, ,    -5.8, ,    -1.5, ,     6.1, , -9999.9,M, -9999.9,M,    17.7, ,    10.1, ,     3.9, ,      .5, ,    -9.5, , -9999.9,M,   -10.4, ,     -.4, , -9999.9,M,     4.8, 
1970,   -18.9, ,   -16.0, ,    -6.0, ,      .7, ,     8.8, ,    15.2, ,    20.3, ,    18.3, ,     9.8, ,     6.1, ,    -1.7, ,   -16.4, ,     1.7, ,   -14.8, ,     1.2, ,    17.9, ,     4.7, 
1971,   -17.9, ,   -14.8, ,    -6.1, ,     1.6, ,     9.8, ,    14.5, ,    17.8, ,    16.1, ,    12.8, ,     5.9, ,    -4.0, ,   -15.7, ,     1.7, ,   -16.4, ,     1.8, ,    16.1, ,     4.9, 
1972,   -19.3, ,   -18.7, ,   -11.0, ,     -.3, ,     8.0, ,    14.1, ,    18.3, ,    15.3, ,    11.4, ,     2.3, ,    -3.9, ,   -18.2, ,     -.2, ,   -17.9, ,    -1.1, ,    15.9, ,     3.3, 
1973,   -15.4, ,   -16.4, ,    -5.3, ,     1.3, ,     7.1, ,    16.6, ,    19.7, ,    17.6, ,    10.8, ,     5.1, ,    -3.4, ,   -10.3, ,     2.3, ,   -16.7, ,     1.0, ,    18.0, ,     4.2, 
1974,   -22.4, ,   -17.5, ,    -9.7, ,    -1.4, ,     5.0, , -9999.9,M,    18.0, ,    16.7, ,     9.2, ,     1.9, ,    -1.7, ,   -10.0, , -9999.9,M,   -16.7, ,    -2.0, , -9999.9,M,     3.1, 
1975, -9999.9,M, -9999.9,M,    -8.1, ,     -.8, ,    10.2, ,    17.2, ,    20.7, ,    17.6, , -9999.9,M, -9999.9,M, -9999.9,M,   -16.4, , -9999.9,M, -9999.9,M,      .4, ,    18.5, , -9999.9,M
1976,   -19.6, ,   -14.7, ,   -10.2, , -9999.9,M, -9999.9,M,    16.3, ,    18.2, ,    16.7, ,     9.8, ,     1.8, ,    -5.5, ,   -17.5, , -9999.9,M,   -16.9, , -9999.9,M,    17.1, ,     2.0, 
1977,   -19.0, ,   -14.0, ,    -3.1, ,     -.7, , -9999.9,M, -9999.9,M,    17.1, ,    16.2, ,     9.7, ,     5.2, , -9999.9,M, -9999.9,M, -9999.9,M,   -16.8, , -9999.9,M, -9999.9,M, -9999.9,M
1978, -9999.9,M, -9999.9,M, -9999.9,M,      .9, ,    11.5, ,    15.1, ,    18.4, ,    17.1, ,     8.3, ,     2.7, ,    -4.9, ,   -14.3, , -9999.9,M, -9999.9,M, -9999.9,M,    16.9, ,     2.0, 
1979, -9999.9,M, -9999.9,M, -9999.9,M,     2.5, ,     9.4, ,    15.7, ,    19.3, ,    16.1, ,    10.7, , -9999.9,M, -9999.9,M,    -9.3, , -9999.9,M, -9999.9,M, -9999.9,M,    17.0, , -9999.9,M
1980,   -15.2, , -9999.9,M,    -7.1, ,     2.8,E,     9.2,E, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     1.6,E, -9999.9,M, -9999.9,M
1981, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    14.2, , -9999.9,M, -9999.9,M, -9999.9,M,     3.7, ,    -1.4, ,    -6.7, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1982,   -20.2, ,   -17.3, ,    -8.4, ,    -1.5, ,     9.4, ,    13.7, , -9999.9,M,    14.0, ,    11.5, ,     5.9, ,    -1.9,E,   -11.4, , -9999.9,M,   -14.7, ,     -.2, , -9999.9,M,     5.2,E
1983,   -15.0, ,   -12.8, ,    -4.1, ,     2.8, ,     6.6, ,    15.4,E,    18.3, ,    17.9, ,    12.9,E,     5.2, ,    -1.8, ,   -14.3,E,     2.6,E,   -13.1, ,     1.8, ,    17.2,E,     5.4,E
1984, -9999.9,M,    -9.1, ,   -10.5,E,     2.1,E,     7.6, ,    13.7, ,    17.8,E,    17.4,E,     9.9,E,     5.1,E,    -2.3,E,   -12.2,E, -9999.9,M, -9999.9,M,     -.3,E,    16.3,E,     4.2,E
1985,   -18.1,E,   -13.2,E,    -8.1,E,    -1.1,E,     6.6,E,    14.3, ,    17.8,E,    16.2,E,    12.3, ,     4.8,E,    -4.3, ,   -16.4,E,      .9,E,   -14.5,E,     -.9,E,    16.1,E,     4.3,E
1986,   -16.6, ,   -15.9, ,    -9.1,E,     2.7,E,     9.8,E,    11.9,E,    15.4,E,    15.1,E,     8.8, ,     3.2, ,    -6.1, ,   -11.3,E,      .7,E,   -16.3,E,     1.1,E,    14.1,E,     2.0, 
1987,   -16.1,E,   -13.5,E,    -3.6,E,     5.6, ,     8.9, ,    14.0,E,    19.0, ,    15.6,E,    11.0, ,     4.4,E,    -3.6, ,   -11.6,E,     2.5,E,   -13.6,E,     3.6,E,    16.2,E,     3.9,E
