7051200,CAUSAPSCAL     ,QC, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
7051200,CAUSAPSCAL     ,QC, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1913, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,      .6, ,    -8.2, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1914,   -17.6, ,   -19.2, ,    -4.6, ,    -2.1, ,     9.5, ,    11.9, ,    16.7, ,    14.1, ,    10.0, , -9999.9,M,    -4.6, ,   -11.3, , -9999.9,M,   -15.0, ,      .9, ,    14.2, , -9999.9,M
1915,   -12.8, ,   -10.2, ,    -6.3, ,     2.2, ,     6.7, ,    13.5, ,    16.1, ,    14.8, ,    10.6, ,     5.5, ,    -1.9, ,    -5.7, ,     2.7, ,   -11.4, ,      .9, ,    14.8, ,     4.7, 
1916,   -13.6, ,   -14.8, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -11.4, , -9999.9,M, -9999.9,M, -9999.9,M
1917, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1918, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     9.8, ,     4.7, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1919, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    16.9, ,    16.5, ,    11.1, ,     2.4, ,    -2.3, ,   -15.0, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     3.7, 
1920,   -19.4, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -8.1, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1921,   -12.5, ,   -15.6, ,    -5.5, ,      .9, ,    10.2, ,    13.3, ,    19.7, ,    13.1, ,    10.3, ,     3.5, ,    -5.2, ,   -12.2, ,     1.7, ,   -12.1, ,     1.9, ,    15.4, ,     2.9, 
1922,   -17.0, ,   -17.1, ,    -6.3, ,     2.2, ,     9.0, ,    14.8, ,    16.8, ,    15.5, ,    10.2, ,     3.0, ,    -3.2, ,   -15.6, ,     1.0, ,   -15.4, ,     1.6, ,    15.7, ,     3.3, 
